date,ebitda_margin
2004-01-20,12.044
2004-02-20,12.0238
2004-03-20,11.9557
2004-04-20,11.9389
2004-05-20,11.2192
2004-06-20,13.0139
2004-07-20,13.1406
2004-08-20,14.2193
2004-09-20,11.685
2004-10-20,11.6607
2004-11-20,11.8661
2004-12-20,14.0654
2005-01-20,13.9558
2005-02-20,14.1155
2005-03-20,12.9736
2005-04-20,12.9668
2005-05-20,12.4813
2005-06-20,14.0937
2005-07-20,14.0555
2005-08-20,14.3451
2005-09-20,13.6865
2005-10-20,13.6492
2005-11-20,13.7447
2005-12-20,14.4532
2006-01-20,14.4726
2006-02-20,14.4829
2006-03-20,11.9813
2006-04-20,11.9579
2006-05-20,12.6159
2006-06-20,14.933
2006-07-20,14.9616
2006-08-20,14.9612
2006-09-20,14.5342
2006-10-20,14.5343
2006-11-20,14.7062
2006-12-20,14.2769
2007-01-20,14.5006
2007-02-20,14.616
2007-03-20,14.0499
2007-04-20,14.0114
2007-05-20,14.3114
2007-06-20,14.1398
2007-07-20,14.1984
2007-08-20,14.2061
2007-09-20,14.3167
2007-10-20,14.2977
2007-11-20,14.4681
2007-12-20,13.9879
2008-01-20,13.9802
2008-02-20,13.9823
2008-03-20,13.7915
2008-04-20,13.7893
2008-05-20,13.7358
2008-06-20,13.7863
2008-07-20,13.812
2008-08-20,13.8096
2008-09-20,13.5091
2008-10-20,13.5116
2008-11-20,13.3591
2008-12-20,13.1039
2009-01-20,13.1125
2009-02-20,13.1108
2009-03-20,11.9457
2009-04-20,11.9278
2009-05-20,11.7597
2009-06-20,10.018
2009-07-20,10.0758
2009-08-20,10.0796
2009-09-20,9.8137
2009-10-20,9.7986
2009-11-20,9.5275
2009-12-20,9.0097
2010-01-20,9.0043
2010-02-20,9.0277
2010-03-20,10.3237
2010-04-20,10.2938
2010-05-20,10.2805
2010-06-20,11.646
2010-07-20,11.6276
2010-08-20,11.6511
2010-09-20,12.56
2010-10-20,12.547
2010-11-20,12.3087
2010-12-20,12.6619
2011-01-20,12.6633
2011-02-20,12.6659
2011-03-20,13.0473
2011-04-20,13.0461
2011-05-20,13.2583
2011-06-20,12.776
2011-07-20,12.8129
2011-08-20,12.8056
2011-09-20,12.4322
2011-10-20,12.4252
2011-11-20,12.477
2011-12-20,12.0126
2012-01-20,12.0143
2012-02-20,12.0384
2012-03-20,11.4223
2012-04-20,11.4216
2012-05-20,11.4871
2012-06-20,11.0979
2012-07-20,11.1137
2012-08-20,11.1477
2012-09-20,10.9638
2012-10-20,10.9634
2012-11-20,10.955
2012-12-20,10.8515
2013-01-20,10.8513
2013-02-20,10.8469
2013-03-20,10.9166
2013-04-20,10.9234
2013-05-20,10.9741
2013-06-20,11.2315
2013-07-20,11.2572
2013-08-20,11.2484
2013-09-20,11.5342
2013-10-20,11.5352
2013-11-20,11.5452
2013-12-20,11.863
