date,ev_ebit
2004-01-20,25.311
2004-02-20,25.5232
2004-03-20,25.8416
2004-04-20,25.7356
2004-05-20,21.3292
2004-06-20,22.2475
2004-07-20,21.4207
2004-08-20,21.5063
2004-09-20,19.6088
2004-10-20,19.61
2004-11-20,19.5584
2004-12-20,18.1626
2005-01-20,18.0317
2005-02-20,18.0177
2005-03-20,18.3395
2005-04-20,18.2635
2005-05-20,17.9966
2005-06-20,19.0011
2005-07-20,18.5628
2005-08-20,18.3998
2005-09-20,17.8733
2005-10-20,17.8659
2005-11-20,17.995
2005-12-20,19.1724
2006-01-20,19.1046
2006-02-20,19.1637
2006-03-20,17.7405
2006-04-20,16.9448
2006-05-20,17.0901
2006-06-20,20.1986
2006-07-20,19.9452
2006-08-20,19.7025
2006-09-20,18.1552
2006-10-20,18.1584
2006-11-20,18.1452
2006-12-20,18.3317
2007-01-20,18.3098
2007-02-20,18.2903
2007-03-20,19.2751
2007-04-20,19.2811
2007-05-20,19.313
2007-06-20,19.4327
2007-07-20,19.4793
2007-08-20,19.5554
2007-09-20,19.7262
2007-10-20,19.727
2007-11-20,19.7143
2007-12-20,18.2736
2008-01-20,18.2757
2008-02-20,18.283
2008-03-20,17.4164
2008-04-20,17.4179
2008-05-20,17.4551
2008-06-20,15.5947
2008-07-20,15.627
2008-08-20,15.6576
2008-09-20,17.329
2008-10-20,17.3715
2008-11-20,17.3086
2008-12-20,16.974
2009-01-20,16.9793
2009-02-20,16.9868
2009-03-20,20.506
2009-04-20,20.6891
2009-05-20,20.6905
2009-06-20,37.2281
2009-07-20,37.3721
2009-08-20,37.233
2009-09-20,55.7331
2009-10-20,55.6628
2009-11-20,58.5333
2009-12-20,80.6318
2010-01-20,79.9043
2010-02-20,78.6844
2010-03-20,44.4947
2010-04-20,44.3044
2010-05-20,45.1492
2010-06-20,28.7856
2010-07-20,28.9316
2010-08-20,28.8862
2010-09-20,20.3072
2010-10-20,20.2639
2010-11-20,20.6649
2010-12-20,18.6186
2011-01-20,18.6155
2011-02-20,18.6316
2011-03-20,16.9709
2011-04-20,16.9798
2011-05-20,18.3237
2011-06-20,18.125
2011-07-20,18.2001
2011-08-20,18.2929
2011-09-20,18.7022
2011-10-20,18.7166
2011-11-20,18.8749
2011-12-20,19.2899
2012-01-20,18.9653
2012-02-20,19.1948
2012-03-20,20.1996
2012-04-20,20.2061
2012-05-20,20.4147
2012-06-20,21.13
2012-07-20,21.1871
2012-08-20,21.4905
2012-09-20,20.5772
2012-10-20,20.5832
2012-11-20,20.9256
2012-12-20,20.5734
2013-01-20,20.4622
2013-02-20,20.8079
2013-03-20,20.9615
2013-04-20,20.9239
2013-05-20,21.2026
2013-06-20,21.5427
2013-07-20,21.5538
2013-08-20,21.5339
2013-09-20,19.38
2013-10-20,19.3832
2013-11-20,19.3724
2013-12-20,17.9884
2014-01-20,17.9884
2014-02-20,17.9567
2014-03-20,17.9797
2014-04-20,17.9816
2014-05-20,17.981
2014-06-20,15.902
2014-07-20,15.951
2014-08-20,15.9586
2014-09-20,16.0413
2014-10-20,16.0463
2014-11-20,16.0349
2014-12-20,16.3389
2015-01-20,16.3512
2015-02-20,16.3402
2015-03-20,17.0333
2015-04-20,17.0053
2015-05-20,17.0107
2015-06-20,16.9489
2015-07-20,17.3458
2015-08-20,17.3631
2015-09-20,16.6632
2015-10-20,16.7502
2015-11-20,16.7048
2015-12-20,14.8525
2016-01-20,14.8525
2016-02-20,14.8233
2016-03-20,15.6225
2016-04-20,14.9218
2016-05-20,14.8793
2016-06-20,13.3272
2016-07-20,12.6725
2016-08-20,12.6508
2016-09-20,12.2859
2016-10-20,12.2877
2016-11-20,12.2634
2016-12-20,13.0749
2017-01-20,13.0689
2017-02-20,13.0499
2017-03-20,14.3346
2017-04-20,14.4368
2017-05-20,14.5549
2017-06-20,13.1714
2017-07-20,12.4277
2017-08-20,12.2616
2017-09-20,12.675
2017-10-20,12.6783
2017-11-20,12.701
2017-12-20,12.2315
2018-01-20,12.2363
2018-02-20,12.2218
2018-03-20,10.8071
2018-04-20,10.8246
2018-05-20,10.8224
2018-06-20,11.8594
2018-07-20,9.7489
2018-08-20,9.7298
2018-09-20,9.2768
2018-10-20,9.2815
2018-11-20,9.2761
2018-12-20,10.1158
2019-01-20,10.1148
2019-02-20,10.0886
2019-03-20,8.7636
2019-04-20,8.7412
2019-05-20,8.7675
2019-06-20,8.8237
2019-07-20,9.107
2019-08-20,9.0932
2019-09-20,9.4363
2019-10-20,9.43
2019-11-20,9.4275
2019-12-20,10.8033
2020-01-20,10.7766
2020-02-20,10.757
2020-03-20,12.2848
2020-04-20,12.2527
2020-05-20,12.2514
2020-06-20,11.3481
2020-07-20,11.7329
2020-08-20,11.6982
2020-09-20,14.6647
2020-10-20,14.6765
2020-11-20,14.6633
2020-12-20,15.4321
2021-01-20,15.4257
2021-02-20,15.4247
2021-03-20,14.9749
2021-04-20,15.0403
2021-05-20,15.0295
2021-06-20,12.6883
2021-07-20,13.0715
2021-08-20,13.0595
2021-09-20,10.5262
2021-10-20,10.0283
