date,ev_ebitda
2004-01-20,10.6728
2004-02-20,10.6911
2004-03-20,10.8935
2004-04-20,10.8867
2004-05-20,10.8892
2004-06-20,10.8512
2004-07-20,10.6607
2004-08-20,10.6891
2004-09-20,11.6259
2004-10-20,11.6408
2004-11-20,11.6408
2004-12-20,9.8273
2005-01-20,9.8933
2005-02-20,9.8915
2005-03-20,10.2542
2005-04-20,10.2449
2005-05-20,10.3435
2005-06-20,10.0329
2005-07-20,9.8901
2005-08-20,9.8091
2005-09-20,10.1577
2005-10-20,10.243
2005-11-20,10.2465
2005-12-20,10.8339
2006-01-20,10.8229
2006-02-20,10.808
2006-03-20,12.3152
2006-04-20,12.0682
2006-05-20,11.5286
2006-06-20,11.5991
2006-07-20,11.4483
2006-08-20,11.4398
2006-09-20,10.8323
2006-10-20,10.8318
2006-11-20,10.7288
2006-12-20,10.7989
2007-01-20,10.8194
2007-02-20,10.772
2007-03-20,11.7145
2007-04-20,11.7063
2007-05-20,11.5049
2007-06-20,11.3119
2007-07-20,11.3085
2007-08-20,11.3505
2007-09-20,11.4002
2007-10-20,11.4153
2007-11-20,11.3022
2007-12-20,10.5452
2008-01-20,10.5529
2008-02-20,10.5623
2008-03-20,10.1859
2008-04-20,10.1871
2008-05-20,10.1605
2008-06-20,8.8132
2008-07-20,8.7978
2008-08-20,8.8087
2008-09-20,9.4473
2008-10-20,9.4476
2008-11-20,9.4467
2008-12-20,8.5945
2009-01-20,8.6002
2009-02-20,8.6041
2009-03-20,9.2813
2009-04-20,9.2975
2009-05-20,9.3449
2009-06-20,10.9357
2009-07-20,10.9238
2009-08-20,10.9125
2009-09-20,12.9803
2009-10-20,12.9959
2009-11-20,13.1218
2009-12-20,14.7872
2010-01-20,14.6343
2010-02-20,14.6438
2010-03-20,13.4055
2010-04-20,13.3859
2010-05-20,13.523
2010-06-20,12.2349
2010-07-20,12.2951
2010-08-20,12.2814
2010-09-20,10.0838
2010-10-20,10.0888
2010-11-20,10.2026
2010-12-20,9.8973
2011-01-20,9.8804
2011-02-20,9.8819
2011-03-20,9.4534
2011-04-20,9.4562
2011-05-20,9.9919
2011-06-20,9.7046
2011-07-20,9.7343
2011-08-20,9.7951
2011-09-20,10.0073
2011-10-20,10.0142
2011-11-20,9.9212
2011-12-20,9.981
2012-01-20,9.8172
2012-02-20,9.8163
2012-03-20,10.0983
2012-04-20,10.102
2012-05-20,10.0406
2012-06-20,11.2335
2012-07-20,11.2657
2012-08-20,11.256
2012-09-20,10.7349
2012-10-20,10.7365
2012-11-20,10.685
2012-12-20,10.5877
2013-01-20,10.5269
2013-02-20,10.5587
2013-03-20,11.3898
2013-04-20,11.3697
2013-05-20,11.4086
2013-06-20,11.8663
2013-07-20,11.8739
2013-08-20,11.8785
2013-09-20,11.1962
2013-10-20,11.1956
2013-11-20,11.2054
2013-12-20,10.8751
2014-01-20,10.8739
2014-02-20,10.8747
2014-03-20,11.0702
2014-04-20,11.0752
2014-05-20,11.0188
2014-06-20,9.8383
2014-07-20,9.8808
2014-08-20,9.8862
2014-09-20,9.931
2014-10-20,9.9188
2014-11-20,9.9233
2014-12-20,10.2135
2015-01-20,10.2169
2015-02-20,10.2215
2015-03-20,10.7062
2015-04-20,10.6808
2015-05-20,10.6819
2015-06-20,10.5611
2015-07-20,10.8579
2015-08-20,10.8612
2015-09-20,10.4473
2015-10-20,10.4739
2015-11-20,10.455
2015-12-20,9.1992
2016-01-20,9.1998
2016-02-20,9.1617
2016-03-20,9.6938
2016-04-20,9.2589
2016-05-20,9.2262
2016-06-20,8.2976
2016-07-20,7.888
2016-08-20,7.8725
2016-09-20,7.5272
2016-10-20,7.527
2016-11-20,7.5106
2016-12-20,7.9882
2017-01-20,7.9834
2017-02-20,7.9899
2017-03-20,8.7742
2017-04-20,8.7213
2017-05-20,8.8023
2017-06-20,8.1467
2017-07-20,7.6447
2017-08-20,7.5814
2017-09-20,7.9154
2017-10-20,7.9162
2017-11-20,7.9526
2017-12-20,7.7415
2018-01-20,7.742
2018-02-20,7.7471
2018-03-20,6.9389
2018-04-20,6.9507
2018-05-20,6.9484
2018-06-20,7.6394
2018-07-20,6.2748
2018-08-20,6.2623
2018-09-20,6.0592
2018-10-20,6.0595
