date,gross_margin
2004-01-20,29.1014
2004-02-20,29.1112
2004-03-20,29.0568
2004-04-20,29.0274
2004-05-20,27.3213
2004-06-20,30.3167
2004-07-20,29.8968
2004-08-20,32.4492
2004-09-20,26.8461
2004-10-20,26.8059
2004-11-20,27.2782
2004-12-20,32.4146
2005-01-20,31.9255
2005-02-20,32.1203
2005-03-20,29.6164
2005-04-20,29.6191
2005-05-20,31.4357
2005-06-20,30.1298
2005-07-20,30.66
2005-08-20,31.2823
2005-09-20,28.9491
2005-10-20,29.0924
2005-11-20,29.6645
2005-12-20,32.4482
2006-01-20,32.1933
2006-02-20,31.1048
2006-03-20,25.4031
2006-04-20,25.4174
2006-05-20,26.114
2006-06-20,31.3454
2006-07-20,31.1882
2006-08-20,31.2134
2006-09-20,29.0334
2006-10-20,28.9894
2006-11-20,29.0514
2006-12-20,28.5836
2007-01-20,29.5965
2007-02-20,30.3914
2007-03-20,27.7752
2007-04-20,27.646
2007-05-20,27.7204
2007-06-20,28.368
2007-07-20,28.7062
2007-08-20,29.4896
2007-09-20,28.1648
2007-10-20,28.1271
2007-11-20,27.6826
2007-12-20,26.8012
2008-01-20,27.8674
2008-02-20,27.9929
2008-03-20,27.3261
2008-04-20,27.3409
2008-05-20,26.7818
2008-06-20,27.0439
2008-07-20,27.3023
2008-08-20,27.8578
2008-09-20,27.057
2008-10-20,27.1305
2008-11-20,26.7337
2008-12-20,28.0735
2009-01-20,28.1125
2009-02-20,28.1215
2009-03-20,27.3458
2009-04-20,27.3823
2009-05-20,27.0552
2009-06-20,25.2883
2009-07-20,25.8659
2009-08-20,26.067
2009-09-20,26.4035
2009-10-20,26.374
2009-11-20,25.8246
2009-12-20,25.2231
2010-01-20,25.2044
2010-02-20,25.2861
2010-03-20,26.3639
2010-04-20,26.3455
2010-05-20,26.4921
2010-06-20,26.5099
2010-07-20,27.8763
2010-08-20,27.9558
2010-09-20,28.2353
2010-10-20,28.2147
2010-11-20,28.0268
2010-12-20,28.0645
2011-01-20,28.0408
2011-02-20,28.0508
2011-03-20,28.8541
2011-04-20,28.9254
2011-05-20,28.7649
2011-06-20,26.3207
2011-07-20,27.747
2011-08-20,27.6935
2011-09-20,26.0884
2011-10-20,26.0879
2011-11-20,26.0144
2011-12-20,27.1136
2012-01-20,27.126
2012-02-20,27.1779
2012-03-20,25.2475
2012-04-20,25.3562
2012-05-20,25.2723
2012-06-20,24.9663
2012-07-20,26.1991
2012-08-20,26.2568
2012-09-20,24.9518
2012-10-20,24.9522
2012-11-20,25.0475
2012-12-20,25.9766
2013-01-20,25.9755
2013-02-20,26.0192
2013-03-20,24.9748
2013-04-20,24.9884
2013-05-20,25.1615
2013-06-20,25.654
2013-07-20,26.8968
2013-08-20,26.8879
2013-09-20,25.7911
2013-10-20,25.7917
2013-11-20,26.1366
2013-12-20,27.0951
2014-01-20,27.0954
2014-02-20,27.0986
2014-03-20,26.517
2014-04-20,26.5165
2014-05-20,26.5658
2014-06-20,25.9722
2014-07-20,27.4576
2014-08-20,27.4949
2014-09-20,26.8471
2014-10-20,26.848
2014-11-20,27.1753
2014-12-20,27.6964
2015-01-20,27.6962
2015-02-20,27.7006
2015-03-20,26.611
2015-04-20,26.3698
2015-05-20,26.2384
2015-06-20,26.287
2015-07-20,27.4916
2015-08-20,27.5094
