date,oper_margin
2004-01-20,5.0786
2004-02-20,5.0365
2004-03-20,5.0399
2004-04-20,5.0504
2004-05-20,5.7278
2004-06-20,6.3475
2004-07-20,6.5399
2004-08-20,7.0673
2004-09-20,6.9279
2004-10-20,6.9219
2004-11-20,7.0625
2004-12-20,7.6104
2005-01-20,7.657
2005-02-20,7.7492
2005-03-20,7.254
2005-04-20,7.2737
2005-05-20,7.1736
2005-06-20,7.4417
2005-07-20,7.4886
2005-08-20,7.6475
2005-09-20,7.7783
2005-10-20,7.8254
2005-11-20,7.8263
2005-12-20,8.1672
2006-01-20,8.1988
2006-02-20,8.1681
2006-03-20,8.3172
2006-04-20,8.5165
2006-05-20,8.5104
2006-06-20,8.5752
2006-07-20,8.5878
2006-08-20,8.6869
2006-09-20,8.6718
2006-10-20,8.67
2006-11-20,8.6954
2006-12-20,8.4103
2007-01-20,8.5685
2007-02-20,8.608
2007-03-20,8.5389
2007-04-20,8.5068
2007-05-20,8.5254
2007-06-20,8.2309
2007-07-20,8.2427
2007-08-20,8.2456
2007-09-20,8.2739
2007-10-20,8.2736
2007-11-20,8.2945
2007-12-20,8.072
2008-01-20,8.0725
2008-02-20,8.0777
2008-03-20,8.0659
2008-04-20,8.0649
2008-05-20,7.9955
2008-06-20,7.7912
2008-07-20,7.776
2008-08-20,7.769
2008-09-20,7.3648
2008-10-20,7.3483
2008-11-20,7.2911
2008-12-20,6.6349
2009-01-20,6.6416
2009-02-20,6.6408
2009-03-20,5.4068
2009-04-20,5.3602
2009-05-20,5.3113
2009-06-20,2.9428
2009-07-20,2.9451
2009-08-20,2.9542
2009-09-20,2.2856
2009-10-20,2.2877
2009-11-20,2.1359
2009-12-20,1.6523
2010-01-20,1.6491
2010-02-20,1.6801
2010-03-20,3.1104
2010-04-20,3.1101
2010-05-20,3.0792
2010-06-20,4.95
2010-07-20,4.9414
2010-08-20,4.9536
2010-09-20,6.2368
2010-10-20,6.2467
2010-11-20,6.077
2010-12-20,6.7309
2011-01-20,6.7212
2011-02-20,6.7178
2011-03-20,7.2678
2011-04-20,7.2655
2011-05-20,7.2298
2011-06-20,6.8407
2011-07-20,6.853
2011-08-20,6.8569
2011-09-20,6.6523
2011-10-20,6.648
2011-11-20,6.5583
2011-12-20,6.2156
2012-01-20,6.219
2012-02-20,6.1565
2012-03-20,5.7103
2012-04-20,5.7102
2012-05-20,5.6497
2012-06-20,5.9001
2012-07-20,5.9094
2012-08-20,5.8388
2012-09-20,5.7197
2012-10-20,5.7187
2012-11-20,5.5938
2012-12-20,5.5845
2013-01-20,5.5825
2013-02-20,5.5041
2013-03-20,5.9317
2013-04-20,5.9356
2013-05-20,5.9049
2013-06-20,6.1866
2013-07-20,6.2015
2013-08-20,6.2048
2013-09-20,6.6635
2013-10-20,6.6626
2013-11-20,6.678
2013-12-20,7.1719
2014-01-20,7.1708
2014-02-20,7.1824
2014-03-20,7.5388
2014-04-20,7.5395
2014-05-20,7.5518
2014-06-20,7.4664
2014-07-20,7.5464
2014-08-20,7.5519
2014-09-20,7.6582
2014-10-20,7.6578
2014-11-20,7.6573
2014-12-20,7.6412
2015-01-20,7.638
2015-02-20,7.6462
2015-03-20,7.5738
2015-04-20,7.5794
2015-05-20,7.5812
2015-06-20,7.6279
2015-07-20,7.5581
2015-08-20,7.5438
2015-09-20,7.926
2015-10-20,7.882
2015-11-20,7.8989
2015-12-20,7.9563
2016-01-20,7.9574
2016-02-20,7.9694
2016-03-20,8.1322
2016-04-20,8.1309
2016-05-20,8.1404
2016-06-20,7.8749
2016-07-20,7.8478
2016-08-20,7.8406
2016-09-20,7.6472
2016-10-20,7.6472
2016-11-20,7.6519
2016-12-20,7.6892
2017-01-20,7.6912
2017-02-20,7.695
2017-03-20,7.7851
2017-04-20,7.7647
2017-05-20,7.6969
2017-06-20,7.9954
2017-07-20,8.0452
2017-08-20,8.1587
2017-09-20,8.271
2017-10-20,8.271
2017-11-20,8.3177
2017-12-20,8.4641
2018-01-20,8.4602
2018-02-20,8.4605
2018-03-20,8.8393
2018-04-20,8.8393
2018-05-20,8.8448
2018-06-20,8.6685
2018-07-20,8.6492
2018-08-20,8.6568
2018-09-20,8.768
2018-10-20,8.7664
2018-11-20,8.771
2018-12-20,8.6894
2019-01-20,8.6874
2019-02-20,8.695
2019-03-20,8.3717
2019-04-20,8.372
2019-05-20,8.3617
2019-06-20,8.2873
2019-07-20,8.2648
2019-08-20,8.256
2019-09-20,8.064
2019-10-20,8.0638
2019-11-20,8.0907
2019-12-20,7.7304
2020-01-20,7.7322
2020-02-20,7.732
2020-03-20,7.3987
2020-04-20,7.3962
2020-05-20,7.4017
2020-06-20,6.4879
2020-07-20,6.4938
2020-08-20,6.4961
2020-09-20,5.7713
2020-10-20,5.7729
2020-11-20,5.7696
2020-12-20,5.9076
2021-01-20,5.9092
2021-02-20,5.9113
2021-03-20,6.5731
2021-04-20,6.5746
2021-05-20,6.5841
2021-06-20,8.2264
2021-07-20,8.2292
2021-08-20,8.2351
2021-09-20,9.4608
2021-10-20,9.4631
2021-11-20,9.4535
2021-12-20,9.4801
2022-01-20,9.4837
2022-02-20,9.4672
2022-03-20,9.3183
2022-04-20,9.3188
2022-05-20,9.3339
2022-06-20,8.3329
2022-07-20,8.3512
2022-08-20,8.3522
2022-09-20,7.4856
2022-10-20,7.487
2022-11-20,7.488
2022-12-20,7.6267
2023-01-20,7.6275
2023-02-20,7.6241
2023-03-20,7.4028
2023-04-20,7.4061
2023-05-20,7.4105
2023-06-20,7.9367
2023-07-20,7.9189
2023-08-20,7.8853
2023-09-20,8.2595
2023-10-20,8.2617
2023-11-20,8.2602
2023-12-20,8.2549
2024-01-20,8.2557
2024-02-20,8.256
2024-03-20,8.7106
2024-04-20,8.7086
2024-05-20,8.7053
2024-06-20,8.6552
2024-07-20,8.6439
2024-08-20,8.6452
2024-09-20,9.0395
2024-10-20,9.0382
2024-11-20,9.0463
2024-12-20,9.7302
2025-01-20,9.7312
2025-02-20,9.7247
2025-03-20,9.593
2025-04-20,9.5476
2025-05-20,9.5466
2025-06-20,9.8644
2025-07-20,9.8268
2025-08-20,9.8234
2025-09-20,9.7984
2025-10-20,9.7992
2025-11-20,9.774
