date,pb
2004-01-20,1.7225
2004-02-20,1.7361
2004-03-20,1.7669
2004-04-20,1.8978
2004-05-20,1.9036
2004-06-20,1.7704
2004-07-20,1.8369
2004-08-20,1.7633
2004-09-20,1.7503
2004-10-20,1.7117
2004-11-20,1.6898
2004-12-20,1.6724
2005-01-20,1.7474
2005-02-20,1.7221
2005-03-20,1.7696
2005-04-20,1.7651
2005-05-20,1.6867
2005-06-20,1.6313
2005-07-20,1.677
2005-08-20,1.7074
2005-09-20,1.8054
2005-10-20,2.0224
2005-11-20,2.0517
2005-12-20,2.0339
2006-01-20,2.1808
2006-02-20,2.2631
2006-03-20,2.1
2006-04-20,2.2284
2006-05-20,2.2186
2006-06-20,1.9529
2006-07-20,1.9765
2006-08-20,1.9736
2006-09-20,2.0623
2006-10-20,2.0341
2006-11-20,2.0535
2006-12-20,1.9532
2007-01-20,2.0595
2007-02-20,2.115
2007-03-20,2.1139
2007-04-20,2.0677
2007-05-20,2.0564
2007-06-20,2.0847
2007-07-20,2.1071
2007-08-20,2.0367
2007-09-20,1.8675
2007-10-20,1.8864
2007-11-20,1.8831
2007-12-20,1.7779
2008-01-20,1.7193
2008-02-20,1.5629
2008-03-20,1.5464
2008-04-20,1.4069
2008-05-20,1.5864
2008-06-20,1.7127
2008-07-20,1.596
2008-08-20,1.571
2008-09-20,1.508
2008-10-20,1.2986
2008-11-20,1.0251
2008-12-20,1.0021
2009-01-20,1.031
2009-02-20,0.952
2009-03-20,0.9902
2009-04-20,1.0129
2009-05-20,1.1061
2009-06-20,1.2661
2009-07-20,1.3034
2009-08-20,1.3406
2009-09-20,1.317
2009-10-20,1.2416
2009-11-20,1.2239
2009-12-20,1.1396
2010-01-20,1.2446
2010-02-20,1.235
2010-03-20,1.2108
2010-04-20,1.33
2010-05-20,1.3355
2010-06-20,1.1717
2010-07-20,1.1182
2010-08-20,1.1336
2010-09-20,1.0745
2010-10-20,1.1096
2010-11-20,1.0917
2010-12-20,1.142
2011-01-20,1.1898
2011-02-20,1.2033
2011-03-20,1.2465
2011-04-20,1.134
2011-05-20,1.1134
2011-06-20,1.1046
2011-07-20,1.1139
2011-08-20,1.1018
2011-09-20,1.0044
2011-10-20,0.987
2011-11-20,0.9959
2011-12-20,0.9472
2012-01-20,0.959
2012-02-20,0.9933
2012-03-20,1.1143
2012-04-20,1.1369
2012-05-20,1.0778
2012-06-20,0.9169
2012-07-20,0.9917
2012-08-20,0.9475
2012-09-20,0.9595
2012-10-20,0.9661
2012-11-20,0.9741
2012-12-20,1.011
2013-01-20,1.1311
2013-02-20,1.2377
