date,pe
2004-01-20,42.6504
2004-02-20,42.9248
2004-03-20,43.5495
2004-04-20,46.4824
2004-05-20,26.9068
2004-06-20,27.9744
2004-07-20,26.8454
2004-08-20,25.5246
2004-09-20,19.8328
2004-10-20,19.3969
2004-11-20,19.7585
2004-12-20,20.9154
2005-01-20,21.0753
2005-02-20,20.8188
2005-03-20,19.5642
2005-04-20,19.5525
2005-05-20,19.7476
2005-06-20,20.169
2005-07-20,20.635
2005-08-20,20.998
2005-09-20,20.5897
2005-10-20,23.1588
2005-11-20,24.1727
2005-12-20,23.8137
2006-01-20,25.3995
2006-02-20,26.5101
2006-03-20,23.3971
2006-04-20,24.1154
2006-05-20,23.8554
2006-06-20,20.9559
2006-07-20,20.7268
2006-08-20,20.5835
2006-09-20,20.3352
2006-10-20,20.04
2006-11-20,20.1506
2006-12-20,19.6926
2007-01-20,20.7577
2007-02-20,21.3401
2007-03-20,22.0057
2007-04-20,21.6642
2007-05-20,21.7427
2007-06-20,22.1373
2007-07-20,23.1252
2007-08-20,22.2559
2007-09-20,19.1938
2007-10-20,19.45
2007-11-20,20.4805
2007-12-20,18.5777
2008-01-20,18.0891
2008-02-20,16.4536
2008-03-20,15.5693
2008-04-20,14.2006
2008-05-20,16.7507
2008-06-20,17.5321
2008-07-20,16.7186
2008-08-20,16.2682
2008-09-20,16.3747
2008-10-20,14.1613
2008-11-20,11.1672
2008-12-20,11.7406
2009-01-20,12.2204
2009-02-20,11.4484
2009-03-20,17.6991
2009-04-20,18.9039
2009-05-20,22.6577
2009-06-20,171.4801
2009-07-20,126.8634
2009-08-20,124.6829
2009-09-20,124.6829
2009-10-20,124.6829
2009-11-20,124.6829
2009-12-20,124.6829
2010-01-20,124.6829
2010-02-20,124.6829
2010-03-20,95.214
2010-04-20,102.8552
2010-05-20,103.0889
2010-06-20,25.0046
2010-07-20,23.7969
2010-08-20,23.8578
2010-09-20,16.6903
2010-10-20,17.1638
2010-11-20,16.6553
2010-12-20,14.6705
2011-01-20,15.275
2011-02-20,15.4548
2011-03-20,15.1162
2011-04-20,13.7247
2011-05-20,13.5191
2011-06-20,14.7381
2011-07-20,14.8058
2011-08-20,14.5356
