date,profit_margin
2004-01-20,1.566
2004-02-20,1.5683
2004-03-20,1.5845
2004-04-20,1.5943
2004-05-20,2.4758
2004-06-20,2.6193
2004-07-20,2.853
2004-08-20,3.0773
2004-09-20,3.5423
2004-10-20,3.5394
2004-11-20,3.4928
2004-12-20,3.5051
2005-01-20,3.6346
2005-02-20,3.6767
2005-03-20,3.6739
2005-04-20,3.6648
2005-05-20,3.4533
2005-06-20,3.6012
2005-07-20,3.6143
2005-08-20,3.6751
2005-09-20,3.958
2005-10-20,3.977
2005-11-20,3.9564
2005-12-20,4.3575
2006-01-20,4.3663
2006-02-20,4.3515
2006-03-20,3.9126
2006-04-20,3.9092
2006-05-20,3.9037
2006-06-20,4.8976
2006-07-20,4.9307
2006-08-20,4.9279
2006-09-20,5.1502
2006-10-20,5.1524
2006-11-20,5.1694
2006-12-20,4.922
2007-01-20,5.0246
2007-02-20,5.0365
2007-03-20,4.8959
2007-04-20,4.8776
2007-05-20,4.9266
2007-06-20,4.6254
2007-07-20,4.623
2007-08-20,4.6226
2007-09-20,4.6998
2007-10-20,4.6991
2007-11-20,4.7119
2007-12-20,4.6401
2008-01-20,4.6224
2008-02-20,4.6307
2008-03-20,4.6933
2008-04-20,4.6869
2008-05-20,4.6608
2008-06-20,4.4775
2008-07-20,4.4684
2008-08-20,4.4758
2008-09-20,4.182
2008-10-20,4.1783
2008-11-20,4.1559
2008-12-20,3.7058
2009-01-20,3.7058
2009-02-20,3.7079
2009-03-20,1.97
2009-04-20,1.9364
2009-05-20,1.9054
2009-06-20,-0.4667
2009-07-20,-0.4636
2009-08-20,-0.4531
2009-09-20,-1.2207
2009-10-20,-1.2192
2009-11-20,-1.3101
2009-12-20,-1.7887
2010-01-20,-1.7903
2010-02-20,-1.7485
2010-03-20,-0.1334
2010-04-20,-0.1466
2010-05-20,-0.142
2010-06-20,2.1684
2010-07-20,2.1547
2010-08-20,2.1666
2010-09-20,3.0153
2010-10-20,3.0276
2010-11-20,3.0003
2010-12-20,3.5695
2011-01-20,3.5685
2011-02-20,3.5688
2011-03-20,3.9076
2011-04-20,3.9072
2011-05-20,3.9166
2011-06-20,3.2476
2011-07-20,3.2356
2011-08-20,3.2373
2011-09-20,2.8303
2011-10-20,2.8259
2011-11-20,2.7903
2011-12-20,2.5712
2012-01-20,2.5663
2012-02-20,2.5158
2012-03-20,1.6558
2012-04-20,1.654
2012-05-20,1.6257
2012-06-20,2.3335
2012-07-20,2.3385
2012-08-20,2.2938
2012-09-20,2.1852
2012-10-20,2.1847
2012-11-20,2.1413
2012-12-20,1.9757
2013-01-20,1.9732
2013-02-20,1.9479
2013-03-20,2.9013
2013-04-20,2.9038
2013-05-20,2.8969
2013-06-20,3.1084
2013-07-20,3.1074
2013-08-20,3.1154
2013-09-20,3.814
2013-10-20,3.8131
2013-11-20,3.8248
2013-12-20,4.4936
2014-01-20,4.4942
2014-02-20,4.5022
2014-03-20,4.7244
2014-04-20,4.7251
2014-05-20,4.7358
2014-06-20,4.7097
2014-07-20,4.7228
2014-08-20,4.7253
2014-09-20,4.5982
2014-10-20,4.5978
2014-11-20,4.5992
2014-12-20,4.8349
2015-01-20,4.8338
2015-02-20,4.8417
2015-03-20,4.8247
2015-04-20,4.8262
2015-05-20,4.8266
2015-06-20,4.8587
2015-07-20,4.8299
2015-08-20,4.7992
2015-09-20,5.2339
2015-10-20,5.1891
2015-11-20,5.2029
2015-12-20,5.0605
2016-01-20,5.0604
2016-02-20,5.0709
2016-03-20,5.0299
2016-04-20,5.0271
2016-05-20,5.035
2016-06-20,4.7203
2016-07-20,4.7235
2016-08-20,4.7217
2016-09-20,4.4326
2016-10-20,4.4309
2016-11-20,4.4355
2016-12-20,4.542
2017-01-20,4.5429
2017-02-20,4.5471
2017-03-20,5.064
2017-04-20,4.91
2017-05-20,4.9323
2017-06-20,5.5168
2017-07-20,5.5365
2017-08-20,5.4914
2017-09-20,5.7226
2017-10-20,5.7221
2017-11-20,5.7601
2017-12-20,5.7579
2018-01-20,5.7578
2018-02-20,5.7576
2018-03-20,6.4138
2018-04-20,6.4151
2018-05-20,6.42
2018-06-20,6.7312
2018-07-20,6.7312
2018-08-20,6.7361
2018-09-20,7.0219
2018-10-20,7.0218
2018-11-20,7.0262
2018-12-20,7.1079
2019-01-20,7.1085
2019-02-20,7.1102
2019-03-20,6.4253
2019-04-20,6.4265
2019-05-20,6.4634
2019-06-20,6.006
2019-07-20,6.0083
2019-08-20,6.046
2019-09-20,5.7611
2019-10-20,5.7628
2019-11-20,5.7807
2019-12-20,5.4823
2020-01-20,5.4847
2020-02-20,5.476
2020-03-20,5.2116
2020-04-20,5.2108
2020-05-20,5.2154
2020-06-20,4.2415
2020-07-20,4.2549
2020-08-20,4.2571
2020-09-20,3.4041
2020-10-20,3.4046
2020-11-20,3.4102
2020-12-20,3.3672
2021-01-20,3.3596
