date,roa
2004-01-20,0.5645
2004-02-20,0.5654
2004-03-20,0.5777
2004-04-20,0.5835
2004-05-20,0.964
2004-06-20,0.8997
2004-07-20,1.0122
2004-08-20,1.0006
2004-09-20,1.2919
2004-10-20,1.2919
2004-11-20,1.2528
2004-12-20,1.1932
2005-01-20,1.235
2005-02-20,1.2355
2005-03-20,1.3204
2005-04-20,1.3204
2005-05-20,1.2802
2005-06-20,1.2242
2005-07-20,1.2378
2005-08-20,1.2361
2005-09-20,1.376
2005-10-20,1.3754
2005-11-20,1.3587
2005-12-20,1.4938
2006-01-20,1.5
2006-02-20,1.4917
2006-03-20,1.5057
2006-04-20,1.5101
2006-05-20,1.4992
2006-06-20,1.5115
2006-07-20,1.6301
2006-08-20,1.623
2006-09-20,1.7723
2006-10-20,1.7735
2006-11-20,1.7754
2006-12-20,1.7405
2007-01-20,1.7491
2007-02-20,1.7438
2007-03-20,1.684
2007-04-20,1.6887
2007-05-20,1.6967
2007-06-20,1.6205
2007-07-20,1.6215
2007-08-20,1.6094
2007-09-20,1.6236
2007-10-20,1.6234
2007-11-20,1.6247
2007-12-20,1.6422
2008-01-20,1.6377
2008-02-20,1.6387
2008-03-20,1.6506
2008-04-20,1.6521
2008-05-20,1.6564
2008-06-20,1.638
2008-07-20,1.6392
2008-08-20,1.6479
2008-09-20,1.457
2008-10-20,1.4555
2008-11-20,1.4644
2008-12-20,1.3135
2009-01-20,1.3138
2009-02-20,1.3141
2009-03-20,0.6612
2009-04-20,0.6504
2009-05-20,0.6459
2009-06-20,-0.1528
2009-07-20,-0.1518
2009-08-20,-0.1483
2009-09-20,-0.3741
2009-10-20,-0.3738
2009-11-20,-0.4092
2009-12-20,-0.5283
2010-01-20,-0.529
2010-02-20,-0.515
2010-03-20,-0.0371
2010-04-20,-0.0409
2010-05-20,-0.0393
2010-06-20,0.6025
2010-07-20,0.5992
2010-08-20,0.6007
2010-09-20,0.8416
2010-10-20,0.8458
2010-11-20,0.8449
2010-12-20,1.0157
2011-01-20,1.016
2011-02-20,1.0158
2011-03-20,1.1209
2011-04-20,1.1228
2011-05-20,1.0987
2011-06-20,0.9099
2011-07-20,0.9047
2011-08-20,0.9042
2011-09-20,0.7882
2011-10-20,0.7869
2011-11-20,0.781
2011-12-20,0.7213
2012-01-20,0.7204
2012-02-20,0.7049
2012-03-20,0.4592
2012-04-20,0.4595
2012-05-20,0.4508
2012-06-20,0.6462
2012-07-20,0.6472
2012-08-20,0.6334
2012-09-20,0.6187
2012-10-20,0.6185
2012-11-20,0.6096
2012-12-20,0.5649
2013-01-20,0.5645
2013-02-20,0.5558
2013-03-20,0.8067
2013-04-20,0.8087
2013-05-20,0.8002
2013-06-20,0.8146
2013-07-20,0.8292
2013-08-20,0.8314
2013-09-20,1.0342
2013-10-20,1.0339
2013-11-20,1.0353
2013-12-20,1.2223
2014-01-20,1.2235
2014-02-20,1.2258
2014-03-20,1.2624
2014-04-20,1.2656
2014-05-20,1.2665
2014-06-20,1.3149
2014-07-20,1.3025
2014-08-20,1.3014
2014-09-20,1.2723
2014-10-20,1.2721
2014-11-20,1.2735
2014-12-20,1.3165
2015-01-20,1.3167
2015-02-20,1.3184
2015-03-20,1.2773
2015-04-20,1.2796
2015-05-20,1.2795
2015-06-20,1.2506
2015-07-20,1.2461
2015-08-20,1.239
2015-09-20,1.3569
2015-10-20,1.3461
2015-11-20,1.3505
2015-12-20,1.317
2016-01-20,1.3178
2016-02-20,1.3212
2016-03-20,1.2436
2016-04-20,1.2459
2016-05-20,1.2501
2016-06-20,1.1673
2016-07-20,1.169
2016-08-20,1.1716
2016-09-20,1.0937
2016-10-20,1.0933
2016-11-20,1.0959
2016-12-20,1.097
2017-01-20,1.0984
2017-02-20,1.1005
2017-03-20,1.1645
2017-04-20,1.1315
2017-05-20,1.137
2017-06-20,1.2745
2017-07-20,1.273
2017-08-20,1.2622
2017-09-20,1.3544
2017-10-20,1.3543
2017-11-20,1.3532
2017-12-20,1.3543
2018-01-20,1.3551
2018-02-20,1.3566
2018-03-20,1.4835
2018-04-20,1.4863
2018-05-20,1.4868
2018-06-20,1.5862
2018-07-20,1.5876
2018-08-20,1.5905
2018-09-20,1.6928
2018-10-20,1.6928
2018-11-20,1.6939
2018-12-20,1.6998
2019-01-20,1.7015
2019-02-20,1.7048
2019-03-20,1.5596
2019-04-20,1.5649
2019-05-20,1.5791
2019-06-20,1.4731
2019-07-20,1.4732
2019-08-20,1.4863
2019-09-20,1.4075
2019-10-20,1.4082
2019-11-20,1.4083
2019-12-20,1.3088
2020-01-20,1.3103
2020-02-20,1.3106
2020-03-20,1.2127
2020-04-20,1.2155
2020-05-20,1.2159
2020-06-20,0.9467
2020-07-20,0.9512
2020-08-20,0.9532
2020-09-20,0.7212
2020-10-20,0.7212
2020-11-20,0.7234
2020-12-20,0.6747
2021-01-20,0.674
2021-02-20,0.6742
2021-03-20,0.784
2021-04-20,0.7857
2021-05-20,0.7869
2021-06-20,1.1049
2021-07-20,1.1056
