date,roc
2004-01-20,1.3165
2004-02-20,1.3196
2004-03-20,1.3392
2004-04-20,1.3507
2004-05-20,2.2315
2004-06-20,1.956
2004-07-20,2.1609
2004-08-20,2.144
2004-09-20,2.7357
2004-10-20,2.7358
2004-11-20,2.6526
2004-12-20,2.5366
2005-01-20,2.631
2005-02-20,2.6313
2005-03-20,2.7997
2005-04-20,2.7978
2005-05-20,2.7125
2005-06-20,2.8776
2005-07-20,2.9288
2005-08-20,2.9374
2005-09-20,2.9508
2005-10-20,2.9489
2005-11-20,2.9125
2005-12-20,3.3033
2006-01-20,3.3141
2006-02-20,3.3001
2006-03-20,3.4772
2006-04-20,3.4842
2006-05-20,3.4545
2006-06-20,3.749
2006-07-20,3.8825
2006-08-20,3.8982
2006-09-20,4.218
2006-10-20,4.2192
2006-11-20,4.2238
2006-12-20,4.0998
2007-01-20,4.1109
2007-02-20,4.099
2007-03-20,3.9312
2007-04-20,3.9419
2007-05-20,3.958
2007-06-20,3.5574
2007-07-20,3.5437
2007-08-20,3.5243
2007-09-20,3.4883
2007-10-20,3.4877
2007-11-20,3.4906
2007-12-20,3.5329
2008-01-20,3.5223
2008-02-20,3.5245
2008-03-20,3.5858
2008-04-20,3.5867
2008-05-20,3.5953
2008-06-20,3.768
2008-07-20,3.7636
2008-08-20,3.7703
2008-09-20,3.4183
2008-10-20,3.4145
2008-11-20,3.4353
2008-12-20,3.086
2009-01-20,3.0855
2009-02-20,3.0863
2009-03-20,1.5553
2009-04-20,1.5311
2009-05-20,1.5203
2009-06-20,-0.379
2009-07-20,-0.346
2009-08-20,-0.3405
2009-09-20,-0.8488
2009-10-20,-0.8482
2009-11-20,-0.9284
2009-12-20,-1.1823
2010-01-20,-1.1835
2010-02-20,-1.1521
2010-03-20,-0.0837
2010-04-20,-0.0921
2010-05-20,-0.0884
2010-06-20,1.3169
2010-07-20,1.3408
2010-08-20,1.3497
2010-09-20,1.965
2010-10-20,1.9732
2010-11-20,1.971
2010-12-20,2.3463
2011-01-20,2.3466
2011-02-20,2.3459
2011-03-20,2.6791
2011-04-20,2.6805
2011-05-20,2.5232
2011-06-20,2.2781
2011-07-20,2.0722
2011-08-20,2.0908
2011-09-20,1.8471
2011-10-20,1.844
2011-11-20,1.8303
2011-12-20,1.6966
2012-01-20,1.6942
2012-02-20,1.6577
2012-03-20,1.0908
2012-04-20,1.0919
2012-05-20,1.071
2012-06-20,1.487
2012-07-20,1.5188
2012-08-20,1.4865
2012-09-20,1.4409
2012-10-20,1.4404
2012-11-20,1.4197
2012-12-20,1.3138
2013-01-20,1.3122
2013-02-20,1.2921
2013-03-20,1.855
2013-04-20,1.8588
2013-05-20,1.8393
2013-06-20,1.8742
2013-07-20,1.9244
2013-08-20,1.9294
2013-09-20,2.4122
2013-10-20,2.4116
2013-11-20,2.4148
2013-12-20,2.826
2014-01-20,2.8276
2014-02-20,2.833
2014-03-20,2.8732
2014-04-20,2.8769
2014-05-20,2.8789
2014-06-20,3.0171
2014-07-20,3.0119
2014-08-20,3.0098
2014-09-20,2.9225
2014-10-20,2.9217
2014-11-20,2.9249
2014-12-20,3.019
2015-01-20,3.0192
2015-02-20,3.0229
2015-03-20,2.9299
2015-04-20,2.9333
2015-05-20,2.9328
2015-06-20,2.9006
2015-07-20,2.9195
2015-08-20,2.903
2015-09-20,3.1694
2015-10-20,3.1426
2015-11-20,3.1527
2015-12-20,3.0693
2016-01-20,3.0712
2016-02-20,3.0789
2016-03-20,2.9589
2016-04-20,2.9658
2016-05-20,2.9756
2016-06-20,2.9128
2016-07-20,2.9539
2016-08-20,2.9606
2016-09-20,2.7523
2016-10-20,2.7512
2016-11-20,2.7578
2016-12-20,2.7589
2017-01-20,2.7578
2017-02-20,2.7631
2017-03-20,2.9056
2017-04-20,2.8258
2017-05-20,2.8419
2017-06-20,3.1846
2017-07-20,3.2257
2017-08-20,3.1983
2017-09-20,3.3797
2017-10-20,3.3788
2017-11-20,3.3761
2017-12-20,3.3984
2018-01-20,3.392
2018-02-20,3.3958
2018-03-20,3.7753
2018-04-20,3.7855
2018-05-20,3.7868
2018-06-20,4.0241
2018-07-20,4.1081
2018-08-20,4.1155
2018-09-20,4.3714
2018-10-20,4.371
2018-11-20,4.3739
2018-12-20,4.3032
2019-01-20,4.3069
2019-02-20,4.3152
2019-03-20,3.9629
2019-04-20,3.9694
2019-05-20,4.0116
2019-06-20,3.6349
2019-07-20,3.7695
2019-08-20,3.803
2019-09-20,3.5633
2019-10-20,3.5653
2019-11-20,3.5654
2019-12-20,3.3055
2020-01-20,3.3088
2020-02-20,3.3096
2020-03-20,3.0699
2020-04-20,3.0945
2020-05-20,3.0953
2020-06-20,2.3598
2020-07-20,2.4244
2020-08-20,2.4299
2020-09-20,1.8355
2020-10-20,1.8393
2020-11-20,1.8451
2020-12-20,1.7199
2021-01-20,1.7171
2021-02-20,1.7175
2021-03-20,1.9905
2021-04-20,2.0041
2021-05-20,2.007
2021-06-20,2.7288
2021-07-20,2.7983
2021-08-20,2.8007
2021-09-20,3.4394
2021-10-20,3.4526
2021-11-20,3.4553
2021-12-20,3.6981
2022-01-20,3.7033
2022-02-20,3.7173
2022-03-20,3.695
2022-04-20,3.7215
2022-05-20,3.7291
2022-06-20,3.4239
2022-07-20,3.5627
2022-08-20,3.567
2022-09-20,3.1843
2022-10-20,3.1941
2022-11-20,3.1984
2022-12-20,3.4808
2023-01-20,3.4861
2023-02-20,3.4917
2023-03-20,3.3371
2023-04-20,3.3507
2023-05-20,3.3566
2023-06-20,3.3859
2023-07-20,3.4929
2023-08-20,3.502
2023-09-20,3.7133
2023-10-20,3.725
2023-11-20,3.7299
2023-12-20,3.3731
2024-01-20,3.3765
2024-02-20,3.3756
2024-03-20,3.6647
2024-04-20,3.6744
2024-05-20,3.683
2024-06-20,3.395
2024-07-20,3.5596
2024-08-20,3.5696
2024-09-20,3.4733
2024-10-20,3.4874
2024-11-20,3.505
2024-12-20,3.8447
2025-01-20,3.8528
2025-02-20,3.8519
2025-03-20,3.742
2025-04-20,3.7627
2025-05-20,3.7769
2025-06-20,3.5271
2025-07-20,3.6617
2025-08-20,3.6771
2025-09-20,3.7072
2025-10-20,3.7169
2025-11-20,3.7292
2025-12-20,3.8695
2026-01-20,3.8719
2026-02-20,3.8754
2026-03-20,3.658
2026-04-20,3.6943
