date,div_yield
2004-01-20,2.1259
2004-02-20,1.8741
2004-03-20,1.8641
2004-04-20,1.7822
2004-05-20,2.1414
2004-06-20,2.2952
2004-07-20,2.6761
2004-08-20,2.5222
2004-09-20,2.325
2004-10-20,2.4379
2004-11-20,2.3329
2004-12-20,2.3386
2005-01-20,2.8103
2005-02-20,2.6256
2005-03-20,2.6612
2005-04-20,2.7872
2005-05-20,2.7332
2005-06-20,2.6834
2005-07-20,2.2265
2005-08-20,2.1472
2005-09-20,1.9478
2005-10-20,1.9975
2005-11-20,1.8138
2005-12-20,1.7121
2006-01-20,1.7534
2006-02-20,1.7031
2006-03-20,1.696
2006-04-20,1.6608
2006-05-20,1.7341
2006-06-20,1.8974
2006-07-20,1.8496
2006-08-20,1.7161
2006-09-20,1.6845
2006-10-20,1.6776
2006-11-20,1.623
2006-12-20,1.5971
2007-01-20,2.0854
2007-02-20,1.9037
2007-03-20,1.9243
2007-04-20,1.9286
2007-05-20,1.8461
2007-06-20,1.7048
2007-07-20,1.5572
2007-08-20,1.7242
2007-09-20,1.5608
2007-10-20,1.5177
2007-11-20,1.5893
2007-12-20,1.5652
2008-01-20,1.8384
2008-02-20,1.8729
2008-03-20,1.943
2008-04-20,1.7216
2008-05-20,1.6236
2008-06-20,1.7534
2008-07-20,2.022
2008-08-20,1.9672
2008-09-20,2.0632
2008-10-20,2.2169
2008-11-20,2.8347
2008-12-20,2.2544
2009-01-20,1.7171
2009-02-20,1.8075
2009-03-20,1.6394
2009-04-20,1.3894
2009-05-20,1.3045
2009-06-20,1.3392
2009-07-20,1.1885
2009-08-20,1.108
2009-09-20,1.0161
2009-10-20,1.0263
2009-11-20,1.0393
2009-12-20,1.0261
2010-01-20,1.2535
2010-02-20,1.3487
2010-03-20,1.2785
2010-04-20,1.2631
2010-05-20,1.3589
2010-06-20,1.247
2010-07-20,1.3576
2010-08-20,1.3285
2010-09-20,1.2905
2010-10-20,1.2937
2010-11-20,1.2287
2010-12-20,1.1577
2011-01-20,1.2837
2011-02-20,1.3416
2011-03-20,1.3606
2011-04-20,1.2546
2011-05-20,1.2955
2011-06-20,1.3095
2011-07-20,1.1909
2011-08-20,1.5076
2011-09-20,1.3941
2011-10-20,1.3496
2011-11-20,1.3308
2011-12-20,1.3391
2012-01-20,1.1977
2012-02-20,1.1571
2012-03-20,1.1353
2012-04-20,1.1508
2012-05-20,1.2727
2012-06-20,1.1718
2012-07-20,1.2183
2012-08-20,1.0767
2012-09-20,1.0311
2012-10-20,1.0819
2012-11-20,1.1119
2012-12-20,1.0306
2013-01-20,1.0394
2013-02-20,1.0113
2013-03-20,1.058
2013-04-20,1.0917
2013-05-20,1.0471
2013-06-20,1.1343
2013-07-20,1.1232
2013-08-20,1.1035
2013-09-20,1.0257
2013-10-20,0.9876
2013-11-20,1.0048
