date,ebitda_margin
2004-05-20,17.7698
2004-06-20,17.7726
2004-07-20,17.7939
2004-08-20,17.9323
2004-09-20,17.9323
2004-10-20,17.9323
2004-11-20,17.9323
2004-12-20,17.9323
2005-01-20,17.9323
2005-02-20,17.9323
2005-03-20,17.9323
2005-04-20,17.9323
2005-05-20,21.2654
2005-06-20,18.812
2005-07-20,18.8527
2005-08-20,18.9247
2005-09-20,18.9191
2005-10-20,18.9191
2005-11-20,18.9191
2005-12-20,18.9191
2006-01-20,18.9191
2006-02-20,18.9191
2006-03-20,18.9191
2006-04-20,18.9191
2006-05-20,16.9099
2006-06-20,15.4527
2006-07-20,15.5149
2006-08-20,15.4489
2006-09-20,15.4489
2006-10-20,15.4489
2006-11-20,15.4489
2006-12-20,15.4489
2007-01-20,15.4489
2007-02-20,15.4489
2007-03-20,15.4489
2007-04-20,15.4489
2007-05-20,16.4343
2007-06-20,16.4001
2007-07-20,16.3654
2007-08-20,17.3676
2007-09-20,17.2677
2007-10-20,17.5812
2007-11-20,18.4363
2007-12-20,18.2989
2008-01-20,18.7555
2008-02-20,7.6279
2008-03-20,7.6942
2008-04-20,15.1146
2008-05-20,15.9507
2008-06-20,15.9507
2008-07-20,16.1575
2008-08-20,16.5361
2008-09-20,16.7677
2008-10-20,17.1571
2008-11-20,17.8268
2008-12-20,17.9488
2009-01-20,18.014
2009-02-20,15.7182
2009-03-20,17.3698
2009-04-20,15.188
2009-05-20,14.5921
2009-06-20,14.5921
2009-07-20,14.4723
2009-08-20,13.6255
2009-09-20,14.3158
2009-10-20,14.6744
2009-11-20,15.1998
2009-12-20,14.9864
2010-01-20,14.9854
2010-02-20,14.3094
2010-03-20,15.6808
2010-04-20,15.2615
2010-05-20,15.2114
2010-06-20,15.2629
2010-07-20,15.38
2010-08-20,14.1459
2010-09-20,15.605
2010-10-20,15.5505
2010-11-20,14.66
2010-12-20,15.4445
2011-01-20,15.3667
2011-02-20,14.9401
2011-03-20,14.3971
2011-04-20,14.8205
2011-05-20,14.8455
2011-06-20,12.7952
2011-07-20,13.3622
2011-08-20,13.4532
2011-09-20,12.9901
2011-10-20,13.0158
2011-11-20,12.9219
2011-12-20,12.8018
2012-01-20,12.7947
2012-02-20,12.7268
2012-03-20,12.9232
2012-04-20,14.7392
2012-05-20,14.7471
2012-06-20,14.3981
2012-07-20,14.396
2012-08-20,14.4057
2012-09-20,14.178
2012-10-20,14.178
2012-11-20,14.1623
2012-12-20,14.2756
2013-01-20,14.2773
2013-02-20,14.2776
2013-03-20,13.4388
2013-04-20,14.2782
2013-05-20,13.942
2013-06-20,14.0151
2013-07-20,14.0472
2013-08-20,14.0573
2013-09-20,14.2853
2013-10-20,14.2915
2013-11-20,13.0565
2013-12-20,14.0838
2014-01-20,14.0855
2014-02-20,13.9863
2014-03-20,12.591
2014-04-20,13.8073
2014-05-20,13.6064
2014-06-20,13.6619
2014-07-20,13.6576
2014-08-20,13.5652
2014-09-20,13.4809
2014-10-20,13.428
2014-11-20,13.4314
2014-12-20,12.9982
2015-01-20,12.9998
2015-02-20,13.0123
2015-03-20,11.7402
2015-04-20,13.1667
2015-05-20,13.1824
2015-06-20,13.3138
2015-07-20,13.3138
2015-08-20,13.6507
2015-09-20,13.6977
2015-10-20,13.6977
2015-11-20,14.1746
2015-12-20,14.4328
2016-01-20,14.4328
2016-02-20,14.6278
2016-03-20,14.0436
2016-04-20,15.074
2016-05-20,15.074
2016-06-20,15.1312
2016-07-20,15.1313
2016-08-20,14.8661
2016-09-20,15.1816
2016-10-20,15.1816
2016-11-20,15.1816
2016-12-20,15.2418
2017-01-20,15.2434
2017-02-20,15.2016
2017-03-20,14.7542
2017-04-20,15.4725
2017-05-20,15.4725
2017-06-20,15.6282
2017-07-20,15.6293
2017-08-20,15.859
2017-09-20,16.3831
2017-10-20,16.3831
2017-11-20,16.4051
2017-12-20,16.9436
2018-01-20,16.9436
2018-02-20,17.1063
2018-03-20,17.363
2018-04-20,17.6685
2018-05-20,17.6523
2018-06-20,17.8863
2018-07-20,17.8863
2018-08-20,17.9367
2018-09-20,18.3103
2018-10-20,18.3079
2018-11-20,18.4341
2018-12-20,18.8558
2019-01-20,18.8546
2019-02-20,18.7818
2019-03-20,17.9521
2019-04-20,18.4647
2019-05-20,18.8098
2019-06-20,17.9962
2019-07-20,17.9963
2019-08-20,15.9096
2019-09-20,16.9836
2019-10-20,16.9836
2019-11-20,15.4821
2019-12-20,15.8728
2020-01-20,15.8728
2020-02-20,15.8728
2020-03-20,13.8051
2020-04-20,15.6513
2020-05-20,15.4252
2020-06-20,15.1045
2020-07-20,15.1043
2020-08-20,15.075
2020-09-20,15.4409
2020-10-20,15.4418
2020-11-20,15.4414
2020-12-20,16.28
2021-01-20,16.28
2021-02-20,16.1975
2021-03-20,15.5264
2021-04-20,16.3974
2021-05-20,17.7551
2021-06-20,17.5252
2021-07-20,17.4308
2021-08-20,18.1922
2021-09-20,18.7379
2021-10-20,18.7379
2021-11-20,18.5779
2021-12-20,19.2465
2022-01-20,19.2465
2022-02-20,19.2465
2022-03-20,18.8983
2022-04-20,19.4572
2022-05-20,19.4572
2022-06-20,19.5288
2022-07-20,19.4898
2022-08-20,19.4898
2022-09-20,19.2371
2022-10-20,19.2371
2022-11-20,19.2371
2022-12-20,17.9261
2023-01-20,17.9261
2023-02-20,17.9251
2023-03-20,15.7824
2023-04-20,16.5481
2023-05-20,16.5481
2023-06-20,15.5828
2023-07-20,15.6
2023-08-20,15.6
2023-09-20,14.601
2023-10-20,14.601
2023-11-20,12.8691
2023-12-20,15.1733
2024-01-20,15.1733
2024-02-20,15.1733
2024-03-20,14.4757
2024-04-20,16.1228
2024-05-20,15.886
2024-06-20,17.1845
2024-07-20,17.1845
2024-08-20,16.2093
2024-09-20,18.2883
2024-10-20,18.2883
2024-11-20,17.2155
2024-12-20,19.1207
2025-01-20,19.1207
2025-02-20,19.1207
2025-03-20,21.3425
2025-04-20,20.6773
2025-05-20,20.2274
2025-06-20,21.1118
2025-07-20,21.1118
2025-08-20,19.5064
2025-09-20,20.8921
2025-10-20,20.8921
2025-11-20,20.8921
2025-12-20,21.3724
2026-01-20,21.3724
2026-02-20,21.3724
2026-03-20,20.2496
2026-04-20,22.2494
