date,gross_margin
2004-05-20,28.6876
2004-06-20,28.7305
2004-07-20,28.7719
2004-08-20,29.0651
2004-09-20,29.0651
2004-10-20,29.0651
2004-11-20,29.0651
2004-12-20,29.0651
2005-01-20,29.0651
2005-02-20,29.0651
2005-03-20,29.0651
2005-04-20,29.0651
2005-05-20,28.3384
2005-06-20,27.9788
2005-07-20,28.1902
2005-08-20,28.388
2005-09-20,28.4479
2005-10-20,28.4479
2005-11-20,28.4479
2005-12-20,28.4479
2006-01-20,28.4479
2006-02-20,28.4479
2006-03-20,28.4479
2006-04-20,28.4479
2006-05-20,23.8739
2006-06-20,24.1429
2006-07-20,24.4411
2006-08-20,24.4451
2006-09-20,24.4451
2006-10-20,24.4451
2006-11-20,24.4451
2006-12-20,24.4451
2007-01-20,24.4451
2007-02-20,24.4451
2007-03-20,24.4451
2007-04-20,24.4451
2007-05-20,23.9998
2007-06-20,23.9647
2007-07-20,23.9577
2007-08-20,27.5952
2007-09-20,27.1039
2007-10-20,27.6093
2007-11-20,27.6093
2007-12-20,27.6093
2008-01-20,27.6093
2008-02-20,27.6093
2008-03-20,27.6093
2008-04-20,22.0633
2008-05-20,21.4587
2008-06-20,21.4587
2008-07-20,22.0832
2008-08-20,25.5058
2008-09-20,25.7537
2008-10-20,25.7201
2008-11-20,25.7201
2008-12-20,25.7201
2009-01-20,25.7201
2009-02-20,25.7201
2009-03-20,25.7201
2009-04-20,21.5541
2009-05-20,19.9619
2009-06-20,19.9619
2009-07-20,20.0715
2009-08-20,26.4475
2009-09-20,27.5782
2009-10-20,27.7544
2009-11-20,27.7544
2009-12-20,27.7544
2010-01-20,27.7544
2010-02-20,27.7544
2010-03-20,27.7544
2010-04-20,23.728
2010-05-20,23.2948
2010-06-20,23.4372
2010-07-20,23.6721
2010-08-20,333448560.2511
2010-09-20,348955588.7932
2010-10-20,349310059.6262
2010-11-20,327222600.0375
2010-12-20,342055459.9923
2011-01-20,343656344.1718
2011-02-20,327056659.9813
2011-03-20,315580320.9981
2011-04-20,23.0524
2011-05-20,22.9945
2011-06-20,18.7057
2011-07-20,18.7423
2011-08-20,18.8446
2011-09-20,19.6277
2011-10-20,19.745
2011-11-20,19.8097
2011-12-20,21.5162
2012-01-20,21.5014
2012-02-20,21.5466
2012-03-20,21.6773
2012-04-20,19.9219
2012-05-20,19.9499
2012-06-20,19.7478
2012-07-20,19.7569
2012-08-20,19.9053
2012-09-20,19.5383
2012-10-20,19.5379
