date,pb
2004-01-20,1.5489
2004-02-20,1.6831
2004-03-20,1.7329
2004-04-20,1.746
2004-05-20,1.5249
2004-06-20,1.4132
2004-07-20,1.3599
2004-08-20,1.2463
2004-09-20,1.3437
2004-10-20,1.3918
2004-11-20,1.3619
2004-12-20,1.4119
2005-01-20,1.4323
2005-02-20,1.5114
2005-03-20,1.6244
2005-04-20,1.5456
2005-05-20,1.306
2005-06-20,1.3614
2005-07-20,1.3992
2005-08-20,1.5556
2005-09-20,1.524
2005-10-20,1.7107
2005-11-20,1.589
2005-12-20,1.7654
2006-01-20,1.8927
2006-02-20,1.949
2006-03-20,1.8985
2006-04-20,1.8897
2006-05-20,1.7796
2006-06-20,1.629
2006-07-20,1.6066
2006-08-20,1.6414
2006-09-20,1.6923
2006-10-20,1.7172
2006-11-20,1.704
2006-12-20,1.7747
2007-01-20,1.7693
2007-02-20,1.6762
2007-03-20,1.7498
2007-04-20,1.7904
2007-05-20,1.7089
2007-06-20,1.8446
2007-07-20,1.8905
2007-08-20,2.0839
2007-09-20,2.0323
2007-10-20,2.1268
2007-11-20,2.2278
2007-12-20,2.0613
2008-01-20,2.062
2008-02-20,1.7674
2008-03-20,1.8416
2008-04-20,1.6361
2008-05-20,1.854
2008-06-20,1.8696
2008-07-20,1.6666
2008-08-20,1.5895
2008-09-20,1.4741
2008-10-20,1.4606
2008-11-20,1.142
2008-12-20,1.0791
2009-01-20,1.1086
2009-02-20,1.226
2009-03-20,1.1168
2009-04-20,1.0991
2009-05-20,1.2827
2009-06-20,1.3055
2009-07-20,1.3119
2009-08-20,1.5266
2009-09-20,1.5706
2009-10-20,1.6604
2009-11-20,1.5646
2009-12-20,1.551
2010-01-20,1.6826
2010-02-20,1.6045
2010-03-20,1.5838
2010-04-20,1.5046
2010-05-20,1.5987
2010-06-20,1.5093
2010-07-20,1.5485
2010-08-20,1.4932
2010-09-20,1.442
2010-10-20,1.534
2010-11-20,1.5372
2010-12-20,1.5612
2011-01-20,1.6975
2011-02-20,1.7143
2011-03-20,1.6117
2011-04-20,1.5744
2011-05-20,1.6579
2011-06-20,1.4905
2011-07-20,1.4573
2011-08-20,1.4637
2011-09-20,1.2381
2011-10-20,1.1904
2011-11-20,1.2886
2011-12-20,1.2066
2012-01-20,1.1955
2012-02-20,1.2903
2012-03-20,1.3677
2012-04-20,1.3561
2012-05-20,1.3539
2012-06-20,1.2052
2012-07-20,1.2046
2012-08-20,1.2413
2012-09-20,1.2108
2012-10-20,1.2685
2012-11-20,1.2125
2012-12-20,1.2347
2013-01-20,1.2834
2013-02-20,1.2519
2013-03-20,1.2714
2013-04-20,1.2308
2013-05-20,1.2725
2013-06-20,1.1989
2013-07-20,1.113
2013-08-20,1.1368
2013-09-20,1.1371
2013-10-20,1.1754
2013-11-20,1.2427
2013-12-20,1.194
2014-01-20,1.1711
2014-02-20,1.1169
2014-03-20,1.1335
2014-04-20,1.1111
2014-05-20,1.1055
2014-06-20,1.1064
2014-07-20,1.1152
2014-08-20,1.1533
2014-09-20,1.1158
2014-10-20,1.0659
2014-11-20,1.0455
2014-12-20,1.033
2015-01-20,0.9916
2015-02-20,1.0187
2015-03-20,1.0429
2015-04-20,1.0391
2015-05-20,1.1309
2015-06-20,1.0563
2015-07-20,1.0177
2015-08-20,1.064
2015-09-20,0.9131
2015-10-20,0.9311
2015-11-20,1.1024
2015-12-20,0.9807
2016-01-20,0.9648
2016-02-20,0.9306
2016-03-20,0.9149
2016-04-20,0.9872
2016-05-20,0.9792
2016-06-20,0.9715
2016-07-20,0.9765
2016-08-20,1.0587
2016-09-20,1.0116
2016-10-20,1.0128
2016-11-20,1.0138
2016-12-20,0.9931
2017-01-20,1.0188
2017-02-20,1.0554
2017-03-20,0.9877
2017-04-20,1.0654
2017-05-20,1.0949
2017-06-20,1.1789
2017-07-20,1.2146
2017-08-20,1.2259
2017-09-20,1.1315
2017-10-20,1.172
2017-11-20,1.2427
2017-12-20,1.1715
2018-01-20,1.1745
2018-02-20,1.2134
2018-03-20,1.1031
2018-04-20,1.1343
2018-05-20,1.1897
2018-06-20,1.1244
2018-07-20,1.082
2018-08-20,1.0693
2018-09-20,1.0742
2018-10-20,1.0724
2018-11-20,0.9437
2018-12-20,0.9346
2019-01-20,0.9022
2019-02-20,0.9919
2019-03-20,0.9467
2019-04-20,0.9479
2019-05-20,0.9698
2019-06-20,0.8832
2019-07-20,0.9289
2019-08-20,0.9459
2019-09-20,0.8488
2019-10-20,0.8962
2019-11-20,0.9676
2019-12-20,0.9003
2020-01-20,0.9597
2020-02-20,0.9364
2020-03-20,0.8628
2020-04-20,0.7789
2020-05-20,0.8933
2020-06-20,0.8803
2020-07-20,0.9219
2020-08-20,0.9793
2020-09-20,0.9933
2020-10-20,1.0062
2020-11-20,0.9825
2020-12-20,1.1217
2021-01-20,1.2732
2021-02-20,1.3185
2021-03-20,1.3263
2021-04-20,1.353
2021-05-20,1.4355
2021-06-20,1.341
2021-07-20,1.3839
2021-08-20,1.4735
2021-09-20,1.3138
2021-10-20,1.2517
2021-11-20,1.2902
2021-12-20,1.1449
2022-01-20,1.2097
2022-02-20,1.1013
2022-03-20,1.1031
2022-04-20,1.1088
2022-05-20,1.0763
2022-06-20,1.0676
2022-07-20,0.9271
2022-08-20,0.9815
2022-09-20,0.9672
2022-10-20,0.8431
2022-11-20,0.9095
2022-12-20,0.9246
2023-01-20,0.8319
2023-02-20,0.9106
2023-03-20,0.9159
2023-04-20,0.953
2023-05-20,0.9707
2023-06-20,0.9803
2023-07-20,0.9784
2023-08-20,1.0079
2023-09-20,0.9658
2023-10-20,0.9336
2023-11-20,0.9763
2023-12-20,0.9886
2024-01-20,1.0477
2024-02-20,0.9772
2024-03-20,1.0289
2024-04-20,1.105
2024-05-20,1.0695
2024-06-20,1.0139
2024-07-20,1.0938
2024-08-20,1.1298
2024-09-20,1.0246
2024-10-20,0.9704
2024-11-20,0.9868
2024-12-20,0.8978
2025-01-20,0.8759
2025-02-20,0.9188
2025-03-20,0.9022
2025-04-20,0.8992
2025-05-20,0.9097
2025-06-20,0.9391
2025-07-20,1.0789
2025-08-20,1.1797
2025-09-20,1.138
2025-10-20,1.2677
2025-11-20,1.5789
2025-12-20,1.4459
2026-01-20,1.5941
2026-02-20,2.0406
2026-03-20,2.4352
2026-04-20,2.3588
