date,pe
2004-05-20,13.627
2004-06-20,12.6307
2004-07-20,12.391
2004-08-20,11.6137
2004-09-20,12.521
2004-10-20,12.9694
2004-11-20,12.9694
2004-12-20,12.9694
2005-01-20,12.9694
2005-02-20,12.9694
2005-03-20,12.9694
2005-04-20,12.9694
2005-05-20,7.2127
2005-06-20,7.5378
2005-07-20,7.82
2005-08-20,8.8146
2005-09-20,8.68
2005-10-20,9.7438
2005-11-20,9.7438
2005-12-20,9.7438
2006-01-20,9.7438
2006-02-20,9.7438
2006-03-20,9.7438
2006-04-20,9.7438
2006-05-20,12.287
2006-06-20,11.1463
2006-07-20,11.0314
2006-08-20,11.2669
2006-09-20,11.6163
2006-10-20,11.7873
2006-11-20,11.7873
2006-12-20,11.7873
2007-01-20,11.7873
2007-02-20,11.7873
2007-03-20,11.7873
2007-04-20,11.7873
2007-05-20,13.7747
2007-06-20,14.8622
2007-07-20,15.2316
2007-08-20,15.6862
2007-09-20,15.2451
2007-10-20,16.1164
2007-11-20,15.8026
2007-12-20,15.102
2008-01-20,14.6436
2008-02-20,12.3999
2008-03-20,12.9528
2008-04-20,13.4394
2008-05-20,15.3022
2008-06-20,15.431
2008-07-20,14.0524
2008-08-20,11.3807
2008-09-20,10.5268
2008-10-20,10.3261
2008-11-20,7.9088
2008-12-20,7.5021
2009-01-20,7.6994
2009-02-20,9.0193
2009-03-20,8.2891
2009-04-20,14.7058
2009-05-20,17.4319
2009-06-20,17.7424
2009-07-20,17.9232
2009-08-20,19.9304
2009-09-20,20.2627
2009-10-20,20.905
2009-11-20,17.7101
2009-12-20,17.8676
2010-01-20,19.0513
2010-02-20,20.1312
2010-03-20,20.0678
2010-04-20,14.8943
2010-05-20,15.6771
2010-06-20,14.7325
2010-07-20,15.1256
2010-08-20,12.5872
2010-09-20,11.126
2010-10-20,11.849
2010-11-20,11.8677
2010-12-20,10.9264
2011-01-20,11.8421
2011-02-20,11.8995
2011-03-20,11.3782
2011-04-20,12.5855
2011-05-20,13.3437
2011-06-20,12.6449
2011-07-20,12.2732
2011-08-20,12.3159
2011-09-20,10.0427
2011-10-20,9.6828
2011-11-20,10.6049
2011-12-20,10.7796
2012-01-20,10.8386
2012-02-20,11.9275
2012-03-20,11.0226
2012-04-20,13.9177
2012-05-20,13.9751
2012-06-20,12.554
2012-07-20,12.5551
2012-08-20,12.9286
2012-09-20,14.1315
2012-10-20,14.8036
2012-11-20,14.0635
2012-12-20,12.9292
2013-01-20,13.4395
2013-02-20,13.1169
2013-03-20,11.1578
2013-04-20,12.4707
2013-05-20,12.1988
2013-06-20,13.0282
2013-07-20,12.1039
2013-08-20,12.3585
2013-09-20,12.1725
2013-10-20,12.5647
2013-11-20,12.491
2013-12-20,12.9752
2014-01-20,12.7254
2014-02-20,12.1822
2014-03-20,11.4712
2014-04-20,13.0433
2014-05-20,12.7203
2014-06-20,12.8783
2014-07-20,12.8778
2014-08-20,13.3699
2014-09-20,13.2517
2014-10-20,12.6623
2014-11-20,12.4194
2014-12-20,13.8491
2015-01-20,13.2968
2015-02-20,13.5517
2015-03-20,11.4912
2015-04-20,14.3949
2015-05-20,14.385
2015-06-20,14.237
2015-07-20,13.7158
2015-08-20,13.4154
2015-09-20,13.0499
2015-10-20,13.3077
2015-11-20,13.7004
2015-12-20,14.2994
2016-01-20,14.0676
2016-02-20,13.5699
2016-03-20,10.6933
2016-04-20,12.9859
2016-05-20,12.8808
2016-06-20,12.8276
2016-07-20,12.8979
2016-08-20,12.2023
2016-09-20,12.9401
2016-10-20,12.9561
2016-11-20,12.9693
2016-12-20,12.5807
2017-01-20,12.8936
2017-02-20,13.3289
2017-03-20,11.3638
2017-04-20,13.3809
2017-05-20,13.7517
2017-06-20,12.982
2017-07-20,13.3752
2017-08-20,13.4997
2017-09-20,11.7867
2017-10-20,12.209
2017-11-20,13.124
2017-12-20,11.4792
2018-01-20,11.5089
2018-02-20,11.8902
2018-03-20,10.4161
2018-04-20,10.7161
2018-05-20,11.1596
2018-06-20,10.5302
2018-07-20,10.1325
2018-08-20,10.0673
2018-09-20,10.0899
2018-10-20,10.0733
2018-11-20,8.9215
2018-12-20,8.8101
2019-01-20,8.5011
2019-02-20,9.3469
2019-03-20,8.5562
2019-04-20,9.5403
2019-05-20,9.6423
2019-06-20,9.3053
2019-07-20,9.7866
2019-08-20,10.3492
2019-09-20,10.5114
2019-10-20,11.0993
2019-11-20,12.6996
2019-12-20,13.3733
2020-01-20,14.2553
2020-02-20,13.9092
2020-03-20,15.5656
2020-04-20,13.6494
2020-05-20,15.4619
2020-06-20,17.2095
2020-07-20,18.0241
2020-08-20,19.146
2020-09-20,20.5568
2020-10-20,20.823
