date,profit_margin
2004-05-20,5.2814
2004-06-20,5.288
2004-07-20,5.2263
2004-08-20,5.2226
2004-09-20,5.2226
2004-10-20,5.2226
2004-11-20,5.2226
2004-12-20,5.2226
2005-01-20,5.2226
2005-02-20,5.2226
2005-03-20,5.2226
2005-04-20,5.2226
2005-05-20,8.5881
2005-06-20,7.5884
2005-07-20,7.5771
2005-08-20,7.5289
2005-09-20,7.5145
2005-10-20,7.5145
2005-11-20,7.5145
2005-12-20,7.5145
2006-01-20,7.5145
2006-02-20,7.5145
2006-03-20,7.5145
2006-04-20,7.5145
2006-05-20,6.3861
2006-06-20,6.0037
2006-07-20,6.0369
2006-08-20,6.3203
2006-09-20,6.2862
2006-10-20,6.1964
2006-11-20,6.1964
2006-12-20,6.1964
2007-01-20,6.1964
2007-02-20,6.1964
2007-03-20,6.1964
2007-04-20,6.1964
2007-05-20,5.8934
2007-06-20,5.9529
2007-07-20,5.9512
2007-08-20,7.218
2007-09-20,7.0763
2007-10-20,7.1675
2007-11-20,7.7169
2007-12-20,7.3097
2008-01-20,7.8626
2008-02-20,3.3878
2008-03-20,3.358
2008-04-20,5.4126
2008-05-20,5.4411
2008-06-20,5.4411
2008-07-20,5.5326
2008-08-20,6.9436
2008-09-20,7.0192
2008-10-20,7.0846
2008-11-20,7.7186
2008-12-20,7.7476
2009-01-20,7.7135
2009-02-20,6.4065
2009-03-20,6.5241
2009-04-20,2.7053
2009-05-20,2.5538
2009-06-20,2.5538
2009-07-20,2.5817
2009-08-20,3.7524
2009-09-20,3.9403
2009-10-20,4.0746
2009-11-20,4.4433
2009-12-20,4.3835
2010-01-20,4.387
2010-02-20,3.8247
2010-03-20,3.7284
2010-04-20,4.1065
2010-05-20,4.1066
2010-06-20,4.1427
2010-07-20,4.1754
2010-08-20,5.7889
2010-09-20,6.932
2010-10-20,6.9275
2010-11-20,6.5604
2010-12-20,7.5228
2011-01-20,7.5298
2011-02-20,7.148
2011-03-20,6.7845
2011-04-20,5.6944
2011-05-20,5.7082
2011-06-20,5.9779
2011-07-20,5.9926
2011-08-20,6.0256
2011-09-20,6.2722
2011-10-20,6.2922
2011-11-20,6.2447
2011-12-20,6.0741
2012-01-20,5.9913
2012-02-20,5.848
2012-03-20,6.4348
2012-04-20,5.913
2012-05-20,5.8921
2012-06-20,5.797
2012-07-20,5.7914
2012-08-20,5.7965
2012-09-20,4.9325
2012-10-20,4.9328
2012-11-20,4.9546
2012-12-20,5.5924
2013-01-20,5.5924
2013-02-20,5.5871
2013-03-20,5.7145
2013-04-20,5.4628
2013-05-20,5.2464
2013-06-20,5.0942
2013-07-20,5.0881
2013-08-20,5.0906
2013-09-20,5.1966
2013-10-20,5.1937
2013-11-20,5.2728
2013-12-20,5.2106
2014-01-20,5.2107
2014-02-20,5.2144
2014-03-20,5.2776
2014-04-20,5.1164
2014-05-20,5.0951
2014-06-20,5.0524
2014-07-20,5.0503
2014-08-20,5.0531
2014-09-20,5.1265
2014-10-20,5.1266
2014-11-20,5.1306
2014-12-20,4.5649
2015-01-20,4.5648
2015-02-20,4.5822
2015-03-20,5.279
2015-04-20,4.5683
2015-05-20,4.7837
2015-06-20,4.7294
2015-07-20,4.7294
2015-08-20,4.7477
2015-09-20,4.6927
2015-10-20,4.6927
2015-11-20,5.6371
2015-12-20,5.6307
2016-01-20,5.6307
2016-02-20,5.7068
2016-03-20,6.4784
2016-04-20,5.834
2016-05-20,5.834
2016-06-20,5.8715
2016-07-20,5.8699
2016-08-20,6.1729
2016-09-20,6.0072
2016-10-20,6.0072
2016-11-20,6.0072
2016-12-20,5.4851
2017-01-20,5.4895
2017-02-20,5.4704
2017-03-20,6.7719
2017-04-20,5.8972
2017-05-20,5.8972
2017-06-20,6.3489
2017-07-20,6.3493
2017-08-20,6.4426
2017-09-20,7.1738
2017-10-20,7.1739
2017-11-20,7.1917
2017-12-20,7.5944
2018-01-20,7.5944
2018-02-20,7.6673
2018-03-20,8.3378
2018-04-20,7.9779
2018-05-20,7.9807
2018-06-20,8.0778
2018-07-20,8.0779
2018-08-20,8.0722
2018-09-20,8.1508
2018-10-20,8.1507
2018-11-20,8.2247
2018-12-20,8.0405
2019-01-20,8.0417
2019-02-20,8.0866
2019-03-20,8.8813
2019-04-20,7.5795
2019-05-20,7.7727
2019-06-20,7.3358
2019-07-20,7.3358
2019-08-20,6.566
2019-09-20,6.3819
2019-10-20,6.3819
2019-11-20,5.6671
2019-12-20,5.3806
2020-01-20,5.3806
2020-02-20,5.3806
2020-03-20,4.5728
2020-04-20,4.2293
2020-05-20,3.977
2020-06-20,3.7678
2020-07-20,3.7678
2020-08-20,3.7678
2020-09-20,3.7211
2020-10-20,3.7211
2020-11-20,3.7211
2020-12-20,4.307
2021-01-20,4.307
2021-02-20,4.307
2021-03-20,5.5918
2021-04-20,4.9388
2021-05-20,7.1352
2021-06-20,7.0322
2021-07-20,7.0322
2021-08-20,8.4518
2021-09-20,8.2342
2021-10-20,8.2342
2021-11-20,9.228
2021-12-20,9.0115
2022-01-20,9.0115
2022-02-20,9.0115
2022-03-20,9.5747
2022-04-20,9.4497
2022-05-20,9.4497
2022-06-20,8.6175
2022-07-20,8.6174
2022-08-20,8.6174
2022-09-20,8.4841
2022-10-20,8.4841
2022-11-20,8.4841
2022-12-20,7.3197
2023-01-20,7.3197
2023-02-20,7.3193
2023-03-20,7.2329
2023-04-20,6.8739
2023-05-20,6.8739
2023-06-20,5.6425
2023-07-20,5.6425
2023-08-20,5.6425
2023-09-20,4.4794
2023-10-20,4.4794
2023-11-20,4.5541
2023-12-20,4.5586
2024-01-20,4.5586
2024-02-20,4.5586
2024-03-20,4.5516
2024-04-20,4.0015
2024-05-20,4.6632
2024-06-20,4.6322
2024-07-20,4.6322
2024-08-20,5.8518
2024-09-20,5.6905
2024-10-20,5.6905
2024-11-20,6.3434
2024-12-20,6.2281
2025-01-20,6.2281
2025-02-20,6.2281
2025-03-20,7.5257
2025-04-20,7.2952
2025-05-20,7.975
2025-06-20,8.0439
2025-07-20,8.0439
2025-08-20,7.9602
2025-09-20,7.8617
2025-10-20,7.8617
2025-11-20,7.8617
2025-12-20,8.5981
2026-01-20,8.5981
2026-02-20,8.5981
2026-03-20,9.9453
2026-04-20,9.4218
