date,roc
2004-05-20,5.1449
2004-06-20,5.1436
2004-07-20,5.0627
2004-08-20,4.9695
2004-09-20,4.9695
2004-10-20,4.9695
2004-11-20,4.9695
2004-12-20,4.9695
2005-01-20,4.9695
2005-02-20,4.9695
2005-03-20,4.9695
2005-04-20,4.9695
2005-05-20,8.5489
2005-06-20,8.1693
2005-07-20,8.096
2005-08-20,7.9699
2005-09-20,7.9215
2005-10-20,7.9215
2005-11-20,7.9215
2005-12-20,7.9215
2006-01-20,7.9215
2006-02-20,7.9215
2006-03-20,7.9215
2006-04-20,7.9215
2006-05-20,7.7684
2006-06-20,7.5057
2006-07-20,7.4551
2006-08-20,7.7828
2006-09-20,7.7409
2006-10-20,7.6303
2006-11-20,7.5741
2006-12-20,7.4262
2007-01-20,7.2642
2007-02-20,7.4428
2007-03-20,7.3535
2007-04-20,7.2114
2007-05-20,6.1004
2007-06-20,6.1736
2007-07-20,6.1736
2007-08-20,6.3761
2007-09-20,6.3643
2007-10-20,6.3202
2007-11-20,6.5789
2007-12-20,6.2785
2008-01-20,6.5564
2008-02-20,6.5688
2008-03-20,6.5404
2008-04-20,5.5108
2008-05-20,5.3587
2008-06-20,5.3587
2008-07-20,5.2772
2008-08-20,5.6341
2008-09-20,5.6405
2008-10-20,5.655
2008-11-20,5.5279
2008-12-20,5.5083
2009-01-20,5.4904
2009-02-20,5.3297
2009-03-20,5.3223
2009-04-20,2.5375
2009-05-20,2.482
2009-06-20,2.482
2009-07-20,2.4955
2009-08-20,2.8221
2009-09-20,2.8419
2009-10-20,2.9201
2009-11-20,3.265
2009-12-20,3.2519
2010-01-20,3.2685
2010-02-20,2.9463
2010-03-20,2.9551
2010-04-20,3.9489
2010-05-20,4.0956
2010-06-20,4.116
2010-07-20,4.1073
2010-08-20,5.1046
2010-09-20,5.6258
2010-10-20,5.6164
2010-11-20,5.6782
2010-12-20,6.3035
2011-01-20,6.2799
2011-02-20,6.2667
2011-03-20,6.1643
2011-04-20,5.8296
2011-05-20,5.8471
2011-06-20,5.9593
2011-07-20,6.0368
2011-08-20,6.0128
2011-09-20,6.0281
2011-10-20,6.0114
2011-11-20,5.9465
2011-12-20,5.412
2012-01-20,5.3419
2012-02-20,5.2052
2012-03-20,5.6304
2012-04-20,5.3672
2012-05-20,5.3408
2012-06-20,5.2735
2012-07-20,5.2662
2012-08-20,5.2314
2012-09-20,4.4907
2012-10-20,4.4911
2012-11-20,4.5032
2012-12-20,5.0915
2013-01-20,5.0916
2013-02-20,5.0861
2013-03-20,5.2305
2013-04-20,5.0918
2013-05-20,5.1662
2013-06-20,4.6701
2013-07-20,4.6086
2013-08-20,4.6029
2013-09-20,4.6861
2013-10-20,4.6928
2013-11-20,4.9289
2013-12-20,4.7346
2014-01-20,4.7346
2014-02-20,4.7177
2014-03-20,4.7298
2014-04-20,4.826
2014-05-20,4.6841
2014-06-20,4.4821
2014-07-20,4.4803
2014-08-20,4.4642
2014-09-20,4.4751
2014-10-20,4.4745
2014-11-20,4.4732
2014-12-20,3.879
2015-01-20,3.8786
2015-02-20,3.8999
2015-03-20,4.4317
2015-04-20,3.8264
2015-05-20,4.0149
2015-06-20,3.8536
2015-07-20,3.8536
2015-08-20,3.9376
2015-09-20,3.6784
2015-10-20,3.6784
2015-11-20,4.4304
2015-12-20,4.1204
2016-01-20,4.1204
2016-02-20,4.1204
2016-03-20,4.6595
2016-04-20,4.2514
2016-05-20,4.2514
2016-06-20,4.2835
2016-07-20,4.2824
2016-08-20,4.7708
2016-09-20,4.3664
2016-10-20,4.3664
2016-11-20,4.3664
2016-12-20,3.9413
2017-01-20,3.9445
2017-02-20,3.9307
2017-03-20,4.6329
2017-04-20,4.1473
2017-05-20,4.1473
2017-06-20,4.7
2017-07-20,4.7
2017-08-20,4.7
2017-09-20,5.1181
2017-10-20,5.1179
2017-11-20,5.0579
2017-12-20,5.354
2018-01-20,5.354
2018-02-20,5.354
2018-03-20,6.4552
2018-04-20,5.7641
2018-05-20,5.7276
2018-06-20,5.8143
2018-07-20,5.8143
2018-08-20,5.7462
2018-09-20,5.7664
2018-10-20,5.7664
2018-11-20,5.7315
2018-12-20,5.6185
2019-01-20,5.6239
2019-02-20,5.6239
2019-03-20,5.4636
2019-04-20,5.1322
2019-05-20,5.2943
2019-06-20,4.813
2019-07-20,4.813
2019-08-20,4.3911
2019-09-20,4.0731
2019-10-20,4.0731
2019-11-20,3.7206
2019-12-20,3.357
2020-01-20,3.357
2020-02-20,3.357
2020-03-20,2.827
2020-04-20,2.6359
2020-05-20,2.4252
2020-06-20,2.325
2020-07-20,2.325
2020-08-20,2.325
2020-09-20,2.2053
2020-10-20,2.2053
2020-11-20,2.2053
2020-12-20,2.497
2021-01-20,2.497
2021-02-20,2.497
2021-03-20,3.0542
2021-04-20,2.8488
2021-05-20,4.2163
2021-06-20,4.0265
2021-07-20,4.0484
2021-08-20,4.9425
2021-09-20,4.7431
2021-10-20,4.7431
2021-11-20,5.5223
2021-12-20,5.2122
2022-01-20,5.2122
2022-02-20,5.2122
2022-03-20,5.7819
2022-04-20,5.6262
2022-05-20,5.6262
2022-06-20,5.1996
2022-07-20,5.1878
2022-08-20,5.1878
2022-09-20,5.1495
2022-10-20,5.1495
2022-11-20,5.1495
2022-12-20,4.4557
2023-01-20,4.4557
2023-02-20,4.4557
2023-03-20,4.7816
2023-04-20,4.4489
2023-05-20,4.4489
2023-06-20,3.5243
2023-07-20,3.5245
2023-08-20,3.5245
2023-09-20,2.7835
2023-10-20,2.7835
2023-11-20,2.8974
2023-12-20,2.7194
2024-01-20,2.7194
2024-02-20,2.7194
2024-03-20,2.5803
2024-04-20,2.3864
2024-05-20,2.7644
2024-06-20,2.7403
2024-07-20,2.7403
2024-08-20,3.5327
2024-09-20,3.3671
2024-10-20,3.3671
2024-11-20,3.8226
2024-12-20,3.7228
2025-01-20,3.7228
2025-02-20,3.7228
2025-03-20,4.2092
2025-04-20,4.1242
2025-05-20,4.4066
2025-06-20,4.5159
2025-07-20,4.5159
2025-08-20,4.3955
2025-09-20,4.4632
2025-10-20,4.4632
2025-11-20,4.4632
2025-12-20,4.7432
2026-01-20,4.7432
2026-02-20,4.7432
2026-03-20,5.4672
2026-04-20,5.1318
