date,roce
2004-05-20,11.4461
2004-06-20,11.444
2004-07-20,11.2282
2004-08-20,10.9774
2004-09-20,10.9774
2004-10-20,10.9774
2004-11-20,10.9774
2004-12-20,10.9774
2005-01-20,10.9774
2005-02-20,10.9774
2005-03-20,10.9774
2005-04-20,10.9774
2005-05-20,17.9741
2005-06-20,17.6985
2005-07-20,17.5402
2005-08-20,17.3047
2005-09-20,17.2151
2005-10-20,17.2151
2005-11-20,17.2151
2005-12-20,17.2151
2006-01-20,17.2151
2006-02-20,17.2151
2006-03-20,17.2151
2006-04-20,17.2151
2006-05-20,14.2313
2006-06-20,14.5242
2006-07-20,14.4304
2006-08-20,15.7417
2006-09-20,15.656
2006-10-20,15.4324
2006-11-20,15.1861
2006-12-20,14.8891
2007-01-20,14.5618
2007-02-20,14.6451
2007-03-20,14.454
2007-04-20,14.2469
2007-05-20,12.6928
2007-06-20,12.6923
2007-07-20,12.6923
2007-08-20,13.4358
2007-09-20,13.4198
2007-10-20,13.2918
2007-11-20,14.4346
2007-12-20,13.9964
2008-01-20,14.3746
2008-02-20,14.3961
2008-03-20,14.3355
2008-04-20,12.7506
2008-05-20,12.612
2008-06-20,12.612
2008-07-20,12.4561
2008-08-20,14.05
2008-09-20,14.0664
2008-10-20,14.2206
2008-11-20,14.5874
2008-12-20,14.5354
2009-01-20,14.4868
2009-02-20,13.5457
2009-03-20,13.5273
2009-04-20,6.9935
2009-05-20,6.8405
2009-06-20,6.8405
2009-07-20,6.8874
2009-08-20,7.8839
2009-09-20,7.9304
2009-10-20,8.1475
2009-11-20,8.9751
2009-12-20,8.9517
2010-01-20,9.0005
2010-02-20,8.1118
2010-03-20,7.967
2010-04-20,10.1485
2010-05-20,10.2287
2010-06-20,10.2791
2010-07-20,10.2718
2010-08-20,11.7663
2010-09-20,13.2597
2010-10-20,13.2386
2010-11-20,13.3904
2010-12-20,14.9516
2011-01-20,14.8935
2011-02-20,14.8632
2011-03-20,14.6002
2011-04-20,12.8813
2011-05-20,12.8722
2011-06-20,12.2592
2011-07-20,12.3669
2011-08-20,12.345
2011-09-20,12.283
2011-10-20,12.2554
2011-11-20,12.0676
2011-12-20,11.2492
2012-01-20,11.0999
2012-02-20,10.9219
2012-03-20,12.394
2012-04-20,10.911
2012-05-20,10.8544
2012-06-20,10.7012
2012-07-20,10.6939
2012-08-20,10.7041
2012-09-20,9.0561
2012-10-20,9.0568
2012-11-20,9.1127
2012-12-20,10.2485
2013-01-20,10.2488
2013-02-20,10.243
2013-03-20,11.3646
2013-04-20,9.9286
2013-05-20,10.4406
2013-06-20,9.1171
2013-07-20,9.1172
2013-08-20,9.12
2013-09-20,9.2396
2013-10-20,9.2518
2013-11-20,9.6394
2013-12-20,9.1001
2014-01-20,9.1001
2014-02-20,9.0651
2014-03-20,9.8205
2014-04-20,8.7431
2014-05-20,8.7736
2014-06-20,8.5801
2014-07-20,8.6464
2014-08-20,8.6124
2014-09-20,8.5602
2014-10-20,8.5595
2014-11-20,8.5545
2014-12-20,7.3279
2015-01-20,7.326
2015-02-20,7.3995
2015-03-20,9.1009
2015-04-20,7.1993
2015-05-20,7.8671
2015-06-20,7.4287
2015-07-20,7.4287
2015-08-20,7.8963
2015-09-20,7.0171
2015-10-20,7.0171
2015-11-20,8.6913
2015-12-20,7.9344
2016-01-20,7.9344
2016-02-20,7.9344
2016-03-20,8.6817
2016-04-20,8.0792
2016-05-20,8.0792
2016-06-20,8.2201
2016-07-20,8.2176
2016-08-20,9.4382
2016-09-20,8.4624
2016-10-20,8.4624
2016-11-20,8.4624
2016-12-20,7.6462
2017-01-20,7.6527
2017-02-20,7.6241
2017-03-20,8.7274
2017-04-20,7.9117
2017-05-20,7.9117
2017-06-20,8.9735
2017-07-20,8.9735
2017-08-20,8.9735
2017-09-20,9.7299
2017-10-20,9.7295
2017-11-20,9.6082
2017-12-20,10.1642
2018-01-20,10.1642
2018-02-20,10.1642
2018-03-20,10.5705
2018-04-20,10.6054
2018-05-20,10.6844
2018-06-20,10.9111
2018-07-20,10.9112
2018-08-20,10.7765
2018-09-20,10.7412
2018-10-20,10.7412
2018-11-20,10.6731
2018-12-20,10.5874
2019-01-20,10.5913
2019-02-20,10.5913
2019-03-20,11.0696
2019-04-20,9.7919
2019-05-20,9.9219
2019-06-20,9.3247
2019-07-20,9.3247
2019-08-20,9.0215
2019-09-20,7.9729
2019-10-20,7.9729
2019-11-20,7.5174
2019-12-20,6.6163
2020-01-20,6.6163
2020-02-20,6.6163
2020-03-20,5.453
2020-04-20,5.177
2020-05-20,5.1852
2020-06-20,4.6588
2020-07-20,4.6588
2020-08-20,4.6588
2020-09-20,4.4468
2020-10-20,4.4468
2020-11-20,4.4468
2020-12-20,4.9836
2021-01-20,4.9836
2021-02-20,4.9836
2021-03-20,6.2329
2021-04-20,5.6847
2021-05-20,8.8891
2021-06-20,8.1218
2021-07-20,8.1675
2021-08-20,10.6535
2021-09-20,9.3534
2021-10-20,9.3534
2021-11-20,11.3445
2021-12-20,10.2439
2022-01-20,10.2439
2022-02-20,10.2439
2022-03-20,11.3015
2022-04-20,11.0588
2022-05-20,11.0588
2022-06-20,10.2794
2022-07-20,10.2738
2022-08-20,10.2738
2022-09-20,10.3139
2022-10-20,10.3139
2022-11-20,10.3139
2022-12-20,8.9755
2023-01-20,8.9755
2023-02-20,8.9755
2023-03-20,9.0425
2023-04-20,8.5572
2023-05-20,8.5572
2023-06-20,6.7781
2023-07-20,6.7931
2023-08-20,6.7931
2023-09-20,5.3069
2023-10-20,5.3069
2023-11-20,5.9
2023-12-20,5.1716
2024-01-20,5.1716
2024-02-20,5.1716
2024-03-20,5.1809
2024-04-20,4.601
2024-05-20,5.6184
2024-06-20,5.3564
2024-07-20,5.3564
2024-08-20,7.1798
2024-09-20,6.5723
2024-10-20,6.5723
2024-11-20,7.9347
2024-12-20,7.2984
2025-01-20,7.2984
2025-02-20,7.2984
2025-03-20,8.4466
2025-04-20,8.1576
2025-05-20,9.1078
2025-06-20,9.0364
2025-07-20,9.0364
2025-08-20,9.224
2025-09-20,8.9576
2025-10-20,8.9576
2025-11-20,8.9576
2025-12-20,9.4619
2026-01-20,9.4619
2026-02-20,9.4619
2026-03-20,10.8035
2026-04-20,10.1382
