date,div_yield
2004-01-20,1.7121
2004-02-20,1.6296
2004-03-20,1.6197
2004-04-20,1.6613
2004-05-20,2.0384
2004-06-20,2.0189
2004-07-20,2.0035
2004-08-20,1.9905
2004-09-20,1.8864
2004-10-20,1.8887
2004-11-20,1.7471
2004-12-20,1.7801
2005-01-20,1.7559
2005-02-20,1.652
2005-03-20,1.7294
2005-04-20,1.9418
2005-05-20,1.9366
2005-06-20,1.9639
2005-07-20,1.9132
2005-08-20,1.8539
2005-09-20,1.7561
2005-10-20,1.8803
2005-11-20,1.7339
2005-12-20,1.7751
2006-01-20,1.7468
2006-02-20,1.7574
2006-03-20,1.6236
2006-04-20,1.6025
2006-05-20,1.7035
2006-06-20,1.7235
2006-07-20,1.2609
2006-08-20,1.225
2006-09-20,1.1619
2006-10-20,1.1
2006-11-20,1.0875
2006-12-20,1.1962
2007-01-20,1.1609
2007-02-20,1.0806
2007-03-20,1.1175
2007-04-20,1.0376
2007-05-20,1.0865
2007-06-20,1.1866
2007-07-20,1.1871
2007-08-20,1.4296
2007-09-20,1.3801
2007-10-20,1.3292
2007-11-20,2.5142
2007-12-20,2.3557
2008-01-20,2.5869
2008-02-20,2.3296
2008-03-20,2.8432
2008-04-20,2.6532
2008-05-20,2.5395
2008-06-20,2.6324
2008-07-20,2.8176
2008-08-20,1.8379
2008-09-20,1.9205
2008-10-20,2.3902
2008-11-20,2.7949
2008-12-20,2.3266
2009-01-20,2.4608
2009-02-20,2.5685
2009-03-20,2.4536
2009-04-20,2.1535
2009-05-20,1.566
2009-06-20,1.7124
2009-07-20,1.4242
2009-08-20,1.3791
2009-09-20,1.3121
2009-10-20,1.1613
2009-11-20,1.2136
2009-12-20,2.0146
2010-01-20,2.0133
2010-02-20,2.0319
2010-03-20,2.0035
2010-04-20,1.9778
2010-05-20,2.3276
2010-06-20,2.0985
2010-07-20,1.9758
2010-08-20,1.9323
2010-09-20,1.9103
2010-10-20,1.8188
2010-11-20,1.9373
2010-12-20,1.3333
2011-01-20,1.3405
2011-02-20,1.2117
2011-03-20,1.2819
2011-04-20,1.2965
