date,ebitda_margin
2004-01-20,28.6156
2004-02-20,28.6156
2004-03-20,27.8099
2004-04-20,28.632
2004-05-20,28.7234
2004-06-20,28.7234
2004-07-20,28.7234
2004-08-20,28.9093
2004-09-20,28.9093
2004-10-20,28.9093
2004-11-20,28.9958
2004-12-20,28.9135
2005-01-20,28.9135
2005-02-20,28.9135
2005-03-20,29.0057
2005-04-20,29.0057
2005-05-20,27.8392
2005-06-20,27.8392
2005-07-20,27.8392
2005-08-20,25.9559
2005-09-20,25.9559
2005-10-20,25.9559
2005-11-20,25.4035
2005-12-20,25.4035
2006-01-20,25.4035
2006-02-20,25.4035
2006-03-20,24.7169
2006-04-20,24.7169
2006-05-20,24.6181
2006-06-20,24.5539
2006-07-20,24.5747
2006-08-20,25.3174
2006-09-20,25.5831
2006-10-20,25.6053
2006-11-20,25.4272
2006-12-20,26.1839
2007-01-20,26.184
2007-02-20,26.1697
2007-03-20,27.7676
2007-04-20,27.7345
2007-05-20,28.5941
2007-06-20,27.8991
2007-07-20,27.8979
2007-08-20,28.209
2007-09-20,28.2067
2007-10-20,28.1962
2007-11-20,26.5793
2007-12-20,26.5635
2008-01-20,26.5657
2008-02-20,26.566
2008-03-20,28.0602
2008-04-20,27.8779
2008-05-20,26.4683
2008-06-20,26.4684
2008-07-20,26.0125
2008-08-20,26.9976
2008-09-20,26.9787
2008-10-20,26.5314
2008-11-20,26.1657
2008-12-20,26.1611
2009-01-20,26.1647
2009-02-20,27.6237
2009-03-20,26.8128
2009-04-20,26.8199
2009-05-20,28.2068
2009-06-20,28.0757
2009-07-20,28.0813
2009-08-20,27.802
2009-09-20,27.7126
2009-10-20,27.7986
2009-11-20,27.3208
2009-12-20,27.3356
2010-01-20,27.3346
2010-02-20,27.2558
2010-03-20,26.2673
2010-04-20,26.4589
2010-05-20,27.6338
2010-06-20,27.9083
2010-07-20,27.8878
2010-08-20,27.7543
2010-09-20,27.7391
2010-10-20,27.7166
2010-11-20,28.0845
2010-12-20,28.0826
2011-01-20,28.0542
2011-02-20,28.0331
2011-03-20,27.46
2011-04-20,27.4066
2011-05-20,27.4396
2011-06-20,27.5032
2011-07-20,27.5009
2011-08-20,27.3121
2011-09-20,27.3337
2011-10-20,27.355
2011-11-20,27.2408
2011-12-20,27.2236
2012-01-20,27.2276
2012-02-20,27.2372
2012-03-20,26.1201
2012-04-20,26.1201
2012-05-20,24.7841
2012-06-20,25.907
2012-07-20,25.8988
2012-08-20,25.9049
2012-09-20,25.9012
2012-10-20,25.9012
2012-11-20,25.2888
2012-12-20,25.2888
2013-01-20,25.2888
2013-02-20,25.2929
2013-03-20,23.8468
2013-04-20,23.9097
2013-05-20,23.8476
2013-06-20,23.8476
2013-07-20,23.8476
2013-08-20,22.3559
2013-09-20,23.3446
2013-10-20,23.3482
2013-11-20,24.0199
2013-12-20,24.0255
2014-01-20,23.4442
2014-02-20,23.1084
2014-03-20,23.5643
2014-04-20,23.5402
2014-05-20,23.4179
2014-06-20,23.4215
2014-07-20,23.4177
2014-08-20,23.6117
2014-09-20,23.6111
2014-10-20,23.6104
2014-11-20,23.1517
2014-12-20,23.0623
2015-01-20,23.0576
2015-02-20,23.0493
2015-03-20,23.7194
2015-04-20,23.7031
2015-05-20,22.646
2015-06-20,22.646
2015-07-20,22.646
2015-08-20,22.57
2015-09-20,22.5812
2015-10-20,22.5738
2015-11-20,22.3963
2015-12-20,22.3975
2016-01-20,22.398
2016-02-20,22.235
2016-03-20,22.4058
2016-04-20,22.3777
2016-05-20,22.4988
2016-06-20,22.4663
2016-07-20,22.4519
2016-08-20,22.2982
2016-09-20,22.2705
2016-10-20,22.2613
2016-11-20,22.146
2016-12-20,22.1913
2017-01-20,22.2023
2017-02-20,22.2601
2017-03-20,21.9546
2017-04-20,22.0648
2017-05-20,22.7398
2017-06-20,22.7722
2017-07-20,22.778
2017-08-20,22.7553
2017-09-20,22.7451
2017-10-20,22.7451
2017-11-20,22.369
2017-12-20,22.369
2018-01-20,22.369
2018-02-20,22.369
2018-03-20,21.5678
2018-04-20,21.5696
2018-05-20,21.4285
2018-06-20,21.2746
2018-07-20,21.2747
2018-08-20,21.8351
2018-09-20,21.5602
2018-10-20,21.5602
2018-11-20,22.0416
2018-12-20,21.6355
2019-01-20,21.6355
2019-02-20,21.6355
2019-03-20,22.9604
2019-04-20,23.01
2019-05-20,23.5014
2019-06-20,23.3277
2019-07-20,23.3268
2019-08-20,23.433
2019-09-20,23.433
2019-10-20,23.433
2019-11-20,25.1292
2019-12-20,25.1292
2020-01-20,25.1292
2020-02-20,25.1292
2020-03-20,25.6126
2020-04-20,25.6727
2020-05-20,25.0844
2020-06-20,25.2774
2020-07-20,25.2766
2020-08-20,24.2446
2020-09-20,24.2446
2020-10-20,24.2446
2020-11-20,22.9895
2020-12-20,22.9895
2021-01-20,22.9895
2021-02-20,22.9895
2021-03-20,23.8289
2021-04-20,23.5413
2021-05-20,26.0616
