date,ev_ebit
2004-01-20,8.5158
2004-02-20,8.5158
2004-03-20,8.6809
2004-04-20,8.6776
2004-05-20,9.4911
2004-06-20,9.4911
2004-07-20,9.4911
2004-08-20,8.664
2004-09-20,8.664
2004-10-20,8.664
2004-11-20,8.7717
2004-12-20,8.7963
2005-01-20,8.7963
2005-02-20,8.7963
2005-03-20,9.2019
2005-04-20,9.2019
2005-05-20,11.4745
2005-06-20,11.4745
2005-07-20,11.4745
2005-08-20,6.9804
2005-09-20,6.9804
2005-10-20,6.9804
2005-11-20,5.5903
2005-12-20,5.5903
2006-01-20,5.5903
2006-02-20,5.5903
2006-03-20,5.9463
2006-04-20,5.9463
2006-05-20,5.9504
2006-06-20,4.168
2006-07-20,4.168
2006-08-20,4.9773
2006-09-20,4.969
2006-10-20,4.969
2006-11-20,7.9562
2006-12-20,7.8454
2007-01-20,7.8454
2007-02-20,7.6875
2007-03-20,11.0747
2007-04-20,11.0745
2007-05-20,11.4258
2007-06-20,11.6175
2007-07-20,11.6185
2007-08-20,11.9591
2007-09-20,11.9592
2007-10-20,11.9596
2007-11-20,11.8545
2007-12-20,11.8533
2008-01-20,11.865
2008-02-20,11.8622
2008-03-20,11.4927
2008-04-20,11.4663
2008-05-20,11.2666
2008-06-20,11.2668
2008-07-20,11.2668
2008-08-20,10.3775
2008-09-20,10.0812
2008-10-20,10.1096
2008-11-20,8.9902
2008-12-20,8.968
2009-01-20,8.9687
2009-02-20,8.9505
2009-03-20,9.3534
2009-04-20,9.3477
2009-05-20,8.2796
2009-06-20,8.3043
2009-07-20,8.3043
2009-08-20,10.264
2009-09-20,10.3044
2009-10-20,10.266
2009-11-20,11.7958
2009-12-20,11.7781
2010-01-20,11.7814
2010-02-20,11.9048
2010-03-20,12.7566
2010-04-20,12.6958
2010-05-20,12.308
2010-06-20,12.1137
2010-07-20,12.1247
2010-08-20,11.1543
2010-09-20,11.1656
2010-10-20,11.188
2010-11-20,12.609
2010-12-20,12.635
2011-01-20,12.6445
2011-02-20,12.6175
2011-03-20,13.8939
2011-04-20,13.875
2011-05-20,13.8596
2011-06-20,13.0582
2011-07-20,13.0701
2011-08-20,12.641
2011-09-20,12.6202
2011-10-20,12.554
2011-11-20,11.1964
2011-12-20,11.3111
2012-01-20,11.2948
2012-02-20,11.3219
2012-03-20,12.1724
2012-04-20,12.1724
2012-05-20,12.3996
2012-06-20,12.3105
2012-07-20,12.3208
2012-08-20,12.7537
2012-09-20,12.7537
2012-10-20,12.7537
2012-11-20,13.2004
2012-12-20,13.2004
2013-01-20,13.2004
2013-02-20,13.2004
2013-03-20,13.0178
2013-04-20,13.0197
2013-05-20,13.452
2013-06-20,13.452
2013-07-20,13.452
2013-08-20,13.0236
2013-09-20,13.2095
2013-10-20,13.2095
2013-11-20,12.7721
2013-12-20,12.7885
2014-01-20,12.7016
2014-02-20,13.0383
2014-03-20,14.0431
2014-04-20,14.0631
2014-05-20,13.7639
2014-06-20,13.7794
2014-07-20,13.7741
2014-08-20,13.9956
2014-09-20,14.0185
2014-10-20,14.0348
2014-11-20,15.0384
2014-12-20,15.4227
2015-01-20,15.4229
2015-02-20,15.4565
2015-03-20,14.3307
2015-04-20,14.4028
2015-05-20,14.7643
2015-06-20,14.7643
2015-07-20,14.7643
2015-08-20,14.4824
2015-09-20,14.5127
2015-10-20,14.5127
2015-11-20,13.6081
2015-12-20,13.6385
2016-01-20,13.6456
2016-02-20,13.6126
2016-03-20,14.0894
2016-04-20,14.1245
2016-05-20,14.6906
2016-06-20,14.7547
2016-07-20,14.7875
2016-08-20,14.8287
2016-09-20,14.8861
2016-10-20,14.8873
2016-11-20,14.6493
2016-12-20,14.6153
2017-01-20,14.6131
2017-02-20,14.604
2017-03-20,14.3518
2017-04-20,14.2162
2017-05-20,13.9805
2017-06-20,14.0176
2017-07-20,14.0123
2017-08-20,13.6354
2017-09-20,13.7062
2017-10-20,13.7062
2017-11-20,14.2724
2017-12-20,14.2724
2018-01-20,14.2724
2018-02-20,14.2724
2018-03-20,14.903
2018-04-20,14.9031
2018-05-20,13.9169
2018-06-20,14.2075
2018-07-20,14.2068
2018-08-20,14.7551
2018-09-20,13.9342
2018-10-20,13.9342
2018-11-20,14.5395
2018-12-20,14.1906
2019-01-20,14.1906
2019-02-20,14.1906
2019-03-20,11.8372
2019-04-20,11.7463
2019-05-20,12.4197
2019-06-20,11.7037
2019-07-20,11.706
2019-08-20,11.8352
2019-09-20,11.8352
2019-10-20,11.8352
2019-11-20,12.5584
2019-12-20,12.5584
2020-01-20,12.5584
2020-02-20,12.5584
2020-03-20,12.7112
2020-04-20,12.5722
2020-05-20,11.3342
2020-06-20,11.1641
2020-07-20,11.1816
2020-08-20,12.8472
2020-09-20,12.8472
2020-10-20,12.8472
2020-11-20,13.7847
2020-12-20,13.7847
2021-01-20,13.7847
2021-02-20,13.7847
2021-03-20,14.1684
2021-04-20,14.3899
2021-05-20,13.4669
2021-06-20,13.4669
2021-07-20,13.4669
2021-08-20,12.4496
2021-09-20,12.4244
2021-10-20,12.4244
2021-11-20,11.5371
2021-12-20,11.5371
2022-01-20,11.5371
2022-02-20,11.5371
2022-03-20,11.339
2022-04-20,11.3592
2022-05-20,11.6723
2022-06-20,11.6771
2022-07-20,11.669
2022-08-20,10.2762
2022-09-20,10.3008
2022-10-20,10.2976
2022-11-20,9.9728
2022-12-20,9.9805
2023-01-20,9.9834
2023-02-20,9.958
2023-03-20,10.1589
2023-04-20,10.3855
2023-05-20,11.4336
2023-06-20,11.5112
2023-07-20,11.5112
2023-08-20,10.989
2023-09-20,11.1022
2023-10-20,11.1022
2023-11-20,10.699
2023-12-20,10.699
2024-01-20,10.699
2024-02-20,10.699
2024-03-20,11.6376
2024-04-20,11.6447
2024-05-20,11.7097
2024-06-20,11.7097
2024-07-20,11.7097
2024-08-20,10.6721
2024-09-20,10.6721
2024-10-20,10.6721
2024-11-20,10.5077
2024-12-20,10.5077
2025-01-20,10.5077
2025-02-20,10.5077
2025-03-20,9.6907
2025-04-20,9.638
2025-05-20,9.8217
2025-06-20,9.8217
2025-07-20,9.8217
2025-08-20,10.656
2025-09-20,10.5141
2025-10-20,10.5141
2025-11-20,10.9815
2025-12-20,11.0507
2026-01-20,11.0507
2026-02-20,11.0507
2026-03-20,11.0885
2026-04-20,11.0
