date,ev_ebitda
2004-01-20,5.4123
2004-02-20,5.4123
2004-03-20,5.8117
2004-04-20,5.5746
2004-05-20,6.1204
2004-06-20,6.1204
2004-07-20,6.1204
2004-08-20,5.6447
2004-09-20,5.6447
2004-10-20,5.6447
2004-11-20,5.7296
2004-12-20,5.7431
2005-01-20,5.7431
2005-02-20,5.7431
2005-03-20,5.9632
2005-04-20,5.9632
2005-05-20,7.5648
2005-06-20,7.5648
2005-07-20,7.5648
2005-08-20,4.7776
2005-09-20,4.7776
2005-10-20,4.7776
2005-11-20,3.9269
2005-12-20,3.9269
2006-01-20,3.9269
2006-02-20,3.9269
2006-03-20,4.0459
2006-04-20,4.0459
2006-05-20,4.0495
2006-06-20,2.8615
2006-07-20,2.859
2006-08-20,3.3574
2006-09-20,3.3108
2006-10-20,3.3079
2006-11-20,5.2541
2006-12-20,5.0719
2007-01-20,5.0718
2007-02-20,4.9474
2007-03-20,7.6711
2007-04-20,7.6706
2007-05-20,7.9878
2007-06-20,8.135
2007-07-20,8.1353
2007-08-20,8.4257
2007-09-20,8.4235
2007-10-20,8.4276
2007-11-20,8.7345
2007-12-20,8.7357
2008-01-20,8.736
2008-02-20,8.7337
2008-03-20,7.8148
2008-04-20,7.8009
2008-05-20,7.8065
2008-06-20,7.8064
2008-07-20,7.9432
2008-08-20,7.0373
2008-09-20,6.7858
2008-10-20,6.9002
2008-11-20,6.1344
2008-12-20,6.1292
2009-01-20,6.1283
2009-02-20,5.801
2009-03-20,6.0685
2009-04-20,6.0656
2009-05-20,5.275
2009-06-20,5.3005
2009-07-20,5.2999
2009-08-20,6.4287
2009-09-20,6.4725
2009-10-20,6.4473
2009-11-20,7.4349
2009-12-20,7.4307
2010-01-20,7.4333
2010-02-20,7.5058
2010-03-20,8.0427
2010-04-20,8.0024
2010-05-20,7.8464
2010-06-20,7.7692
2010-07-20,7.7749
2010-08-20,7.2214
2010-09-20,7.2279
2010-10-20,7.2338
2010-11-20,7.9515
2010-12-20,7.9534
2011-01-20,7.9614
2011-02-20,7.9626
2011-03-20,8.7884
2011-04-20,8.7597
2011-05-20,8.7504
2011-06-20,8.3565
2011-07-20,8.339
2011-08-20,8.1297
2011-09-20,8.1148
2011-10-20,8.0754
2011-11-20,7.2928
2011-12-20,7.293
2012-01-20,7.2859
2012-02-20,7.2968
2012-03-20,7.9759
2012-04-20,7.9759
2012-05-20,8.5268
2012-06-20,8.0772
2012-07-20,8.0698
2012-08-20,8.2055
2012-09-20,8.2056
2012-10-20,8.2056
2012-11-20,8.3671
2012-12-20,8.3671
2013-01-20,8.3671
2013-02-20,8.3685
2013-03-20,8.8273
2013-04-20,8.8259
2013-05-20,9.0279
2013-06-20,9.0279
2013-07-20,9.0279
2013-08-20,9.3167
2013-09-20,8.9398
2013-10-20,8.9384
2013-11-20,8.5976
2013-12-20,8.5976
2014-01-20,8.8118
2014-02-20,8.841
2014-03-20,9.3777
2014-04-20,9.3832
