date,gross_margin
2004-01-20,39.3835
2004-02-20,39.3835
2004-03-20,43.2785
2004-04-20,42.8009
2004-05-20,41.6178
2004-06-20,41.6178
2004-07-20,41.6178
2004-08-20,41.8569
2004-09-20,41.8569
2004-10-20,41.8569
2004-11-20,41.003
2004-12-20,40.8772
2005-01-20,40.8772
2005-02-20,40.8772
2005-03-20,40.5393
2005-04-20,40.5393
2005-05-20,41.7142
2005-06-20,41.7142
2005-07-20,41.7142
2005-08-20,43.3155
2005-09-20,43.3155
2005-10-20,43.3155
2005-11-20,44.9105
2005-12-20,44.9105
2006-01-20,44.9105
2006-02-20,44.9105
2006-03-20,41.6581
2006-04-20,41.6581
2006-05-20,41.5381
2006-06-20,43.6879
2006-07-20,43.6873
2006-08-20,40.1932
2006-09-20,39.7891
2006-10-20,39.7891
2006-11-20,40.5838
2006-12-20,40.146
2007-01-20,40.146
2007-02-20,39.1393
2007-03-20,36.0933
2007-04-20,38.2528
2007-05-20,31.3713
2007-06-20,38.7777
2007-07-20,38.7778
2007-08-20,37.4258
2007-09-20,37.4131
2007-10-20,37.4174
2007-11-20,37.1052
2007-12-20,37.0884
2008-01-20,37.0926
2008-02-20,37.083
2008-03-20,39.2045
2008-04-20,38.696
2008-05-20,38.5708
2008-06-20,38.5708
2008-07-20,38.5708
2008-08-20,36.0372
2008-09-20,39.289
2008-10-20,39.2888
2008-11-20,39.3639
2008-12-20,39.3233
2009-01-20,39.3233
2009-02-20,39.2987
2009-03-20,40.1355
2009-04-20,40.1355
2009-05-20,40.774
2009-06-20,40.5046
2009-07-20,40.5079
2009-08-20,42.1621
2009-09-20,41.9005
2009-10-20,41.8664
2009-11-20,42.5791
2009-12-20,42.5779
2010-01-20,42.5915
2010-02-20,42.8825
2010-03-20,41.7641
2010-04-20,41.6695
2010-05-20,38.4826
2010-06-20,38.4826
2010-07-20,38.4826
2010-08-20,34.1535
2010-09-20,34.1535
2010-10-20,34.1535
2010-11-20,36.602
2010-12-20,36.806
2011-01-20,36.806
2011-02-20,36.7836
2011-03-20,45.9308
2011-04-20,45.9111
2011-05-20,45.9111
2011-06-20,38.7563
2011-07-20,38.6716
2011-08-20,39.4974
2011-09-20,39.4543
2011-10-20,39.2931
2011-11-20,38.8346
2011-12-20,38.8107
2012-01-20,38.779
2012-02-20,38.8503
2012-03-20,41.3975
2012-04-20,41.3976
2012-05-20,44.6974
2012-06-20,36.1786
2012-07-20,36.1341
2012-08-20,41.8263
2012-09-20,41.8208
2012-10-20,41.8208
2012-11-20,42.0042
2012-12-20,42.0042
2013-01-20,42.0042
2013-02-20,42.018
2013-03-20,42.0987
2013-04-20,41.2524
2013-05-20,40.7383
2013-06-20,40.7383
2013-07-20,40.7383
2013-08-20,41.8382
2013-09-20,40.9817
2013-10-20,40.9817
2013-11-20,41.9859
2013-12-20,41.9956
2014-01-20,42.0005
2014-02-20,41.5529
2014-03-20,42.2732
2014-04-20,41.8903
2014-05-20,41.512
2014-06-20,41.5184
2014-07-20,41.5191
2014-08-20,42.8919
2014-09-20,42.4306
2014-10-20,42.4318
2014-11-20,41.7808
2014-12-20,41.6208
2015-01-20,41.6216
2015-02-20,41.6939
2015-03-20,42.3097
2015-04-20,42.3433
2015-05-20,42.2091
2015-06-20,42.2091
2015-07-20,42.2091
2015-08-20,41.9917
2015-09-20,41.7722
2015-10-20,41.7586
2015-11-20,41.6921
2015-12-20,41.6943
2016-01-20,41.6952
2016-02-20,41.3918
2016-03-20,42.6411
2016-04-20,42.4288
2016-05-20,33.5642
2016-06-20,33.5638
2016-07-20,33.5638
2016-08-20,33.767
2016-09-20,33.1707
2016-10-20,33.3535
2016-11-20,32.6022
2016-12-20,32.626
2017-01-20,32.626
2017-02-20,32.626
2017-03-20,39.7891
2017-04-20,39.0956
2017-05-20,39.5363
2017-06-20,39.0276
2017-07-20,39.0273
2017-08-20,38.2695
2017-09-20,37.1123
2017-10-20,37.1123
2017-11-20,36.7938
2017-12-20,36.7938
2018-01-20,36.7938
2018-02-20,36.7938
2018-03-20,36.094
2018-04-20,36.094
2018-05-20,35.4155
2018-06-20,36.5008
2018-07-20,36.5013
2018-08-20,37.7904
2018-09-20,37.3147
2018-10-20,37.3147
2018-11-20,38.3706
2018-12-20,37.6638
2019-01-20,37.6638
2019-02-20,37.6638
2019-03-20,37.1283
2019-04-20,37.0865
2019-05-20,37.3571
2019-06-20,37.0795
2019-07-20,37.0795
2019-08-20,37.1998
2019-09-20,37.1998
2019-10-20,37.1998
