date,oper_margin
2004-01-20,18.187
2004-02-20,18.187
2004-03-20,18.6181
2004-04-20,18.3934
2004-05-20,18.5226
2004-06-20,18.5226
2004-07-20,18.5226
2004-08-20,18.8346
2004-09-20,18.8346
2004-10-20,18.8346
2004-11-20,18.9398
2004-12-20,18.8776
2005-01-20,18.8776
2005-02-20,18.8776
2005-03-20,18.7969
2005-04-20,18.7969
2005-05-20,18.3536
2005-06-20,18.3536
2005-07-20,18.3536
2005-08-20,17.7652
2005-09-20,17.7652
2005-10-20,17.7652
2005-11-20,17.8447
2005-12-20,17.8447
2006-01-20,17.8447
2006-02-20,17.8447
2006-03-20,16.8175
2006-04-20,16.8175
2006-05-20,16.7537
2006-06-20,16.8568
2006-07-20,16.8566
2006-08-20,17.0774
2006-09-20,17.0458
2006-10-20,17.0458
2006-11-20,16.7914
2006-12-20,16.9273
2007-01-20,16.9273
2007-02-20,16.8417
2007-03-20,19.2337
2007-04-20,19.21
2007-05-20,19.9902
2007-06-20,19.5359
2007-07-20,19.5343
2007-08-20,19.8744
2007-09-20,19.8675
2007-10-20,19.8691
2007-11-20,19.5839
2007-12-20,19.577
2008-01-20,19.56
2008-02-20,19.5594
2008-03-20,19.0803
2008-04-20,18.9664
2008-05-20,18.3394
2008-06-20,18.3392
2008-07-20,18.3392
2008-08-20,18.3079
2008-09-20,18.1599
2008-10-20,18.1087
2008-11-20,17.8541
2008-12-20,17.8797
2009-01-20,17.8785
2009-02-20,17.9035
2009-03-20,17.3962
2009-04-20,17.4032
2009-05-20,17.9709
2009-06-20,17.9201
2009-07-20,17.9217
2009-08-20,17.4134
2009-09-20,17.4072
2009-10-20,17.4582
2009-11-20,17.2203
2009-12-20,17.2457
2010-01-20,17.2464
2010-02-20,17.1843
2010-03-20,16.5608
2010-04-20,16.6775
2010-05-20,17.6167
2010-06-20,17.8992
2010-07-20,17.883
2010-08-20,17.9684
2010-09-20,17.9566
2010-10-20,17.9206
2010-11-20,17.7107
2010-12-20,17.6771
2011-01-20,17.6639
2011-02-20,17.6909
2011-03-20,17.3695
2011-04-20,17.3026
2011-05-20,17.3242
2011-06-20,17.6005
2011-07-20,17.546
2011-08-20,17.565
2011-09-20,17.5756
2011-10-20,17.5961
2011-11-20,17.7434
2011-12-20,17.5528
2012-01-20,17.5638
2012-02-20,17.5539
2012-03-20,17.115
2012-04-20,17.1149
2012-05-20,17.0433
2012-06-20,16.998
2012-07-20,16.9629
2012-08-20,16.6669
2012-09-20,16.6647
2012-10-20,16.6647
2012-11-20,16.0294
2012-12-20,16.0294
2013-01-20,16.0294
2013-02-20,16.0347
2013-03-20,16.1704
2013-04-20,16.2081
2013-05-20,16.0046
2013-06-20,16.0046
2013-07-20,16.0046
2013-08-20,15.9928
2013-09-20,15.7989
2013-10-20,15.7989
2013-11-20,16.1692
2013-12-20,16.1522
2014-01-20,16.2645
2014-02-20,15.6694
2014-03-20,15.7358
2014-04-20,15.7065
2014-05-20,15.6872
2014-06-20,15.6721
2014-07-20,15.6783
2014-08-20,15.977
2014-09-20,15.9531
2014-10-20,15.9351
2014-11-20,14.9249
2014-12-20,14.8215
2015-01-20,14.8216
2015-02-20,14.815
2015-03-20,15.1974
2015-04-20,15.1349
2015-05-20,15.0639
2015-06-20,15.0639
2015-07-20,15.0639
2015-08-20,15.101
2015-09-20,15.0726
2015-10-20,15.0676
2015-11-20,15.103
2015-12-20,15.0701
2016-01-20,15.0626
2016-02-20,14.9314
2016-03-20,14.9253
2016-04-20,14.8676
2016-05-20,15.0029
2016-06-20,14.9449
2016-07-20,14.9117
2016-08-20,14.6185
2016-09-20,14.5626
2016-10-20,14.5746
2016-11-20,14.4403
2016-12-20,14.4714
2017-01-20,14.4735
2017-02-20,14.4825
2017-03-20,14.2092
2017-04-20,14.337
2017-05-20,14.7742
2017-06-20,14.7624
2017-07-20,14.7678
2017-08-20,14.6955
2017-09-20,14.6614
2017-10-20,14.6614
2017-11-20,14.0466
2017-12-20,14.0466
2018-01-20,14.0466
2018-02-20,14.0466
2018-03-20,13.3014
2018-04-20,13.3014
2018-05-20,13.0521
2018-06-20,12.8974
2018-07-20,12.8982
2018-08-20,13.3007
2018-09-20,13.1476
2018-10-20,13.1476
2018-11-20,13.4671
2018-12-20,13.213
2019-01-20,13.213
2019-02-20,13.213
2019-03-20,14.3906
2019-04-20,14.4397
2019-05-20,14.5681
2019-06-20,14.4949
2019-07-20,14.4921
2019-08-20,14.2266
2019-09-20,14.2266
2019-10-20,14.2266
2019-11-20,13.8972
2019-12-20,13.8972
2020-01-20,13.8972
2020-02-20,13.8972
2020-03-20,14.0651
2020-04-20,14.1284
2020-05-20,13.8823
2020-06-20,14.1449
2020-07-20,14.1224
2020-08-20,13.0782
2020-09-20,13.0782
2020-10-20,13.0782
2020-11-20,12.0276
2020-12-20,12.0276
2021-01-20,12.0276
2021-02-20,12.0276
2021-03-20,12.7316
2021-04-20,12.6255
2021-05-20,14.7721
2021-06-20,14.7721
2021-07-20,14.7721
2021-08-20,15.9768
2021-09-20,16.0129
2021-10-20,16.0129
2021-11-20,17.3226
2021-12-20,17.3226
2022-01-20,17.3226
2022-02-20,17.3226
2022-03-20,17.2575
2022-04-20,17.1524
2022-05-20,16.8513
2022-06-20,16.8168
2022-07-20,16.8285
2022-08-20,16.4468
2022-09-20,16.4277
2022-10-20,16.4331
2022-11-20,15.6684
2022-12-20,15.6562
2023-01-20,15.6517
2023-02-20,15.6917
2023-03-20,15.4544
2023-04-20,15.0525
2023-05-20,14.6557
2023-06-20,14.7124
2023-07-20,14.7124
2023-08-20,14.8424
2023-09-20,14.7126
2023-10-20,14.7126
2023-11-20,14.327
2023-12-20,14.327
2024-01-20,14.327
2024-02-20,14.327
2024-03-20,14.5491
2024-04-20,14.5231
2024-05-20,14.3165
2024-06-20,14.3165
2024-07-20,14.3165
2024-08-20,14.5146
2024-09-20,14.5146
2024-10-20,14.5146
2024-11-20,14.7484
2024-12-20,14.7484
2025-01-20,14.7484
2025-02-20,14.7484
2025-03-20,15.374
2025-04-20,15.4686
2025-05-20,15.2614
2025-06-20,15.2614
2025-07-20,15.2614
2025-08-20,14.9467
2025-09-20,15.1076
2025-10-20,15.1076
2025-11-20,15.7124
2025-12-20,15.2542
2026-01-20,15.2542
2026-02-20,15.2542
2026-03-20,15.5893
2026-04-20,15.6608
