date,pb
2004-01-20,2.2222
2004-02-20,2.4113
2004-03-20,2.4346
2004-04-20,2.5292
2004-05-20,2.25
2004-06-20,2.2542
2004-07-20,2.2891
2004-08-20,2.233
2004-09-20,2.2612
2004-10-20,2.3883
2004-11-20,2.4591
2004-12-20,2.6384
2005-01-20,2.8487
2005-02-20,2.8528
2005-03-20,2.6336
2005-04-20,2.3747
2005-05-20,0.6792
2005-06-20,0.732
2005-07-20,0.7732
2005-08-20,0.842
2005-09-20,0.8307
2005-10-20,0.9384
2005-11-20,0.8576
2005-12-20,0.9286
2006-01-20,0.9668
2006-02-20,1.0472
2006-03-20,0.9078
2006-04-20,0.9092
2006-05-20,0.9565
2006-06-20,2.7763
2006-07-20,2.8424
2006-08-20,2.9234
2006-09-20,3.0844
2006-10-20,3.2328
2006-11-20,3.1982
2006-12-20,3.3532
2007-01-20,3.5492
2007-02-20,3.6376
2007-03-20,3.3103
2007-04-20,3.5498
2007-05-20,3.5741
2007-06-20,3.877
2007-07-20,3.8485
2007-08-20,3.5529
2007-09-20,3.5088
2007-10-20,3.5394
2007-11-20,3.3691
2007-12-20,3.1778
2008-01-20,3.1437
2008-02-20,3.1106
2008-03-20,3.3272
2008-04-20,3.5085
2008-05-20,3.2679
2008-06-20,3.4561
2008-07-20,3.1534
2008-08-20,2.752
2008-09-20,2.6557
2008-10-20,2.3516
2008-11-20,1.755
2008-12-20,1.6918
2009-01-20,1.7693
2009-02-20,1.5443
2009-03-20,1.5933
2009-04-20,1.8097
2009-05-20,2.1239
2009-06-20,2.4782
2009-07-20,2.4999
2009-08-20,2.5244
2009-09-20,2.6463
2009-10-20,2.6897
2009-11-20,2.5047
2009-12-20,2.7542
2010-01-20,2.8078
2010-02-20,2.6328
2010-03-20,2.4594
2010-04-20,2.7285
2010-05-20,2.7524
2010-06-20,2.5704
2010-07-20,2.4943
2010-08-20,2.6254
2010-09-20,2.4951
2010-10-20,2.7653
2010-11-20,2.8424
2010-12-20,2.8892
2011-01-20,3.054
2011-02-20,2.9672
2011-03-20,2.8566
2011-04-20,2.9675
2011-05-20,3.0041
2011-06-20,2.8052
2011-07-20,2.8307
2011-08-20,2.7212
2011-09-20,2.592
2011-10-20,2.1911
2011-11-20,2.7825
2011-12-20,2.7223
2012-01-20,2.6663
2012-02-20,2.8633
2012-03-20,2.9826
2012-04-20,3.1133
2012-05-20,2.9048
2012-06-20,2.5824
2012-07-20,2.9118
2012-08-20,3.1125
2012-09-20,3.0402
2012-10-20,3.2468
2012-11-20,3.0484
2012-12-20,3.0964
2013-01-20,3.2229
2013-02-20,3.3998
2013-03-20,2.8321
2013-04-20,2.9359
2013-05-20,2.8791
2013-06-20,2.7016
2013-07-20,2.6024
2013-08-20,2.6112
2013-09-20,2.4319
2013-10-20,2.5101
2013-11-20,2.4946
2013-12-20,2.5504
2014-01-20,2.567
2014-02-20,2.4347
2014-03-20,2.3641
2014-04-20,2.4979
2014-05-20,2.4754
2014-06-20,2.5461
2014-07-20,2.6241
2014-08-20,2.5645
2014-09-20,2.6905
2014-10-20,2.5782
2014-11-20,2.5899
2014-12-20,2.4843
2015-01-20,2.2925
2015-02-20,2.1544
2015-03-20,2.4577
2015-04-20,2.4028
2015-05-20,2.535
2015-06-20,2.5373
2015-07-20,2.5139
2015-08-20,2.4722
2015-09-20,2.3067
2015-10-20,2.2213
2015-11-20,2.5052
2015-12-20,2.4265
2016-01-20,2.3027
2016-02-20,2.2569
2016-03-20,2.1894
2016-04-20,2.4384
2016-05-20,2.4396
2016-06-20,2.2404
2016-07-20,2.2643
2016-08-20,2.291
2016-09-20,2.3164
2016-10-20,2.2377
2016-11-20,2.3535
2016-12-20,2.0437
2017-01-20,2.0532
2017-02-20,2.0984
2017-03-20,2.2516
2017-04-20,2.4652
2017-05-20,2.2905
2017-06-20,2.2892
2017-07-20,2.4153
2017-08-20,2.4525
2017-09-20,2.4671
2017-10-20,2.3787
2017-11-20,2.1678
2017-12-20,2.1492
2018-01-20,2.1468
2018-02-20,2.315
2018-03-20,2.2263
2018-04-20,2.2419
2018-05-20,2.154
2018-06-20,1.8561
2018-07-20,2.0191
2018-08-20,2.3419
2018-09-20,2.2701
2018-10-20,2.3063
2018-11-20,1.7765
2018-12-20,1.6957
2019-01-20,1.7498
2019-02-20,1.9207
2019-03-20,1.8367
2019-04-20,1.8408
2019-05-20,1.9135
2019-06-20,1.7729
2019-07-20,1.8232
2019-08-20,1.7327
2019-09-20,1.7195
2019-10-20,1.7639
2019-11-20,2.0509
2019-12-20,1.9956
2020-01-20,2.0884
2020-02-20,2.1168
2020-03-20,1.8357
2020-04-20,1.2969
2020-05-20,1.5908
2020-06-20,1.7019
2020-07-20,1.6988
2020-08-20,1.7477
2020-09-20,1.7532
2020-10-20,1.7715
2020-11-20,1.7569
2020-12-20,2.0983
2021-01-20,2.2311
2021-02-20,2.1364
2021-03-20,1.9298
2021-04-20,2.1301
2021-05-20,2.1521
2021-06-20,2.3188
2021-07-20,2.2757
2021-08-20,2.2344
2021-09-20,2.3493
2021-10-20,2.2042
2021-11-20,2.1927
2021-12-20,2.0467
2022-01-20,2.311
2022-02-20,2.1896
2022-03-20,2.164
2022-04-20,2.359
2022-05-20,1.9358
2022-06-20,2.0029
2022-07-20,1.8061
2022-08-20,1.8315
2022-09-20,1.7287
2022-10-20,1.7208
2022-11-20,1.9206
2022-12-20,2.0254
2023-01-20,1.8753
2023-02-20,2.1942
2023-03-20,2.0842
2023-04-20,2.155
2023-05-20,2.0706
2023-06-20,1.9901
2023-07-20,2.0903
2023-08-20,2.1148
2023-09-20,2.0172
2023-10-20,1.8878
2023-11-20,1.7066
