date,pe
2004-01-20,15.5392
2004-02-20,16.8612
2004-03-20,16.0063
2004-04-20,16.6046
2004-05-20,13.578
2004-06-20,13.6033
2004-07-20,13.814
2004-08-20,14.2807
2004-09-20,14.4613
2004-10-20,15.2737
2004-11-20,13.449
2004-12-20,14.4944
2005-01-20,15.6496
2005-02-20,15.672
2005-03-20,13.7512
2005-04-20,12.3994
2005-05-20,6.9615
2005-06-20,7.5029
2005-07-20,7.9255
2005-08-20,5.2654
2005-09-20,5.1949
2005-10-20,5.8686
2005-11-20,4.2374
2005-12-20,4.5884
2006-01-20,4.7772
2006-02-20,5.1744
2006-03-20,4.1364
2006-04-20,4.1432
2006-05-20,4.3671
2006-06-20,4.5381
2006-07-20,4.6446
2006-08-20,5.1021
2006-09-20,4.9846
2006-10-20,5.2272
2006-11-20,9.8462
2006-12-20,10.1751
2007-01-20,9.5404
2007-02-20,16.0405
2007-03-20,15.2982
2007-04-20,16.361
2007-05-20,16.6675
2007-06-20,17.5112
2007-07-20,17.3672
2007-08-20,16.1736
2007-09-20,16.0132
2007-10-20,16.0408
2007-11-20,16.6128
2007-12-20,15.9006
2008-01-20,15.8715
2008-02-20,15.819
2008-03-20,14.4088
2008-04-20,15.1176
2008-05-20,14.7311
2008-06-20,15.403
2008-07-20,14.0968
2008-08-20,12.3885
2008-09-20,12.5712
2008-10-20,11.3023
2008-11-20,8.5823
2008-12-20,8.6489
2009-01-20,9.1078
2009-02-20,8.901
2009-03-20,10.9742
2009-04-20,12.4645
2009-05-20,14.0071
2009-06-20,15.8842
2009-07-20,16.0393
2009-08-20,16.2279
2009-09-20,16.9736
2009-10-20,17.0784
2009-11-20,17.8373
2009-12-20,19.5891
2010-01-20,19.9472
2010-02-20,18.3256
2010-03-20,16.4815
2010-04-20,18.2388
2010-05-20,17.0834
2010-06-20,15.987
2010-07-20,15.509
2010-08-20,18.8066
2010-09-20,17.8573
2010-10-20,19.7908
2010-11-20,22.0889
2010-12-20,22.4621
2011-01-20,23.7435
2011-02-20,23.0379
2011-03-20,22.3133
2011-04-20,22.9826
2011-05-20,23.2838
2011-06-20,20.3892
2011-07-20,20.5971
2011-08-20,19.2115
2011-09-20,18.3452
2011-10-20,15.4092
2011-11-20,21.0233
2011-12-20,20.714
2012-01-20,20.2583
2012-02-20,21.8296
2012-03-20,23.0137
2012-04-20,24.0225
2012-05-20,20.1753
2012-06-20,17.6783
2012-07-20,19.9276
2012-08-20,23.3774
2012-09-20,22.8344
2012-10-20,24.3864
2012-11-20,20.0012
2012-12-20,20.3163
2013-01-20,21.1466
2013-02-20,22.3073
2013-03-20,18.3445
2013-04-20,19.0352
2013-05-20,19.0873
2013-06-20,17.9191
2013-07-20,17.2614
2013-08-20,18.2838
2013-09-20,17.0971
2013-10-20,17.647
2013-11-20,17.6005
2013-12-20,17.9894
2014-01-20,18.0791
2014-02-20,16.9736
2014-03-20,18.3127
2014-04-20,19.321
2014-05-20,19.0104
2014-06-20,19.5532
2014-07-20,20.1525
2014-08-20,19.2262
2014-09-20,20.2234
2014-10-20,19.3797
2014-11-20,23.0619
2014-12-20,22.0437
2015-01-20,20.3424
2015-02-20,19.1288
2015-03-20,22.1766
2015-04-20,21.7074
2015-05-20,22.2902
2015-06-20,22.3103
2015-07-20,22.1045
2015-08-20,22.2684
2015-09-20,20.7898
2015-10-20,20.0197
2015-11-20,21.7021
2015-12-20,21.0204
2016-01-20,19.9478
2016-02-20,19.2713
2016-03-20,20.035
2016-04-20,22.527
2016-05-20,19.6201
2016-06-20,18.0329
2016-07-20,18.2255
2016-08-20,19.0735
2016-09-20,19.4769
2016-10-20,19.1184
2016-11-20,20.4471
2016-12-20,17.78
2017-01-20,17.8625
2017-02-20,18.256
2017-03-20,21.7841
2017-04-20,23.0176
2017-05-20,18.3844
2017-06-20,18.4255
2017-07-20,19.4426
2017-08-20,18.6085
2017-09-20,18.7448
2017-10-20,18.0728
2017-11-20,16.5059
2017-12-20,16.3642
2018-01-20,16.3462
2018-02-20,17.6267
2018-03-20,17.5841
2018-04-20,17.6692
2018-05-20,18.241
2018-06-20,15.6855
2018-07-20,17.064
2018-08-20,19.4436
