date,profit_margin
2004-01-20,8.8009
2004-02-20,8.8009
2004-03-20,9.4048
2004-04-20,9.3683
2004-05-20,10.0986
2004-06-20,10.0986
2004-07-20,10.0986
2004-08-20,9.4085
2004-09-20,9.4085
2004-10-20,9.4085
2004-11-20,10.837
2004-12-20,10.7926
2005-01-20,10.7926
2005-02-20,10.7926
2005-03-20,11.7199
2005-04-20,11.7199
2005-05-20,13.4943
2005-06-20,13.4943
2005-07-20,13.4943
2005-08-20,14.8258
2005-09-20,14.8258
2005-10-20,14.8258
2005-11-20,14.7873
2005-12-20,14.7873
2006-01-20,14.7873
2006-02-20,14.7873
2006-03-20,13.4487
2006-04-20,13.4487
2006-05-20,13.3978
2006-06-20,13.1433
2006-07-20,13.1431
2006-08-20,12.1432
2006-09-20,12.021
2006-10-20,12.021
2006-11-20,11.1165
2006-12-20,11.3634
2007-01-20,11.3634
2007-02-20,11.0784
2007-03-20,12.4679
2007-04-20,12.4764
2007-05-20,12.7485
2007-06-20,12.8138
2007-07-20,12.8089
2007-08-20,12.9
2007-09-20,12.922
2007-10-20,12.9235
2007-11-20,12.4479
2007-12-20,12.4422
2008-01-20,12.479
2008-02-20,12.4594
2008-03-20,12.9136
2008-04-20,12.9606
2008-05-20,12.0894
2008-06-20,12.0894
2008-07-20,12.0894
2008-08-20,12.024
2008-09-20,12.0295
2008-10-20,12.0164
2008-11-20,10.9129
2008-12-20,10.8949
2009-01-20,10.8949
2009-02-20,10.9006
2009-03-20,7.874
2009-04-20,7.874
2009-05-20,7.229
2009-06-20,7.3202
2009-07-20,7.3241
2009-08-20,7.3946
2009-09-20,7.3845
2009-10-20,7.4266
2009-11-20,7.7245
2009-12-20,7.7406
2010-01-20,7.7169
2010-02-20,7.6853
2010-03-20,9.841
2010-04-20,9.804
2010-05-20,9.4799
2010-06-20,9.4799
2010-07-20,9.4799
2010-08-20,9.1829
2010-09-20,9.1829
2010-10-20,9.1829
2010-11-20,9.7765
2010-12-20,9.7765
2011-01-20,9.7765
2011-02-20,9.7705
2011-03-20,9.8326
2011-04-20,9.7633
2011-05-20,9.7633
2011-06-20,9.939
2011-07-20,9.9288
2011-08-20,8.7431
2011-09-20,8.7214
2011-10-20,8.715
2011-11-20,7.7891
2011-12-20,7.8034
2012-01-20,7.818
