date,roa
2004-01-20,5.2157
2004-02-20,5.2157
2004-03-20,5.9634
2004-04-20,5.4646
2004-05-20,6.0561
2004-06-20,6.0561
2004-07-20,6.0561
2004-08-20,5.7735
2004-09-20,5.7735
2004-10-20,5.7735
2004-11-20,6.5198
2004-12-20,6.4932
2005-01-20,6.4932
2005-02-20,6.4932
2005-03-20,6.9233
2005-04-20,6.9233
2005-05-20,3.077
2005-06-20,3.077
2005-07-20,3.077
2005-08-20,5.4731
2005-09-20,5.4731
2005-10-20,5.4731
2005-11-20,7.6407
2005-12-20,7.6407
2006-01-20,7.6407
2006-02-20,7.6407
2006-03-20,8.0801
2006-04-20,8.0801
2006-05-20,8.0748
2006-06-20,24.0891
2006-07-20,24.0891
2006-08-20,17.5444
2006-09-20,17.3272
2006-10-20,17.3272
2006-11-20,11.0093
2006-12-20,11.2678
2007-01-20,11.2678
2007-02-20,11.2678
2007-03-20,8.3407
2007-04-20,8.3174
2007-05-20,8.4306
2007-06-20,8.4505
2007-07-20,8.4473
2007-08-20,7.8513
2007-09-20,7.8674
2007-10-20,7.8674
2007-11-20,7.5694
2007-12-20,7.5694
2008-01-20,7.5909
2008-02-20,7.5809
2008-03-20,7.9835
2008-04-20,7.9795
2008-05-20,7.6747
2008-06-20,7.6747
2008-07-20,7.6747
2008-08-20,7.5363
2008-09-20,7.4467
2008-10-20,7.4386
2008-11-20,6.747
2008-12-20,6.7428
2009-01-20,6.7428
2009-02-20,6.7506
2009-03-20,4.3192
2009-04-20,4.3192
2009-05-20,3.9905
2009-06-20,4.0415
2009-07-20,4.0433
2009-08-20,3.9386
2009-09-20,3.9178
2009-10-20,3.9433
2009-11-20,4.0315
2009-12-20,4.0401
2010-01-20,4.0264
2010-02-20,3.9827
2010-03-20,5.0925
2010-04-20,5.1005
2010-05-20,4.8038
2010-06-20,4.8038
2010-07-20,4.8038
2010-08-20,4.5947
2010-09-20,4.5952
2010-10-20,4.5952
2010-11-20,4.5314
2010-12-20,4.5313
2011-01-20,4.5313
2011-02-20,4.5313
2011-03-20,4.7041
2011-04-20,4.7517
2011-05-20,4.7517
2011-06-20,4.9453
2011-07-20,4.9511
2011-08-20,4.3519
2011-09-20,4.3377
2011-10-20,4.3523
2011-11-20,3.9723
2011-12-20,3.982
2012-01-20,3.9927
2012-02-20,3.9753
2012-03-20,3.6829
2012-04-20,3.6829
2012-05-20,4.0644
2012-06-20,4.0952
2012-07-20,4.0831
2012-08-20,3.4774
2012-09-20,3.4774
2012-10-20,3.4774
2012-11-20,4.1035
2012-12-20,4.1035
2013-01-20,4.1035
2013-02-20,4.1035
2013-03-20,3.7408
2013-04-20,3.8054
2013-05-20,3.5471
2013-06-20,3.5471
2013-07-20,3.5471
2013-08-20,3.3209
2013-09-20,3.3103
2013-10-20,3.3103
2013-11-20,3.424
2013-12-20,3.424
2014-01-20,3.424
2014-02-20,3.4583
2014-03-20,3.0794
2014-04-20,3.101
2014-05-20,3.092
2014-06-20,3.092
2014-07-20,3.092
2014-08-20,3.2811
2014-09-20,3.2663
2014-10-20,3.2664
2014-11-20,2.8382
2014-12-20,2.7743
2015-01-20,2.7743
2015-02-20,2.7672
2015-03-20,2.4103
2015-04-20,2.4058
2015-05-20,2.2955
2015-06-20,2.2955
2015-07-20,2.2955
2015-08-20,2.2234
2015-09-20,2.215
2015-10-20,2.215
2015-11-20,2.1348
2015-12-20,2.1348
2016-01-20,2.1348
2016-02-20,2.2144
2016-03-20,2.23
2016-04-20,2.2852
2016-05-20,2.3329
2016-06-20,2.3307
2016-07-20,2.3307
2016-08-20,2.259
2016-09-20,2.2282
2016-10-20,2.2278
2016-11-20,2.3934
2016-12-20,2.391
2017-01-20,2.391
2017-02-20,2.391
2017-03-20,2.1565
2017-04-20,2.1705
2017-05-20,2.8343
2017-06-20,2.9158
2017-07-20,2.9156
2017-08-20,3.1756
2017-09-20,3.1647
2017-10-20,3.1647
2017-11-20,3.1431
2017-12-20,3.1431
2018-01-20,3.1431
2018-02-20,3.1431
2018-03-20,2.6169
2018-04-20,2.6168
2018-05-20,2.5093
2018-06-20,2.5166
2018-07-20,2.5165
2018-08-20,2.4131
2018-09-20,2.4304
2018-10-20,2.4304
2018-11-20,2.3957
2018-12-20,2.4401
2019-01-20,2.4401
2019-02-20,2.4401
2019-03-20,2.7803
2019-04-20,2.7969
2019-05-20,2.8982
2019-06-20,2.9705
2019-07-20,2.9705
2019-08-20,2.9202
2019-09-20,2.9202
2019-10-20,2.9202
2019-11-20,3.4078
2019-12-20,3.4078
2020-01-20,3.4078
2020-02-20,3.4078
2020-03-20,3.2312
2020-04-20,3.2024
2020-05-20,2.2996
2020-06-20,2.3336
2020-07-20,2.3287
2020-08-20,1.8247
2020-09-20,1.8247
2020-10-20,1.8247
2020-11-20,1.3092
2020-12-20,1.3092
2021-01-20,1.3092
2021-02-20,1.3092
2021-03-20,1.8089
2021-04-20,1.7573
2021-05-20,2.9312
2021-06-20,2.9312
2021-07-20,2.9312
2021-08-20,3.5097
2021-09-20,3.5462
2021-10-20,3.5462
2021-11-20,4.0988
2021-12-20,4.0988
2022-01-20,4.0988
2022-02-20,4.0988
2022-03-20,5.1701
2022-04-20,5.1406
2022-05-20,5.6345
2022-06-20,5.6339
2022-07-20,5.6339
2022-08-20,5.4596
2022-09-20,5.3998
2022-10-20,5.3998
2022-11-20,5.8765
2022-12-20,5.8765
2023-01-20,5.8765
2023-02-20,5.8765
2023-03-20,5.1365
2023-04-20,4.8201
2023-05-20,4.4916
2023-06-20,4.4485
2023-07-20,4.4485
2023-08-20,4.5066
2023-09-20,4.4841
2023-10-20,4.4841
2023-11-20,4.0412
2023-12-20,4.0412
2024-01-20,4.0412
2024-02-20,4.0412
2024-03-20,4.1825
2024-04-20,4.1405
2024-05-20,3.7006
2024-06-20,3.7006
2024-07-20,3.7006
2024-08-20,3.6316
2024-09-20,3.6316
2024-10-20,3.6316
2024-11-20,3.5916
2024-12-20,3.5916
2025-01-20,3.5916
2025-02-20,3.5916
2025-03-20,3.8597
2025-04-20,3.8497
2025-05-20,4.0059
2025-06-20,4.0059
2025-07-20,4.0059
2025-08-20,4.2192
2025-09-20,4.2635
2025-10-20,4.2635
2025-11-20,4.5961
2025-12-20,4.3604
2026-01-20,4.3604
2026-02-20,4.3604
2026-03-20,4.3226
2026-04-20,4.5034
