date,roc
2004-01-20,7.6617
2004-02-20,7.6617
2004-03-20,8.6075
2004-04-20,8.4746
2004-05-20,9.0782
2004-06-20,9.0782
2004-07-20,9.0782
2004-08-20,8.7871
2004-09-20,8.7871
2004-10-20,8.7871
2004-11-20,10.0383
2004-12-20,9.9984
2005-01-20,9.9984
2005-02-20,9.9984
2005-03-20,10.7145
2005-04-20,10.7145
2005-05-20,4.6044
2005-06-20,4.6044
2005-07-20,4.6044
2005-08-20,8.6887
2005-09-20,8.6887
2005-10-20,8.6887
2005-11-20,12.0843
2005-12-20,12.0843
2006-01-20,12.0843
2006-02-20,12.0843
2006-03-20,11.1406
2006-04-20,11.1406
2006-05-20,11.1369
2006-06-20,37.045
2006-07-20,37.045
2006-08-20,26.0515
2006-09-20,26.1847
2006-10-20,26.1847
2006-11-20,16.5868
2006-12-20,16.9369
2007-01-20,16.9369
2007-02-20,16.9369
2007-03-20,12.6425
2007-04-20,12.3622
2007-05-20,12.4649
2007-06-20,12.5001
2007-07-20,12.4953
2007-08-20,12.6311
2007-09-20,12.657
2007-10-20,12.657
2007-11-20,10.5062
2007-12-20,10.5062
2008-01-20,10.5361
2008-02-20,10.5956
2008-03-20,11.7641
2008-04-20,11.7364
2008-05-20,11.8024
2008-06-20,11.8024
2008-07-20,11.8024
2008-08-20,11.1529
2008-09-20,11.8359
2008-10-20,11.823
2008-11-20,10.6529
2008-12-20,10.6463
2009-01-20,10.6463
2009-02-20,10.6586
2009-03-20,6.1718
2009-04-20,6.1714
2009-05-20,5.7185
2009-06-20,5.7898
2009-07-20,5.7924
2009-08-20,5.6167
2009-09-20,5.5842
2009-10-20,5.6206
2009-11-20,5.7106
2009-12-20,5.7227
2010-01-20,5.7034
2010-02-20,5.6415
2010-03-20,7.3369
2010-04-20,7.3386
2010-05-20,6.871
2010-06-20,6.871
2010-07-20,6.871
2010-08-20,6.9702
2010-09-20,6.9724
2010-10-20,6.9724
2010-11-20,6.8628
2010-12-20,6.8573
2011-01-20,6.8573
2011-02-20,6.8573
2011-03-20,6.797
2011-04-20,6.862
2011-05-20,6.862
2011-06-20,7.2827
2011-07-20,7.2911
2011-08-20,6.4332
2011-09-20,6.4122
2011-10-20,6.4337
2011-11-20,5.7667
2011-12-20,5.7808
2012-01-20,5.7964
2012-02-20,5.7712
2012-03-20,5.5395
2012-04-20,5.5395
2012-05-20,6.0468
2012-06-20,6.1823
2012-07-20,6.164
2012-08-20,5.357
2012-09-20,5.357
2012-10-20,5.357
2012-11-20,6.3011
2012-12-20,6.3011
2013-01-20,6.3011
2013-02-20,6.3011
2013-03-20,6.4484
2013-04-20,6.5423
2013-05-20,6.3272
2013-06-20,6.3272
2013-07-20,6.3272
2013-08-20,5.9165
2013-09-20,5.8397
2013-10-20,5.8397
2013-11-20,5.8754
2013-12-20,5.8754
2014-01-20,5.8754
2014-02-20,5.9279
2014-03-20,5.3925
2014-04-20,5.4124
