date,roce
2004-01-20,14.3007
2004-02-20,14.3007
2004-03-20,15.0847
2004-04-20,15.1089
2004-05-20,16.5711
2004-06-20,16.5711
2004-07-20,16.5711
2004-08-20,15.6364
2004-09-20,15.6364
2004-10-20,15.6364
2004-11-20,18.2849
2004-12-20,18.2032
2005-01-20,18.2032
2005-02-20,18.2032
2005-03-20,19.3528
2005-04-20,19.3528
2005-05-20,9.756
2005-06-20,9.756
2005-07-20,9.756
2005-08-20,15.9905
2005-09-20,15.9905
2005-10-20,15.9905
2005-11-20,20.2382
2005-12-20,20.2382
2006-01-20,20.2382
2006-02-20,20.2382
2006-03-20,21.9453
2006-04-20,21.9453
2006-05-20,21.9031
2006-06-20,61.7736
2006-07-20,61.7737
2006-08-20,43.5806
2006-09-20,43.9478
2006-10-20,43.9478
2006-11-20,27.0376
2006-12-20,27.9156
2007-01-20,27.9156
2007-02-20,27.9156
2007-03-20,21.5117
2007-04-20,21.5519
2007-05-20,21.3555
2007-06-20,21.0955
2007-07-20,21.0874
2007-08-20,21.6053
2007-09-20,21.6495
2007-10-20,21.6495
2007-11-20,20.1605
2007-12-20,20.1605
2008-01-20,20.2179
2008-02-20,20.2436
2008-03-20,23.1738
2008-04-20,23.1684
2008-05-20,22.1424
2008-06-20,22.1424
2008-07-20,22.1424
2008-08-20,21.5156
2008-09-20,21.7078
2008-10-20,21.6842
2008-11-20,20.0715
2008-12-20,20.059
2009-01-20,20.059
2009-02-20,20.0822
2009-03-20,14.5082
2009-04-20,14.5082
2009-05-20,13.4132
2009-06-20,13.5766
2009-07-20,13.5828
2009-08-20,13.0942
2009-09-20,13.0084
2009-10-20,13.0932
2009-11-20,12.3746
2009-12-20,12.4008
2010-01-20,12.3589
2010-02-20,12.2247
2010-03-20,14.8811
2010-04-20,14.8203
2010-05-20,14.9441
2010-06-20,14.9441
2010-07-20,14.9441
2010-08-20,13.6842
2010-09-20,13.6965
2010-10-20,13.6965
2010-11-20,13.776
2010-12-20,13.7658
2011-01-20,13.7658
2011-02-20,13.7658
2011-03-20,14.5656
2011-04-20,14.6553
2011-05-20,14.6438
2011-06-20,15.3524
2011-07-20,15.3703
2011-08-20,13.6698
2011-09-20,13.6038
2011-10-20,13.6496
2011-11-20,12.5917
2011-12-20,12.6225
2012-01-20,12.6566
2012-02-20,12.6015
2012-03-20,12.1441
2012-04-20,12.1441
2012-05-20,13.3554
2012-06-20,13.6531
2012-07-20,13.6128
2012-08-20,12.2999
2012-09-20,12.2999
2012-10-20,12.2999
2012-11-20,14.1454
2012-12-20,14.1454
2013-01-20,14.1454
2013-02-20,14.1454
2013-03-20,15.1264
2013-04-20,14.9632
2013-05-20,14.665
2013-06-20,14.665
2013-07-20,14.665
2013-08-20,13.7629
2013-09-20,13.736
2013-10-20,13.736
2013-11-20,13.7838
2013-12-20,13.7838
2014-01-20,13.7838
2014-02-20,13.9839
2014-03-20,13.2314
2014-04-20,13.2141
2014-05-20,13.2287
2014-06-20,13.2287
2014-07-20,13.2287
2014-08-20,13.85
2014-09-20,13.7839
2014-10-20,13.7846
2014-11-20,11.7078
2014-12-20,11.7539
2015-01-20,11.7542
2015-02-20,11.724
2015-03-20,10.4669
2015-04-20,10.4404
2015-05-20,10.6048
2015-06-20,10.6048
2015-07-20,10.6048
2015-08-20,10.2763
2015-09-20,10.2374
2015-10-20,10.2374
2015-11-20,9.9921
2015-12-20,9.9921
2016-01-20,9.9921
2016-02-20,10.1373
2016-03-20,10.4747
2016-04-20,10.6772
2016-05-20,11.3366
2016-06-20,11.3286
2016-07-20,11.3286
2016-08-20,10.7502
2016-09-20,10.6042
2016-10-20,10.5969
2016-11-20,11.0334
2016-12-20,11.0195
2017-01-20,11.0195
2017-02-20,11.0195
2017-03-20,11.0982
2017-04-20,11.0351
2017-05-20,13.3844
2017-06-20,13.2579
2017-07-20,13.2568
2017-08-20,14.3809
2017-09-20,14.3246
2017-10-20,14.3246
2017-11-20,14.16
2017-12-20,14.16
2018-01-20,14.16
2018-02-20,14.16
2018-03-20,12.5959
2018-04-20,12.5959
2018-05-20,11.4464
2018-06-20,11.4491
2018-07-20,11.4486
2018-08-20,11.2429
2018-09-20,11.2826
2018-10-20,11.2826
2018-11-20,10.954
2018-12-20,11.3517
2019-01-20,11.3517
2019-02-20,11.3517
2019-03-20,13.0421
2019-04-20,13.0402
2019-05-20,13.3917
2019-06-20,13.4258
2019-07-20,13.4258
2019-08-20,13.4933
2019-09-20,13.4933
2019-10-20,13.4933
2019-11-20,12.8791
2019-12-20,12.8791
2020-01-20,12.8791
2020-02-20,12.8791
2020-03-20,12.7575
2020-04-20,12.6506
2020-05-20,9.4224
2020-06-20,9.6219
2020-07-20,9.6017
2020-08-20,7.5945
2020-09-20,7.5945
2020-10-20,7.5945
2020-11-20,5.4333
2020-12-20,5.4333
2021-01-20,5.4333
2021-02-20,5.4333
2021-03-20,7.3744
2021-04-20,6.9183
2021-05-20,11.2986
2021-06-20,11.2986
2021-07-20,11.2986
2021-08-20,13.2876
2021-09-20,13.4059
2021-10-20,13.4059
2021-11-20,15.2402
2021-12-20,15.2402
2022-01-20,15.2402
2022-02-20,15.2402
2022-03-20,18.1664
2022-04-20,18.1271
2022-05-20,20.4687
2022-06-20,20.3336
2022-07-20,20.3336
2022-08-20,20.1958
2022-09-20,19.9653
2022-10-20,19.9653
2022-11-20,21.3651
2022-12-20,21.3651
2023-01-20,21.3651
2023-02-20,21.3651
2023-03-20,17.6931
2023-04-20,17.6316
2023-05-20,16.5356
2023-06-20,16.2937
2023-07-20,16.2937
2023-08-20,16.6443
2023-09-20,16.5662
2023-10-20,16.5662
2023-11-20,14.8315
2023-12-20,14.8315
2024-01-20,14.8315
2024-02-20,14.8315
2024-03-20,15.4328
2024-04-20,15.2658
2024-05-20,14.0238
