date,ebitda_margin
2004-01-20,16.1159
2004-02-20,15.0236
2004-03-20,14.1722
2004-04-20,10.4414
2004-05-20,10.1873
2004-06-20,10.1629
2004-07-20,10.2138
2004-08-20,10.5635
2004-09-20,11.2921
2004-10-20,12.2713
2004-11-20,15.7372
2004-12-20,15.5533
2005-01-20,14.9575
2005-02-20,14.172
2005-03-20,14.0512
2005-04-20,14.0512
2005-05-20,15.3815
2005-06-20,15.2811
2005-07-20,15.274
2005-08-20,15.274
2005-09-20,16.1284
2005-10-20,15.6254
2005-11-20,13.0238
2005-12-20,14.2941
2006-01-20,14.5577
2006-02-20,14.3033
2006-03-20,14.2879
2006-04-20,13.246
2006-05-20,13.2472
2006-06-20,13.2441
2006-07-20,13.2684
2006-08-20,14.3324
2006-09-20,14.0247
2006-10-20,14.1489
2006-11-20,16.5322
2006-12-20,16.1469
2007-01-20,15.4647
2007-02-20,15.597
2007-03-20,15.6119
2007-04-20,15.4221
2007-05-20,18.2099
2007-06-20,18.2387
2007-07-20,14.9981
2007-08-20,14.7716
2007-09-20,14.8604
2007-10-20,17.1243
2007-11-20,16.4579
2007-12-20,16.7631
2008-01-20,16.5896
2008-02-20,16.5591
2008-03-20,16.5334
2008-04-20,19.46
2008-05-20,19.1479
2008-06-20,18.2219
2008-07-20,17.8835
2008-08-20,17.699
2008-09-20,17.4847
2008-10-20,18.8993
2008-11-20,18.9594
2008-12-20,19.0506
2009-01-20,18.993
2009-02-20,19.9444
2009-03-20,19.8921
2009-04-20,20.612
2009-05-20,19.9717
2009-06-20,19.5826
2009-07-20,19.42
2009-08-20,18.8568
2009-09-20,18.8335
2009-10-20,19.2389
2009-11-20,19.0938
2009-12-20,19.4069
2010-01-20,19.3941
2010-02-20,19.2075
2010-03-20,18.9163
2010-04-20,17.7108
2010-05-20,17.6665
2010-06-20,18.4099
2010-07-20,18.4911
2010-08-20,18.9678
2010-09-20,18.9254
2010-10-20,18.8342
2010-11-20,18.8592
2010-12-20,18.6327
2011-01-20,18.6109
2011-02-20,18.8957
2011-03-20,18.8363
2011-04-20,18.8399
2011-05-20,19.183
2011-06-20,19.2229
2011-07-20,18.9488
2011-08-20,18.95
2011-09-20,18.9051
2011-10-20,19.9573
