date,ev_ebit
2004-01-20,11.059
2004-02-20,12.0089
2004-03-20,11.9059
2004-04-20,17.8478
2004-05-20,15.6806
2004-06-20,15.1366
2004-07-20,15.0726
2004-08-20,15.8632
2004-09-20,15.955
2004-10-20,14.7252
2004-11-20,14.0229
2004-12-20,13.4611
2005-01-20,12.8984
2005-02-20,14.8793
2005-03-20,14.8793
2005-04-20,14.877
2005-05-20,7.9034
2005-06-20,7.9909
2005-07-20,7.9506
2005-08-20,7.9663
2005-09-20,7.8964
2005-10-20,8.3853
2005-11-20,7.2478
2005-12-20,7.2653
2006-01-20,7.243
2006-02-20,8.9528
2006-03-20,8.9525
2006-04-20,8.9434
2006-05-20,8.356
2006-06-20,8.3752
2006-07-20,8.3623
2006-08-20,10.3085
2006-09-20,10.5457
2006-10-20,10.5876
2006-11-20,8.5896
2006-12-20,8.3658
2007-01-20,8.6968
2007-02-20,8.7817
2007-03-20,8.7816
2007-04-20,8.8692
2007-05-20,8.7045
2007-06-20,8.6683
2007-07-20,8.7419
2007-08-20,9.7009
2007-09-20,9.6926
2007-10-20,10.4515
2007-11-20,10.277
2007-12-20,8.8476
2008-01-20,8.9088
2008-02-20,8.8972
2008-03-20,8.9123
2008-04-20,10.7818
2008-05-20,10.8735
2008-06-20,10.2146
2008-07-20,9.8626
2008-08-20,10.1555
2008-09-20,10.1756
2008-10-20,9.9888
2008-11-20,10.0658
2008-12-20,10.1645
2009-01-20,10.2091
2009-02-20,9.1099
2009-03-20,9.1696
2009-04-20,8.055
2009-05-20,8.0584
2009-06-20,8.1982
2009-07-20,7.9667
2009-08-20,7.9306
2009-09-20,7.9421
2009-10-20,10.2744
2009-11-20,10.262
2009-12-20,10.0403
2010-01-20,10.0445
2010-02-20,11.1239
2010-03-20,11.1131
2010-04-20,12.6635
2010-05-20,12.6229
2010-06-20,13.0789
2010-07-20,12.4916
2010-08-20,12.9141
2010-09-20,12.9219
2010-10-20,10.6715
2010-11-20,10.6526
2010-12-20,11.0601
2011-01-20,11.0638
2011-02-20,12.0419
2011-03-20,12.0265
2011-04-20,12.0028
2011-05-20,11.5882
2011-06-20,11.6752
2011-07-20,11.9426
2011-08-20,11.8091
2011-09-20,11.8375
2011-10-20,10.3246
2011-11-20,10.3389
2011-12-20,10.5871
2012-01-20,10.5917
2012-02-20,10.4188
2012-03-20,10.4552
2012-04-20,9.32
2012-05-20,9.3099
2012-06-20,9.3937
2012-07-20,9.4505
2012-08-20,9.8708
2012-09-20,9.9546
2012-10-20,9.5772
2012-11-20,9.6335
2012-12-20,9.8787
2013-01-20,9.8071
2013-02-20,10.3428
2013-03-20,10.3535
2013-04-20,10.389
2013-05-20,12.0577
2013-06-20,12.145
2013-07-20,12.1465
2013-08-20,11.8073
2013-09-20,11.807
2013-10-20,13.7686
2013-11-20,13.8157
2013-12-20,13.9607
2014-01-20,13.9555
2014-02-20,15.2142
2014-03-20,15.1917
2014-04-20,15.2096
2014-05-20,15.0879
2014-06-20,15.2665
2014-07-20,15.4048
2014-08-20,16.1898
2014-09-20,16.3438
2014-10-20,16.4353
2014-11-20,14.033
2014-12-20,14.0935
2015-01-20,14.0357
2015-02-20,13.683
2015-03-20,13.6738
2015-04-20,13.7548
2015-05-20,13.5473
2015-06-20,13.5723
2015-07-20,13.5833
2015-08-20,14.5618
2015-09-20,14.5588
2015-10-20,14.5662
2015-11-20,14.8133
2015-12-20,14.9594
2016-01-20,14.976
2016-02-20,13.7822
2016-03-20,13.7937
2016-04-20,13.8339
2016-05-20,15.2454
2016-06-20,15.3758
2016-07-20,15.5896
2016-08-20,16.6596
2016-09-20,16.6923
2016-10-20,16.6909
2016-11-20,18.0934
2016-12-20,18.3449
2017-01-20,18.036
2017-02-20,18.161
2017-03-20,18.168
2017-04-20,18.1882
2017-05-20,16.0042
2017-06-20,16.0939
2017-07-20,16.2605
2017-08-20,16.5501
2017-09-20,16.5672
2017-10-20,16.5672
2017-11-20,16.7168
2017-12-20,17.0178
2018-01-20,17.0841
2018-02-20,18.0171
2018-03-20,18.1571
2018-04-20,18.3625
2018-05-20,18.0539
2018-06-20,18.1642
2018-07-20,18.3462
2018-08-20,16.9061
2018-09-20,17.0707
2018-10-20,17.0813
2018-11-20,19.3007
2018-12-20,20.381
2019-01-20,20.1576
2019-02-20,19.1865
2019-03-20,19.1529
2019-04-20,19.2589
2019-05-20,17.8776
2019-06-20,18.0927
2019-07-20,18.6753
2019-08-20,18.993
2019-09-20,19.2453
2019-10-20,19.2352
2019-11-20,18.067
2019-12-20,18.5796
2020-01-20,18.5772
2020-02-20,15.9474
2020-03-20,15.9353
2020-04-20,15.9111
2020-05-20,16.0355
2020-06-20,16.1503
2020-07-20,16.355
2020-08-20,13.0876
2020-09-20,13.0339
2020-10-20,13.0074
2020-11-20,23.695
2020-12-20,24.4478
2021-01-20,24.3544
2021-02-20,24.1374
2021-03-20,24.1045
2021-04-20,24.2696
2021-05-20,17.8948
2021-06-20,17.6273
2021-07-20,17.8945
2021-08-20,19.2737
2021-09-20,19.5944
2021-10-20,20.0299
2021-11-20,10.0625
2021-12-20,10.0222
2022-01-20,9.9923
2022-02-20,8.362
2022-03-20,8.3716
2022-04-20,8.3496
2022-05-20,8.5691
2022-06-20,8.5367
2022-07-20,8.5727
2022-08-20,9.5276
2022-09-20,9.5491
2022-10-20,7.7306
2022-11-20,7.7633
2022-12-20,7.6801
2023-01-20,7.6898
2023-02-20,7.4102
2023-03-20,7.4117
2023-04-20,7.4846
2023-05-20,8.3924
2023-06-20,8.432
2023-07-20,8.4598
2023-08-20,8.6026
2023-09-20,8.6214
2023-10-20,10.4758
2023-11-20,10.4825
2023-12-20,10.7157
2024-01-20,10.7602
2024-02-20,9.9993
2024-03-20,9.9592
2024-04-20,9.6546
2024-05-20,11.1116
2024-06-20,11.2067
2024-07-20,11.4856
2024-08-20,12.0182
2024-09-20,12.4163
2024-10-20,11.7327
2024-11-20,13.6806
2024-12-20,13.5479
2025-01-20,13.509
2025-02-20,12.6909
