date,ev_ebitda
2004-01-20,7.823
2004-02-20,8.7719
2004-03-20,8.7633
2004-04-20,14.6089
2004-05-20,14.1426
2004-06-20,13.3255
2004-07-20,13.2544
2004-08-20,13.7798
2004-09-20,13.1901
2004-10-20,14.2421
2004-11-20,9.7103
2004-12-20,9.4969
2005-01-20,9.1123
2005-02-20,10.6966
2005-03-20,10.7885
2005-04-20,10.7868
2005-05-20,6.6196
2005-06-20,6.6371
2005-07-20,6.6401
2005-08-20,6.6401
2005-09-20,6.5788
2005-10-20,7.0359
2005-11-20,7.4599
2005-12-20,7.0134
2006-01-20,6.7374
2006-02-20,8.473
2006-03-20,8.4825
2006-04-20,8.9372
2006-05-20,8.543
2006-06-20,8.5434
2006-07-20,8.5207
2006-08-20,10.0744
2006-09-20,10.4046
2006-10-20,10.2639
2006-11-20,8.0096
2006-12-20,7.9993
2007-01-20,8.3321
2007-02-20,8.2359
2007-03-20,8.228
2007-04-20,8.3338
2007-05-20,7.967
2007-06-20,7.9535
2007-07-20,9.708
2007-08-20,10.8564
2007-09-20,10.7946
2007-10-20,9.5384
2007-11-20,9.4117
2007-12-20,9.3078
2008-01-20,9.4015
2008-02-20,9.665
2008-03-20,9.6833
2008-04-20,8.8835
2008-05-20,9.0512
2008-06-20,8.5716
2008-07-20,8.7779
2008-08-20,9.0258
2008-09-20,9.1329
2008-10-20,8.8122
2008-11-20,8.8957
2008-12-20,8.8734
2009-01-20,8.9033
2009-02-20,7.4326
2009-03-20,7.4619
2009-04-20,6.1159
2009-05-20,6.2561
2009-06-20,6.4096
2009-07-20,6.4386
2009-08-20,6.5437
2009-09-20,6.5648
2009-10-20,7.3301
2009-11-20,7.3763
2009-12-20,7.2094
2010-01-20,7.2119
2010-02-20,7.983
2010-03-20,8.0984
2010-04-20,8.8979
2010-05-20,8.8986
2010-06-20,8.7265
2010-07-20,8.7009
2010-08-20,8.7823
2010-09-20,8.8035
2010-10-20,7.8662
2010-11-20,7.8732
2010-12-20,8.1438
2011-01-20,8.1521
2011-02-20,9.0062
2011-03-20,9.0293
2011-04-20,9.0233
2011-05-20,8.901
2011-06-20,8.8862
2011-07-20,9.0617
2011-08-20,8.9515
2011-09-20,8.9727
2011-10-20,7.9503
2011-11-20,8.112
2011-12-20,8.3326
2012-01-20,8.3412
2012-02-20,8.2056
2012-03-20,8.2567
2012-04-20,7.2381
2012-05-20,7.2271
2012-06-20,7.2937
2012-07-20,7.3395
2012-08-20,7.5453
2012-09-20,7.6014
2012-10-20,7.1344
2012-11-20,7.331
2012-12-20,7.5741
2013-01-20,7.5841
2013-02-20,8.0649
2013-03-20,8.0767
2013-04-20,8.1079
2013-05-20,9.2683
2013-06-20,9.3334
2013-07-20,9.3445
2013-08-20,8.8747
2013-09-20,8.8742
2013-10-20,10.4144
2013-11-20,10.7463
2013-12-20,10.7922
2014-01-20,10.7803
2014-02-20,11.7937
2014-03-20,11.7814
2014-04-20,11.7927
2014-05-20,11.3944
2014-06-20,11.4688
2014-07-20,11.5857
2014-08-20,12.0862
2014-09-20,12.2878
2014-10-20,12.3158
2014-11-20,11.0726
2014-12-20,11.1146
2015-01-20,11.0257
2015-02-20,10.8302
2015-03-20,10.8323
2015-04-20,10.9348
2015-05-20,10.355
2015-06-20,10.3821
2015-07-20,10.399
2015-08-20,11.0445
2015-09-20,11.0406
2015-10-20,11.0469
2015-11-20,11.6577
2015-12-20,11.5319
2016-01-20,11.5421
2016-02-20,10.5837
2016-03-20,10.5805
2016-04-20,10.6023
2016-05-20,11.4467
2016-06-20,11.5273
2016-07-20,11.6191
2016-08-20,12.3142
2016-09-20,12.3274
2016-10-20,12.3703
2016-11-20,13.5034
2016-12-20,13.5834
2017-01-20,13.5227
2017-02-20,13.5383
2017-03-20,13.5454
2017-04-20,13.5614
2017-05-20,12.0973
2017-06-20,12.2262
2017-07-20,12.4299
2017-08-20,12.874
2017-09-20,12.8746
2017-10-20,12.9274
2017-11-20,13.3679
2017-12-20,13.6067
2018-01-20,13.5981
2018-02-20,14.2195
2018-03-20,14.1967
2018-04-20,14.3981
2018-05-20,14.4559
2018-06-20,14.5538
2018-07-20,14.7418
2018-08-20,13.4689
2018-09-20,13.6604
2018-10-20,13.6992
2018-11-20,15.4141
2018-12-20,15.7132
2019-01-20,15.5341
2019-02-20,14.3048
2019-03-20,14.2945
2019-04-20,14.3657
2019-05-20,13.4713
2019-06-20,13.5711
2019-07-20,14.2282
2019-08-20,14.9535
2019-09-20,14.869
2019-10-20,14.8392
2019-11-20,15.1272
2019-12-20,15.2057
2020-01-20,15.23
2020-02-20,12.7184
2020-03-20,12.6025
2020-04-20,12.6265
2020-05-20,12.578
2020-06-20,12.4162
2020-07-20,12.4782
2020-08-20,10.7884
2020-09-20,10.7291
2020-10-20,10.7019
2020-11-20,15.2348
2020-12-20,15.6914
2021-01-20,15.5784
