date,oper_margin
2004-01-20,11.4002
2004-02-20,10.974
2004-03-20,10.4314
2004-04-20,8.5465
2004-05-20,9.1881
2004-06-20,8.9469
2004-07-20,8.9817
2004-08-20,9.1762
2004-09-20,9.3352
2004-10-20,11.8687
2004-11-20,10.8973
2004-12-20,10.973
2005-01-20,10.567
2005-02-20,10.1881
2005-03-20,10.1881
2005-04-20,10.1881
2005-05-20,12.8829
2005-06-20,12.6921
2005-07-20,12.7564
2005-08-20,12.7541
2005-09-20,13.4372
2005-10-20,13.1109
2005-11-20,13.4049
2005-12-20,13.7985
2006-01-20,13.5415
2006-02-20,13.5367
2006-03-20,13.5377
2006-04-20,13.2368
2006-05-20,13.5436
2006-06-20,13.51
2006-07-20,13.5198
2006-08-20,14.0069
2006-09-20,13.837
2006-10-20,13.7162
2006-11-20,15.4159
2006-12-20,15.4395
2007-01-20,14.8161
2007-02-20,14.6277
2007-03-20,14.6277
2007-04-20,14.4912
2007-05-20,16.6671
2007-06-20,16.7345
2007-07-20,16.6557
2007-08-20,16.5311
2007-09-20,16.5499
2007-10-20,15.6282
2007-11-20,15.0721
2007-12-20,17.6349
2008-01-20,17.507
2008-02-20,17.988
2008-03-20,17.9638
2008-04-20,16.0338
2008-05-20,15.939
2008-06-20,15.2909
2008-07-20,15.9165
2008-08-20,15.7303
2008-09-20,15.6931
2008-10-20,16.6731
2008-11-20,16.7556
2008-12-20,16.6307
2009-01-20,16.5636
2009-02-20,16.2722
2009-03-20,16.1874
2009-04-20,15.6499
2009-05-20,15.5049
2009-06-20,15.3103
2009-07-20,15.695
2009-08-20,15.5592
2009-09-20,15.5674
2009-10-20,13.7258
2009-11-20,13.7246
2009-12-20,13.9349
2010-01-20,13.9249
2010-02-20,13.7841
2010-03-20,13.7847
2010-04-20,12.4443
2010-05-20,12.4541
2010-06-20,12.2834
2010-07-20,12.8798
2010-08-20,12.8991
2010-09-20,12.8936
2010-10-20,13.8831
2010-11-20,13.9386
2010-12-20,13.7196
2011-01-20,13.7129
2011-02-20,14.1322
2011-03-20,14.142
2011-04-20,14.1632
2011-05-20,14.7347
2011-06-20,14.631
2011-07-20,14.3777
2011-08-20,14.3645
2011-09-20,14.33
2011-10-20,15.3677
2011-11-20,15.3684
2011-12-20,15.3345
2012-01-20,15.3619
2012-02-20,15.1388
2012-03-20,15.115
2012-04-20,17.0778
2012-05-20,16.7615
2012-06-20,16.5965
2012-07-20,16.4375
2012-08-20,16.6458
2012-09-20,16.5276
2012-10-20,16.1327
2012-11-20,16.1064
2012-12-20,15.7175
2013-01-20,15.8318
2013-02-20,15.9071
2013-03-20,15.884
