date,pb
2004-01-20,1.9195
2004-02-20,2.0465
2004-03-20,2.0369
2004-04-20,2.014
2004-05-20,1.9092
2004-06-20,1.8993
2004-07-20,1.8285
2004-08-20,1.8879
2004-09-20,2.0725
2004-10-20,2.0254
2004-11-20,2.0381
2004-12-20,2.1963
2005-01-20,2.226
2005-02-20,2.197
2005-03-20,2.3147
2005-04-20,2.2473
2005-05-20,2.3242
2005-06-20,2.4547
2005-07-20,2.6166
2005-08-20,2.6681
2005-09-20,2.7485
2005-10-20,2.9999
2005-11-20,2.6443
2005-12-20,2.7803
2006-01-20,2.9882
2006-02-20,3.3942
2006-03-20,3.2466
2006-04-20,3.5159
2006-05-20,3.3677
2006-06-20,3.157
2006-07-20,3.2427
2006-08-20,3.5044
2006-09-20,3.5875
2006-10-20,3.5809
2006-11-20,3.3967
2006-12-20,3.5995
2007-01-20,3.6964
2007-02-20,3.8775
2007-03-20,3.9023
2007-04-20,4.1034
2007-05-20,4.0173
2007-06-20,3.8979
2007-07-20,3.7833
2007-08-20,3.8492
2007-09-20,3.8555
2007-10-20,3.2527
2007-11-20,3.5389
2007-12-20,3.377
2008-01-20,3.2569
2008-02-20,3.0689
2008-03-20,3.3586
2008-04-20,3.0204
2008-05-20,3.132
2008-06-20,3.2891
2008-07-20,3.0482
2008-08-20,2.9499
2008-09-20,2.9384
2008-10-20,2.3524
2008-11-20,2.109
2008-12-20,2.1427
2009-01-20,2.2339
2009-02-20,2.1423
2009-03-20,1.9709
2009-04-20,1.8568
2009-05-20,1.8945
2009-06-20,2.0869
2009-07-20,1.9924
2009-08-20,2.1391
2009-09-20,2.2406
2009-10-20,2.4164
2009-11-20,2.4622
2009-12-20,2.4606
2010-01-20,2.5668
2010-02-20,2.5108
2010-03-20,2.5411
2010-04-20,2.4622
2010-05-20,2.4773
2010-06-20,2.3956
2010-07-20,2.3006
2010-08-20,2.4701
2010-09-20,2.4148
2010-10-20,2.4426
2010-11-20,2.4785
2010-12-20,2.4438
2011-01-20,2.6158
2011-02-20,2.5099
2011-03-20,2.5804
2011-04-20,2.6232
2011-05-20,2.6211
2011-06-20,2.5814
2011-07-20,2.5141
2011-08-20,2.4597
2011-09-20,2.5234
2011-10-20,2.2483
2011-11-20,2.3914
2011-12-20,2.4563
2012-01-20,2.3954
2012-02-20,2.4966
2012-03-20,2.5559
2012-04-20,2.2914
2012-05-20,2.3264
2012-06-20,2.2909
2012-07-20,2.2956
2012-08-20,2.3899
2012-09-20,2.4195
2012-10-20,2.4043
2012-11-20,2.4725
2012-12-20,2.4957
2013-01-20,2.6199
2013-02-20,2.6003
2013-03-20,2.5591
2013-04-20,2.5533
2013-05-20,2.3775
2013-06-20,2.5202
2013-07-20,2.4358
2013-08-20,2.4681
2013-09-20,2.5152
2013-10-20,2.5655
2013-11-20,2.6769
2013-12-20,2.6115
2014-01-20,2.7198
2014-02-20,2.6256
2014-03-20,2.7576
2014-04-20,2.8398
2014-05-20,2.6911
2014-06-20,2.7515
2014-07-20,2.8422
2014-08-20,2.9012
2014-09-20,2.9322
2014-10-20,2.8176
2014-11-20,2.7796
2014-12-20,2.7847
2015-01-20,2.8035
2015-02-20,2.9919
2015-03-20,3.0162
2015-04-20,3.0655
2015-05-20,3.0308
2015-06-20,2.8254
2015-07-20,2.8938
2015-08-20,2.8562
2015-09-20,2.7718
2015-10-20,2.686
2015-11-20,2.7587
2015-12-20,2.6819
2016-01-20,2.5786
2016-02-20,2.5461
2016-03-20,2.5173
2016-04-20,2.7494
2016-05-20,2.3641
2016-06-20,2.373
2016-07-20,2.3777
