date,profit_margin
2004-01-20,5.707
2004-02-20,5.6874
2004-03-20,5.3815
2004-04-20,6.3682
2004-05-20,6.6515
2004-06-20,6.1343
2004-07-20,6.1348
2004-08-20,6.3341
2004-09-20,6.3021
2004-10-20,8.0684
2004-11-20,7.4365
2004-12-20,7.361
2005-01-20,6.9794
2005-02-20,6.8261
2005-03-20,6.8261
2005-04-20,6.8261
2005-05-20,7.863
2005-06-20,7.7471
2005-07-20,7.834
2005-08-20,7.9248
2005-09-20,8.5539
2005-10-20,8.166
2005-11-20,8.9494
2005-12-20,9.8946
2006-01-20,9.5806
2006-02-20,9.575
2006-03-20,9.5767
2006-04-20,9.2067
2006-05-20,9.3075
2006-06-20,9.0227
2006-07-20,9.0599
2006-08-20,9.4397
2006-09-20,9.5364
2006-10-20,9.308
2006-11-20,9.8998
2006-12-20,9.768
2007-01-20,9.2494
2007-02-20,9.1709
2007-03-20,9.1727
2007-04-20,9.4961
2007-05-20,9.7869
2007-06-20,9.9257
2007-07-20,9.8477
2007-08-20,9.7977
2007-09-20,9.8108
2007-10-20,9.1119
2007-11-20,8.7983
2007-12-20,11.2932
2008-01-20,11.2774
2008-02-20,11.3536
2008-03-20,11.1828
2008-04-20,10.9749
2008-05-20,10.8417
2008-06-20,10.2191
2008-07-20,11.0352
2008-08-20,10.8594
2008-09-20,10.8506
2008-10-20,11.629
2008-11-20,11.6649
2008-12-20,11.9899
2009-01-20,11.9797
2009-02-20,11.8753
2009-03-20,11.3873
2009-04-20,10.4954
2009-05-20,10.482
2009-06-20,10.2784
2009-07-20,10.5509
2009-08-20,10.3402
2009-09-20,10.3549
2009-10-20,7.9608
2009-11-20,7.956
2009-12-20,8.2842
2010-01-20,8.2802
2010-02-20,8.2099
2010-03-20,8.2112
2010-04-20,7.0863
2010-05-20,7.175
2010-06-20,8.7963
2010-07-20,8.4692
2010-08-20,8.4494
2010-09-20,8.4019
2010-10-20,9.3449
2010-11-20,9.3799
2010-12-20,8.8894
2011-01-20,8.8764
2011-02-20,9.0913
2011-03-20,9.1007
2011-04-20,9.1039
2011-05-20,9.7812
2011-06-20,9.7185
2011-07-20,9.4113
2011-08-20,9.3727
2011-09-20,9.3792
2011-10-20,10.6191
2011-11-20,10.6534
2011-12-20,10.5204
2012-01-20,10.5326
2012-02-20,10.2825
2012-03-20,10.2912
2012-04-20,11.8764
2012-05-20,11.6554
2012-06-20,11.3957
2012-07-20,11.2185
2012-08-20,11.327
2012-09-20,11.4527
2012-10-20,10.6197
2012-11-20,10.6492
2012-12-20,10.4327
2013-01-20,10.4002
