date,roa
2004-01-20,1.8715
2004-02-20,1.8724
2004-03-20,1.8799
2004-04-20,2.2977
2004-05-20,2.1165
2004-06-20,1.9719
2004-07-20,1.972
2004-08-20,1.943
2004-09-20,1.8884
2004-10-20,1.9425
2004-11-20,2.0844
2004-12-20,2.1395
2005-01-20,2.1984
2005-02-20,2.2089
2005-03-20,2.2089
2005-04-20,2.2103
2005-05-20,2.4842
2005-06-20,2.3432
2005-07-20,2.3767
2005-08-20,2.3683
2005-09-20,2.4489
2005-10-20,2.2563
2005-11-20,2.8963
2005-12-20,2.9346
2006-01-20,2.892
2006-02-20,2.9143
2006-03-20,2.9147
2006-04-20,2.8893
2006-05-20,3.1069
2006-06-20,3.0124
2006-07-20,3.0273
2006-08-20,3.825
2006-09-20,3.6003
2006-10-20,3.5157
2006-11-20,3.4415
2006-12-20,3.535
2007-01-20,3.3377
2007-02-20,3.4925
2007-03-20,3.4932
2007-04-20,3.6303
2007-05-20,3.4823
2007-06-20,3.7475
2007-07-20,3.631
2007-08-20,3.6047
2007-09-20,3.6085
2007-10-20,2.9446
2007-11-20,2.8688
2007-12-20,3.9218
2008-01-20,3.9183
2008-02-20,3.9071
2008-03-20,3.8466
2008-04-20,5.3206
2008-05-20,4.4495
2008-06-20,3.3601
2008-07-20,3.6101
2008-08-20,3.7186
2008-09-20,3.7154
2008-10-20,2.8241
2008-11-20,3.4907
2008-12-20,3.6534
2009-01-20,3.6489
2009-02-20,3.6731
2009-03-20,3.5357
2009-04-20,3.5219
2009-05-20,3.5021
2009-06-20,3.3383
2009-07-20,3.3959
2009-08-20,3.3452
2009-09-20,3.3492
2009-10-20,2.5996
2009-11-20,2.5916
2009-12-20,2.7035
2010-01-20,2.7024
2010-02-20,2.6756
2010-03-20,2.6915
2010-04-20,2.3372
2010-05-20,2.3702
2010-06-20,2.8049
2010-07-20,2.6965
2010-08-20,2.6942
2010-09-20,2.6776
2010-10-20,2.8422
2010-11-20,3.0448
2010-12-20,2.8924
2011-01-20,2.8889
2011-02-20,2.9629
2011-03-20,2.9841
2011-04-20,2.9882
2011-05-20,3.5059
2011-06-20,3.4823
2011-07-20,3.2584
2011-08-20,3.2408
2011-09-20,3.2429
2011-10-20,3.5101
2011-11-20,3.5256
2011-12-20,3.503
2012-01-20,3.4987
2012-02-20,3.436
2012-03-20,3.4608
2012-04-20,3.9648
2012-05-20,3.9557
2012-06-20,3.7449
2012-07-20,3.7
2012-08-20,3.6907
2012-09-20,3.725
2012-10-20,3.5292
2012-11-20,3.5453
2012-12-20,3.4947
2013-01-20,3.4836
2013-02-20,3.5532
2013-03-20,3.5573
2013-04-20,3.5661
2013-05-20,3.2362
2013-06-20,3.1295
2013-07-20,3.1403
2013-08-20,3.1635
2013-09-20,3.1319
2013-10-20,2.5149
2013-11-20,2.5238
2013-12-20,2.4797
2014-01-20,2.481
2014-02-20,2.456
2014-03-20,2.4555
2014-04-20,2.4742
2014-05-20,2.5226
2014-06-20,2.3601
2014-07-20,2.3309
2014-08-20,2.32
2014-09-20,2.2909
2014-10-20,2.2907
2014-11-20,2.8615
2014-12-20,2.8603
2015-01-20,2.8601
2015-02-20,2.9954
2015-03-20,2.9844
2015-04-20,2.994
2015-05-20,3.4679
2015-06-20,3.3509
2015-07-20,3.4115
2015-08-20,3.3931
2015-09-20,3.3862
2015-10-20,3.383
2015-11-20,3.3471
2015-12-20,3.3376
2016-01-20,3.3393
2016-02-20,3.3807
2016-03-20,3.3685
2016-04-20,3.354
2016-05-20,2.7787
2016-06-20,2.7602
2016-07-20,2.642
2016-08-20,2.6439
2016-09-20,3.1729
2016-10-20,3.1729
2016-11-20,3.4639
2016-12-20,3.3307
2017-01-20,3.3362
2017-02-20,3.3306
2017-03-20,3.3309
2017-04-20,3.337
2017-05-20,3.8188
2017-06-20,3.7094
2017-07-20,3.8564
2017-08-20,3.8535
2017-09-20,3.8662
2017-10-20,3.8661
2017-11-20,2.9909
2017-12-20,3.0623
2018-01-20,3.0793
2018-02-20,3.1135
2018-03-20,3.0489
2018-04-20,3.0486
2018-05-20,3.1177
2018-06-20,3.0606
2018-07-20,3.8066
2018-08-20,3.7111
2018-09-20,3.7157
2018-10-20,3.7169
2018-11-20,2.839
2018-12-20,3.2676
2019-01-20,3.2737
2019-02-20,3.3013
2019-03-20,3.2928
2019-04-20,3.3005
2019-05-20,2.9787
2019-06-20,2.9205
2019-07-20,3.5377
2019-08-20,3.522
2019-09-20,3.535
2019-10-20,3.535
