date,roc
2004-01-20,4.6071
2004-02-20,4.609
2004-03-20,4.6269
2004-04-20,5.109
2004-05-20,5.4126
2004-06-20,5.1795
2004-07-20,5.1799
2004-08-20,5.109
2004-09-20,4.9674
2004-10-20,4.5827
2004-11-20,4.9174
2004-12-20,5.0529
2005-01-20,5.1921
2005-02-20,5.1073
2005-03-20,5.1794
2005-04-20,5.132
2005-05-20,11.3349
2005-06-20,10.5515
2005-07-20,10.837
2005-08-20,10.6248
2005-09-20,10.9787
2005-10-20,10.1044
2005-11-20,12.9309
2005-12-20,13.6382
2006-01-20,13.3269
2006-02-20,13.2779
2006-03-20,13.2797
2006-04-20,13.2298
2006-05-20,14.4501
2006-06-20,14.0105
2006-07-20,14.0799
2006-08-20,14.9227
2006-09-20,13.6223
2006-10-20,13.3166
2006-11-20,13.8736
2006-12-20,14.3389
2007-01-20,13.2564
2007-02-20,14.1928
2007-03-20,14.1957
2007-04-20,14.7084
2007-05-20,14.1704
2007-06-20,14.3941
2007-07-20,13.6777
2007-08-20,13.5779
2007-09-20,13.5923
2007-10-20,10.8374
2007-11-20,11.1381
2007-12-20,14.2855
2008-01-20,14.273
2008-02-20,14.3044
2008-03-20,14.0829
2008-04-20,13.5069
2008-05-20,12.4071
2008-06-20,12.2567
2008-07-20,13.1687
2008-08-20,12.926
2008-09-20,12.9011
2008-10-20,10.114
2008-11-20,11.1604
2008-12-20,11.518
2009-01-20,11.504
2009-02-20,11.5739
2009-03-20,11.107
2009-04-20,10.4644
2009-05-20,10.4056
2009-06-20,9.9598
2009-07-20,10.0684
2009-08-20,9.8523
2009-09-20,9.8598
2009-10-20,7.3898
2009-11-20,7.3703
2009-12-20,7.7283
2010-01-20,7.7067
2010-02-20,7.6764
2010-03-20,7.7009
2010-04-20,6.3072
2010-05-20,6.3962
2010-06-20,7.6875
2010-07-20,7.3904
2010-08-20,7.3741
2010-09-20,7.3334
2010-10-20,8.3008
2010-11-20,8.5513
2010-12-20,7.9241
2011-01-20,7.9145
2011-02-20,8.1129
2011-03-20,8.1462
2011-04-20,8.167
2011-05-20,9.3781
2011-06-20,9.315
2011-07-20,8.8189
2011-08-20,8.7743
2011-09-20,8.7769
2011-10-20,9.9134
2011-11-20,9.9382
2011-12-20,9.5339
2012-01-20,9.5223
2012-02-20,9.3815
2012-03-20,9.4197
2012-04-20,11.5052
2012-05-20,10.6299
2012-06-20,10.1911
2012-07-20,10.0689
2012-08-20,10.0479
2012-09-20,10.13
2012-10-20,9.8617
2012-11-20,9.9396
2012-12-20,9.7013
2013-01-20,9.6702
2013-02-20,9.8353
2013-03-20,9.8467
2013-04-20,9.8184
2013-05-20,8.6361
2013-06-20,8.4515
2013-07-20,8.4807
2013-08-20,8.5044
2013-09-20,8.4166
2013-10-20,6.9375
2013-11-20,6.9196
2013-12-20,6.8056
2014-01-20,6.8091
2014-02-20,6.7189
2014-03-20,6.7174
2014-04-20,6.716
2014-05-20,6.9226
2014-06-20,6.5645
2014-07-20,6.4833
2014-08-20,6.4391
2014-09-20,6.3612
2014-10-20,6.3607
2014-11-20,7.994
2014-12-20,7.9923
2015-01-20,7.9918
2015-02-20,8.5746
2015-03-20,8.5431
2015-04-20,8.5447
2015-05-20,9.5955
2015-06-20,9.3794
2015-07-20,9.5489
2015-08-20,9.612
2015-09-20,9.5863
2015-10-20,9.5772
2015-11-20,9.0813
2015-12-20,9.0394
2016-01-20,9.0442
2016-02-20,9.1336
2016-03-20,9.0679
2016-04-20,8.9981
2016-05-20,6.9522
2016-06-20,6.906
2016-07-20,6.7069
2016-08-20,6.7027
2016-09-20,8.0433
2016-10-20,8.0449
2016-11-20,8.7111
2016-12-20,8.4285
2017-01-20,8.4472
2017-02-20,8.4685
2017-03-20,8.4692
2017-04-20,8.4624
2017-05-20,9.4155
2017-06-20,9.2711
2017-07-20,9.6386
2017-08-20,9.6122
2017-09-20,9.6288
2017-10-20,9.6286
2017-11-20,7.449
2017-12-20,7.6044
2018-01-20,7.6467
2018-02-20,7.7311
2018-03-20,7.5707
2018-04-20,7.5366
2018-05-20,7.9523
2018-06-20,7.897
2018-07-20,9.822
2018-08-20,9.5166
2018-09-20,9.5314
2018-10-20,9.5346
2018-11-20,8.398
2018-12-20,9.6609
2019-01-20,9.6787
2019-02-20,9.7386
2019-03-20,9.7138
2019-04-20,9.688
2019-05-20,8.078
2019-06-20,7.9838
2019-07-20,9.6711
2019-08-20,9.5688
2019-09-20,9.6004
2019-10-20,9.6004
2019-11-20,8.3779
2019-12-20,8.4299
2020-01-20,8.4271
2020-02-20,8.5085
2020-03-20,8.4472
2020-04-20,8.4678
2020-05-20,6.3038
2020-06-20,6.0697
2020-07-20,5.9212
2020-08-20,6.3974
2020-09-20,6.3738
2020-10-20,6.3717
2020-11-20,2.9463
2020-12-20,2.7863
2021-01-20,2.7889
2021-02-20,2.4649
2021-03-20,2.4725
2021-04-20,2.4461
2021-05-20,4.4224
2021-06-20,4.3956
2021-07-20,4.4309
2021-08-20,4.6245
2021-09-20,4.6326
2021-10-20,4.5136
2021-11-20,9.7709
2021-12-20,11.4175
2022-01-20,11.4153
2022-02-20,10.7857
2022-03-20,10.8159
2022-04-20,10.8199
2022-05-20,11.229
2022-06-20,11.2623
2022-07-20,11.1331
2022-08-20,10.8343
2022-09-20,10.7891
2022-10-20,10.179
2022-11-20,10.2157
2022-12-20,10.3497
2023-01-20,10.3351
2023-02-20,10.4739
2023-03-20,10.4728
2023-04-20,10.3296
2023-05-20,9.0117
2023-06-20,9.0051
2023-07-20,9.1196
