date,roce
2004-01-20,11.0391
2004-02-20,10.9213
2004-03-20,10.9656
2004-04-20,12.0525
2004-05-20,12.8654
2004-06-20,12.5021
2004-07-20,12.5032
2004-08-20,12.2221
2004-09-20,11.8786
2004-10-20,12.0885
2004-11-20,12.7558
2004-12-20,13.0768
2005-01-20,13.437
2005-02-20,13.1442
2005-03-20,13.1442
2005-04-20,13.1602
2005-05-20,18.7744
2005-06-20,18.4452
2005-07-20,19.1697
2005-08-20,18.808
2005-09-20,19.45
2005-10-20,17.9219
2005-11-20,21.0996
2005-12-20,22.4855
2006-01-20,21.9112
2006-02-20,21.8143
2006-03-20,21.8173
2006-04-20,21.6445
2006-05-20,22.9017
2006-06-20,22.1998
2006-07-20,22.3177
2006-08-20,23.6926
2006-09-20,23.8303
2006-10-20,23.167
2006-11-20,23.7707
2006-12-20,23.9739
2007-01-20,22.2622
2007-02-20,22.4692
2007-03-20,22.4741
2007-04-20,23.2458
2007-05-20,24.0288
2007-06-20,24.1985
2007-07-20,24.0459
2007-08-20,24.0028
2007-09-20,24.0002
2007-10-20,18.7243
2007-11-20,18.907
2007-12-20,23.9564
2008-01-20,23.9279
2008-02-20,23.9378
2008-03-20,23.5302
2008-04-20,20.157
2008-05-20,20.0969
2008-06-20,20.185
2008-07-20,21.6968
2008-08-20,21.5613
2008-09-20,21.5025
2008-10-20,20.8989
2008-11-20,21.1677
2008-12-20,21.6357
2009-01-20,21.6093
2009-02-20,21.4675
2009-03-20,20.5621
2009-04-20,18.5411
2009-05-20,18.9171
2009-06-20,18.6266
2009-07-20,18.7317
2009-08-20,18.457
2009-09-20,18.4778
2009-10-20,14.263
2009-11-20,14.2547
2009-12-20,14.875
2010-01-20,14.9221
2010-02-20,14.8815
2010-03-20,14.8968
2010-04-20,11.5787
2010-05-20,11.7234
2010-06-20,14.4357
2010-07-20,13.8653
2010-08-20,13.8149
2010-09-20,13.7166
2010-10-20,14.7828
2010-11-20,14.8769
2010-12-20,14.1381
2011-01-20,14.1212
2011-02-20,14.6492
2011-03-20,14.6692
2011-04-20,14.7027
2011-05-20,16.1727
