date,ev_ebit
2004-05-20,22.785
2004-06-20,25.1214
2004-07-20,25.1214
2004-08-20,24.9912
2004-09-20,24.9912
2004-10-20,24.9912
2004-11-20,24.9912
2004-12-20,24.9912
2005-01-20,24.9912
2005-02-20,24.9912
2005-03-20,24.9912
2005-04-20,24.9912
2005-05-20,16.5451
2005-06-20,16.608
2005-07-20,16.608
2005-08-20,17.2063
2005-09-20,17.2063
2005-10-20,17.2063
2005-11-20,17.2063
2005-12-20,17.2063
2006-01-20,17.2063
2006-02-20,17.2063
2006-03-20,17.2063
2006-04-20,17.2063
2006-05-20,22.2762
2006-06-20,21.8734
2006-07-20,21.8734
2006-08-20,19.8621
2006-09-20,19.4826
2006-10-20,19.9463
2006-11-20,20.1483
2006-12-20,20.1483
2007-01-20,20.1478
2007-02-20,17.7758
2007-03-20,18.1172
2007-04-20,18.4229
2007-05-20,13.7871
2007-06-20,20.5214
2007-07-20,20.5387
2007-08-20,17.7719
2007-09-20,18.7923
2007-10-20,18.4452
2007-11-20,18.3542
2007-12-20,18.3544
2008-01-20,18.3544
2008-02-20,16.4536
2008-03-20,16.5598
2008-04-20,16.4624
2008-05-20,13.3402
2008-06-20,14.7278
2008-07-20,14.6822
2008-08-20,14.8314
2008-09-20,13.3714
2008-10-20,13.2687
2008-11-20,12.1127
2008-12-20,12.2581
2009-01-20,12.2989
2009-02-20,12.505
2009-03-20,12.5587
2009-04-20,13.3921
2009-05-20,28.5303
2009-06-20,28.9028
2009-07-20,28.9028
2009-08-20,29.1248
2009-09-20,46.7716
2009-10-20,41.8574
2009-11-20,42.2909
2009-12-20,45.0354
2010-01-20,45.0354
2010-02-20,42.4898
2010-03-20,42.4898
2010-04-20,22.9084
2010-05-20,14.3306
2010-06-20,15.2111
2010-07-20,15.2111
2010-08-20,15.2602
2010-09-20,11.4224
2010-10-20,11.9041
2010-11-20,12.5332
2010-12-20,12.9361
2011-01-20,12.9361
2011-02-20,12.9738
2011-03-20,12.9738
2011-04-20,12.9722
2011-05-20,12.8274
2011-06-20,14.463
2011-07-20,14.4755
2011-08-20,14.5393
2011-09-20,15.3358
2011-10-20,15.9307
2011-11-20,15.177
2011-12-20,16.3115
2012-01-20,16.3115
2012-02-20,16.2953
2012-03-20,16.2953
2012-04-20,15.7601
2012-05-20,18.2564
2012-06-20,20.0396
2012-07-20,20.0396
2012-08-20,20.0388
2012-09-20,18.3846
2012-10-20,18.5101
2012-11-20,16.6371
2012-12-20,18.6384
2013-01-20,18.6384
2013-02-20,18.6232
2013-03-20,18.6232
2013-04-20,16.5977
2013-05-20,16.4736
2013-06-20,16.5457
2013-07-20,16.5457
2013-08-20,16.5284
2013-09-20,15.0824
2013-10-20,15.6157
2013-11-20,15.6157
2013-12-20,14.418
2014-01-20,14.418
2014-02-20,14.4168
2014-03-20,14.4168
2014-04-20,15.0735
2014-05-20,15.0709
2014-06-20,15.0001
2014-07-20,15.0523
2014-08-20,15.1352
2014-09-20,14.8951
2014-10-20,14.9321
2014-11-20,14.9321
2014-12-20,13.9545
2015-01-20,13.9545
2015-02-20,13.9545
2015-03-20,13.9545
2015-04-20,13.0041
2015-05-20,13.0197
2015-06-20,12.2228
2015-07-20,12.2645
2015-08-20,12.2822
2015-09-20,12.086
2015-10-20,12.086
2015-11-20,12.086
2015-12-20,11.3426
2016-01-20,11.3426
2016-02-20,11.3416
2016-03-20,11.3474
2016-04-20,11.1649
2016-05-20,11.1163
2016-06-20,12.5742
2016-07-20,12.5742
2016-08-20,12.5944
2016-09-20,13.4423
2016-10-20,13.4543
2016-11-20,13.4543
2016-12-20,13.8137
2017-01-20,13.8137
2017-02-20,13.8137
2017-03-20,13.8137
2017-04-20,12.7549
2017-05-20,12.7549
2017-06-20,12.9393
2017-07-20,12.9393
2017-08-20,12.9393
2017-09-20,13.6437
2017-10-20,13.6437
2017-11-20,13.6437
2017-12-20,13.8199
2018-01-20,13.8199
2018-02-20,13.8199
2018-03-20,13.8199
2018-04-20,14.1811
2018-05-20,14.1811
2018-06-20,14.5804
2018-07-20,14.5804
2018-08-20,14.5804
2018-09-20,13.9128
2018-10-20,13.9128
2018-11-20,13.9128
2018-12-20,14.3638
2019-01-20,14.3638
2019-02-20,14.3656
2019-03-20,14.3656
2019-04-20,12.888
2019-05-20,12.9795
2019-06-20,14.6739
2019-07-20,14.6739
2019-08-20,14.6739
2019-09-20,15.1224
2019-10-20,15.0858
2019-11-20,15.0858
2019-12-20,16.0919
2020-01-20,16.1279
2020-02-20,16.1279
2020-03-20,16.1279
2020-04-20,17.2519
2020-05-20,17.2519
2020-06-20,14.4379
2020-07-20,14.4325
2020-08-20,14.4325
2020-09-20,15.7431
2020-10-20,15.7431
2020-11-20,15.7431
2020-12-20,16.4646
2021-01-20,16.4646
2021-02-20,16.4646
2021-03-20,16.4646
2021-04-20,17.5808
2021-05-20,17.5808
2021-06-20,17.0882
2021-07-20,17.0882
2021-08-20,17.0882
2021-09-20,15.4885
2021-10-20,15.4879
2021-11-20,15.4879
2021-12-20,13.5084
2022-01-20,13.5084
2022-02-20,13.5084
2022-03-20,13.426
2022-04-20,13.4729
2022-05-20,13.4729
2022-06-20,12.5292
2022-07-20,12.5292
2022-08-20,12.5648
2022-09-20,10.0451
2022-10-20,10.0451
2022-11-20,10.0451
2022-12-20,9.1666
2023-01-20,9.1666
2023-02-20,9.1666
2023-03-20,9.2644
2023-04-20,9.9728
2023-05-20,9.9728
2023-06-20,12.6947
2023-07-20,12.6947
2023-08-20,12.6947
2023-09-20,15.056
2023-10-20,15.056
2023-11-20,15.056
2023-12-20,15.6592
2024-01-20,15.6592
2024-02-20,15.6592
2024-03-20,16.889
2024-04-20,17.1177
2024-05-20,17.1177
2024-06-20,18.8172
2024-07-20,18.8172
2024-08-20,18.8172
2024-09-20,19.8583
2024-10-20,19.8583
2024-11-20,19.8583
2024-12-20,17.4104
2025-01-20,17.4104
2025-02-20,17.4104
2025-03-20,16.9581
2025-04-20,16.9462
2025-05-20,16.9462
2025-06-20,13.8159
2025-07-20,13.9177
2025-08-20,14.9174
2025-09-20,14.6077
2025-10-20,14.6077
2025-11-20,14.6127
2025-12-20,16.8706
2026-01-20,16.9431
2026-02-20,16.9431
2026-03-20,17.7266
2026-04-20,18.07
