date,ev_ebitda
2006-05-20,10.9195
2006-06-20,10.7632
2006-07-20,10.7632
2006-08-20,11.034
2006-09-20,10.313
2006-10-20,10.0788
2006-11-20,10.1545
2006-12-20,10.1549
2007-01-20,10.1547
2007-02-20,10.849
2007-03-20,10.7574
2007-04-20,10.5904
2007-05-20,7.5407
2007-06-20,10.6194
2007-07-20,10.6204
2007-08-20,10.1803
2007-09-20,11.2078
2007-10-20,10.7969
2007-11-20,10.742
2007-12-20,10.7433
2008-01-20,10.7433
2008-02-20,11.0526
2008-03-20,11.1912
2008-04-20,11.2348
2008-05-20,7.445
2008-06-20,8.0396
2008-07-20,8.0183
2008-08-20,8.0238
2008-09-20,7.8012
2008-10-20,7.4695
2008-11-20,7.1196
2008-12-20,7.2937
2009-01-20,7.3009
2009-02-20,7.4326
2009-03-20,7.4208
2009-04-20,5.8048
2009-05-20,8.1502
2009-06-20,8.124
2009-07-20,8.1232
2009-08-20,8.1227
2009-09-20,11.2485
2009-10-20,10.2132
2009-11-20,11.2952
2009-12-20,11.4953
2010-01-20,11.4769
2010-02-20,11.4563
2010-03-20,11.4482
2010-04-20,10.4745
2010-05-20,8.5352
2010-06-20,7.9418
2010-07-20,7.939
2010-08-20,7.969
2010-09-20,6.4631
2010-10-20,6.504
2010-11-20,7.905
2010-12-20,7.2977
2011-01-20,7.3011
2011-02-20,7.3301
2011-03-20,7.3301
2011-04-20,7.3329
2011-05-20,7.3461
2011-06-20,7.9204
2011-07-20,7.9292
2011-08-20,7.9663
2011-09-20,8.2666
2011-10-20,8.3569
2011-11-20,7.9789
2011-12-20,8.0823
2012-01-20,8.0823
2012-02-20,8.0981
2012-03-20,8.0981
2012-04-20,8.0567
2012-05-20,9.3948
2012-06-20,9.758
2012-07-20,9.758
2012-08-20,9.7783
2012-09-20,8.9178
2012-10-20,9.0294
2012-11-20,9.2997
2012-12-20,9.234
2013-01-20,9.234
2013-02-20,9.2577
2013-03-20,9.2662
2013-04-20,8.8192
2013-05-20,8.7961
2013-06-20,8.6959
2013-07-20,8.6959
2013-08-20,8.763
2013-09-20,8.3793
2013-10-20,8.6058
2013-11-20,8.6058
2013-12-20,8.2122
2014-01-20,8.2122
2014-02-20,8.2122
2014-03-20,8.2122
2014-04-20,8.5265
2014-05-20,8.4071
2014-06-20,8.6312
2014-07-20,8.6232
2014-08-20,8.6553
2014-09-20,8.9627
2014-10-20,9.0445
2014-11-20,9.0445
2014-12-20,8.5276
2015-01-20,8.5276
2015-02-20,8.5276
2015-03-20,8.5276
2015-04-20,8.1349
2015-05-20,8.1631
2015-06-20,7.7567
2015-07-20,7.8161
2015-08-20,7.8314
2015-09-20,7.5674
2015-10-20,7.5674
2015-11-20,7.5674
2015-12-20,6.9365
2016-01-20,6.9365
2016-02-20,6.9356
2016-03-20,6.94
2016-04-20,6.9993
2016-05-20,6.9525
2016-06-20,7.7451
2016-07-20,7.7451
2016-08-20,7.7395
2016-09-20,8.0483
2016-10-20,8.0571
2016-11-20,8.0571
2016-12-20,8.4986
2017-01-20,8.4986
2017-02-20,8.4986
2017-03-20,8.4986
2017-04-20,7.9464
2017-05-20,7.9464
2017-06-20,8.1679
