date,gross_margin
2006-05-20,17.4979
2006-06-20,16.4628
2006-07-20,16.4628
2006-08-20,18.0367
2006-09-20,18.0367
2006-10-20,18.0367
2006-11-20,18.0367
2006-12-20,18.0367
2007-01-20,18.0367
2007-02-20,18.0367
2007-03-20,18.0367
2007-04-20,18.0367
2007-05-20,15.6878
2007-06-20,16.6538
2007-07-20,16.5924
2007-08-20,16.1357
2007-09-20,14.8925
2007-10-20,15.0802
2007-11-20,15.1854
2007-12-20,15.1851
2008-01-20,15.1831
2008-02-20,14.9932
2008-03-20,15.2618
2008-04-20,15.0177
2008-05-20,16.337
2008-06-20,16.1976
2008-07-20,16.1946
2008-08-20,16.2703
2008-09-20,16.3858
2008-10-20,17.4819
2008-11-20,18.8963
2008-12-20,18.636
2009-01-20,18.6431
2009-02-20,18.9369
2009-03-20,18.9175
2009-04-20,11.8504
2009-05-20,9.6321
2009-06-20,10.8386
2009-07-20,10.8386
2009-08-20,10.8633
2009-09-20,8.6535
2009-10-20,10.978
2009-11-20,10.633
2009-12-20,11.3544
2010-01-20,11.3544
2010-02-20,11.3656
2010-03-20,11.3656
2010-04-20,13.2621
2010-05-20,65009.3917
2010-06-20,14.3686
2010-07-20,14.3686
2010-08-20,14.3705
2010-09-20,14.5509
2010-10-20,14.8373
2010-11-20,14.0502
2010-12-20,14.5915
2011-01-20,14.5915
2011-02-20,14.6124
2011-03-20,14.6124
2011-04-20,14.6082
2011-05-20,13.5583
2011-06-20,14.1786
2011-07-20,14.2237
2011-08-20,14.2538
2011-09-20,12.6645
2011-10-20,13.6035
2011-11-20,10.6097
2011-12-20,12.7681
2012-01-20,12.7681
2012-02-20,12.7864
2012-03-20,12.7864
2012-04-20,12.1698
2012-05-20,11.1861
2012-06-20,11.7317
2012-07-20,11.7317
2012-08-20,11.7478
2012-09-20,11.5694
2012-10-20,11.7096
2012-11-20,10.1878
2012-12-20,12.0776
2013-01-20,12.0776
2013-02-20,12.0592
2013-03-20,12.0592
2013-04-20,11.4917
2013-05-20,12.6764
2013-06-20,13.2018
2013-07-20,13.2018
2013-08-20,13.2679
2013-09-20,13.5591
2013-10-20,13.4993
2013-11-20,13.4993
2013-12-20,14.0353
2014-01-20,14.0353
2014-02-20,14.0336
2014-03-20,14.0336
2014-04-20,12.5156
2014-05-20,13.7225
2014-06-20,13.6757
2014-07-20,13.6669
2014-08-20,13.6669
2014-09-20,13.7695
2014-10-20,13.7274
2014-11-20,13.7274
2014-12-20,13.9981
2015-01-20,13.9981
2015-02-20,13.9981
2015-03-20,13.9981
2015-04-20,14.387
2015-05-20,14.442
2015-06-20,14.8937
2015-07-20,14.8855
2015-08-20,14.8855
2015-09-20,15.0936
2015-10-20,15.0936
2015-11-20,15.0936
2015-12-20,14.6763
2016-01-20,14.6763
2016-02-20,14.6763
2016-03-20,14.75
2016-04-20,14.4854
2016-05-20,14.5731
2016-06-20,13.8534
2016-07-20,13.8534
2016-08-20,13.8534
2016-09-20,13.9446
2016-10-20,13.9403
2016-11-20,13.9403
2016-12-20,14.0688
2017-01-20,14.0688
2017-02-20,14.0688
2017-03-20,14.0688
2017-04-20,15.0775
2017-05-20,15.0775
2017-06-20,15.1437
2017-07-20,15.1437
2017-08-20,15.1437
2017-09-20,14.988
2017-10-20,14.988
2017-11-20,14.988
2017-12-20,14.8309
2018-01-20,14.8309
2018-02-20,14.8309
2018-03-20,14.8309
2018-04-20,14.5184
2018-05-20,14.5244
2018-06-20,14.287
2018-07-20,14.287
2018-08-20,14.287
2018-09-20,14.2552
2018-10-20,14.2552
2018-11-20,14.2552
2018-12-20,14.1217
2019-01-20,14.1217
2019-02-20,14.1291
2019-03-20,14.1291
2019-04-20,12.9719
2019-05-20,14.0863
2019-06-20,13.6566
2019-07-20,13.6566
2019-08-20,13.6566
2019-09-20,13.5861
2019-10-20,13.5538
2019-11-20,13.5538
2019-12-20,13.2392
2020-01-20,13.2495
2020-02-20,13.2495
2020-03-20,13.2495
2020-04-20,13.1118
2020-05-20,13.1118
2020-06-20,13.5236
2020-07-20,13.5253
2020-08-20,13.5253
2020-09-20,13.7598
2020-10-20,13.7598
2020-11-20,13.7598
2020-12-20,13.8908
2021-01-20,13.8908
2021-02-20,13.8908
2021-03-20,13.8908
2021-04-20,14.3126
2021-05-20,14.3126
2021-06-20,15.0566
2021-07-20,15.0566
2021-08-20,15.0566
2021-09-20,16.3125
2021-10-20,16.3125
2021-11-20,16.3125
2021-12-20,17.4061
2022-01-20,17.4061
2022-02-20,17.4061
2022-03-20,18.5128
2022-04-20,18.291
2022-05-20,18.291
2022-06-20,19.8318
2022-07-20,19.8318
2022-08-20,19.7878
2022-09-20,20.5355
2022-10-20,20.5355
2022-11-20,20.5355
2022-12-20,20.5861
2023-01-20,20.5861
2023-02-20,20.5861
2023-03-20,21.3184
2023-04-20,20.6326
2023-05-20,20.6326
2023-06-20,19.3743
2023-07-20,19.3743
2023-08-20,19.3743
2023-09-20,18.0658
2023-10-20,18.0658
2023-11-20,18.0658
2023-12-20,17.6695
2024-01-20,17.6695
2024-02-20,17.6695
2024-03-20,17.645
2024-04-20,17.1659
2024-05-20,17.1659
2024-06-20,17.301
2024-07-20,17.301
2024-08-20,17.301
2024-09-20,17.575
2024-10-20,17.575
2024-11-20,17.575
2024-12-20,18.182
2025-01-20,18.182
2025-02-20,18.182
2025-03-20,18.9482
2025-04-20,18.7153
2025-05-20,18.7153
2025-06-20,19.4648
2025-07-20,19.4836
2025-08-20,19.7342
2025-09-20,19.3833
2025-10-20,19.3833
2025-11-20,19.3872
2025-12-20,19.2345
2026-01-20,19.2185
2026-02-20,19.2185
2026-03-20,20.3627
2026-04-20,19.8981
