date,oper_margin
2004-05-20,10.8393
2004-06-20,9.1951
2004-07-20,9.1951
2004-08-20,9.1951
2004-09-20,9.1951
2004-10-20,9.1951
2004-11-20,9.1951
2004-12-20,9.1951
2005-01-20,9.1951
2005-02-20,9.1951
2005-03-20,9.1951
2005-04-20,9.1951
2005-05-20,12.5138
2005-06-20,11.6511
2005-07-20,11.6511
2005-08-20,11.617
2005-09-20,11.617
2005-10-20,11.617
2005-11-20,11.617
2005-12-20,11.617
2006-01-20,11.617
2006-02-20,11.617
2006-03-20,11.617
2006-04-20,11.617
2006-05-20,7.4773
2006-06-20,7.0004
2006-07-20,7.0004
2006-08-20,8.6588
2006-09-20,8.5221
2006-10-20,7.8125
2006-11-20,7.8356
2006-12-20,7.8363
2007-01-20,7.8365
2007-02-20,9.8374
2007-03-20,9.6546
2007-04-20,9.298
2007-05-20,8.4073
2007-06-20,7.462
2007-07-20,7.4541
2007-08-20,8.3438
2007-09-20,8.8321
2007-10-20,8.3853
2007-11-20,8.4136
2007-12-20,8.4134
2008-01-20,8.4123
2008-02-20,9.6905
2008-03-20,9.8204
2008-04-20,9.7255
2008-05-20,9.632
2008-06-20,9.1857
2008-07-20,9.2125
2008-08-20,9.1535
2008-09-20,8.9108
2008-10-20,8.7699
2008-11-20,8.4778
2008-12-20,8.3255
2009-01-20,8.3011
2009-02-20,8.428
2009-03-20,8.3834
2009-04-20,5.1539
2009-05-20,2.923
2009-06-20,2.7785
2009-07-20,2.7785
2009-08-20,2.7616
2009-09-20,2.2018
2009-10-20,2.1921
2009-11-20,2.6713
2009-12-20,2.5488
2010-01-20,2.5488
2010-02-20,2.6797
2010-03-20,2.6797
2010-04-20,4.964
2010-05-20,6.7898
2010-06-20,6.4055
2010-07-20,6.4055
2010-08-20,6.4035
2010-09-20,7.2273
2010-10-20,6.9652
2010-11-20,7.1972
2010-12-20,6.9157
2011-01-20,6.9157
2011-02-20,6.9024
2011-03-20,6.9024
2011-04-20,6.9048
2011-05-20,6.8304
2011-06-20,6.4072
2011-07-20,6.4044
2011-08-20,6.4182
2011-09-20,6.0428
2011-10-20,5.8311
2011-11-20,5.4098
2011-12-20,5.1104
2012-01-20,5.1104
2012-02-20,5.1177
2012-03-20,5.1177
2012-04-20,5.0977
2012-05-20,4.7532
2012-06-20,4.3533
2012-07-20,4.3533
2012-08-20,4.3606
2012-09-20,4.306
2012-10-20,4.3002
2012-11-20,5.1782
2012-12-20,4.5314
2013-01-20,4.5314
2013-02-20,4.5258
2013-03-20,4.5258
2013-04-20,5.1254
2013-05-20,5.148
2013-06-20,5.4499
2013-07-20,5.4499
2013-08-20,5.4829
2013-09-20,5.9816
2013-10-20,5.9073
2013-11-20,5.9073
2013-12-20,6.4581
2014-01-20,6.4581
2014-02-20,6.4579
2014-03-20,6.4579
2014-04-20,6.1965
2014-05-20,6.2011
2014-06-20,6.3349
2014-07-20,6.303
2014-08-20,6.2685
2014-09-20,6.8707
2014-10-20,6.8949
2014-11-20,6.8949
2014-12-20,7.1041
2015-01-20,7.1041
2015-02-20,7.1041
2015-03-20,7.1041
2015-04-20,7.5683
2015-05-20,7.557
2015-06-20,7.9896
2015-07-20,8.0189
2015-08-20,8.0073
2015-09-20,7.9877
2015-10-20,7.9877
2015-11-20,7.9877
2015-12-20,7.5681
2016-01-20,7.5681
2016-02-20,7.5688
2016-03-20,7.5687
2016-04-20,7.5388
2016-05-20,7.5063
2016-06-20,6.9876
2016-07-20,6.9876
2016-08-20,6.9764
2016-09-20,6.813
2016-10-20,6.8076
2016-11-20,6.8076
2016-12-20,7.0946
2017-01-20,7.0946
2017-02-20,7.0946
2017-03-20,7.0946
2017-04-20,7.7035
2017-05-20,7.7035
2017-06-20,7.8701
2017-07-20,7.8701
2017-08-20,7.8701
2017-09-20,7.9088
2017-10-20,7.9088
2017-11-20,7.9088
2017-12-20,7.9054
2018-01-20,7.9054
2018-02-20,7.9054
2018-03-20,7.9054
2018-04-20,7.5692
2018-05-20,7.5692
2018-06-20,7.6101
2018-07-20,7.6101
2018-08-20,7.6101
2018-09-20,7.5632
2018-10-20,7.5632
2018-11-20,7.5632
2018-12-20,7.5813
2019-01-20,7.5813
2019-02-20,7.5843
2019-03-20,7.5843
2019-04-20,7.2399
2019-05-20,7.3088
2019-06-20,6.9777
2019-07-20,6.9777
2019-08-20,6.9777
2019-09-20,6.841
2019-10-20,6.8139
2019-11-20,6.8139
2019-12-20,6.7261
2020-01-20,6.7311
2020-02-20,6.7311
2020-03-20,6.7311
2020-04-20,6.8355
2020-05-20,6.8355
2020-06-20,6.997
2020-07-20,7.0225
2020-08-20,7.0225
2020-09-20,7.3406
2020-10-20,7.3406
2020-11-20,7.3406
2020-12-20,7.803
2021-01-20,7.803
2021-02-20,7.803
2021-03-20,7.803
2021-04-20,8.3757
