date,pb
2004-01-20,2.7341
2004-02-20,2.8962
2004-03-20,3.011
2004-04-20,2.8983
2004-05-20,2.6361
2004-06-20,2.4934
2004-07-20,2.4352
2004-08-20,1.949
2004-09-20,2.0799
2004-10-20,2.0774
2004-11-20,2.0264
2004-12-20,2.0797
2005-01-20,2.1839
2005-02-20,2.1318
2005-03-20,2.2048
2005-04-20,2.1032
2005-05-20,1.8774
2005-06-20,1.9458
2005-07-20,2.0066
2005-08-20,2.0059
2005-09-20,1.93
2005-10-20,1.9189
2005-11-20,1.8058
2005-12-20,1.9655
2006-01-20,2.0641
2006-02-20,2.0909
2006-03-20,2.1098
2006-04-20,2.1126
2006-05-20,2.3448
2006-06-20,2.0965
2006-07-20,2.0676
2006-08-20,1.8596
2006-09-20,2.0086
2006-10-20,1.9928
2006-11-20,2.0339
2006-12-20,2.1886
2007-01-20,2.2316
2007-02-20,2.2306
2007-03-20,2.2886
2007-04-20,2.2051
2007-05-20,2.0317
2007-06-20,2.0735
2007-07-20,2.2538
2007-08-20,2.2939
2007-09-20,2.1939
2007-10-20,2.2728
2007-11-20,2.434
2007-12-20,2.1517
2008-01-20,2.1344
2008-02-20,1.9029
2008-03-20,2.1005
2008-04-20,2.1147
2008-05-20,2.0608
2008-06-20,1.9751
2008-07-20,1.7448
2008-08-20,1.6344
2008-09-20,1.7732
2008-10-20,1.4961
2008-11-20,1.2442
2008-12-20,1.1164
2009-01-20,1.1554
2009-02-20,1.0658
2009-03-20,1.1524
2009-04-20,1.3558
2009-05-20,1.5454
2009-06-20,1.7525
2009-07-20,1.6314
2009-08-20,1.8052
2009-09-20,1.8408
2009-10-20,2.0148
2009-11-20,1.9078
2009-12-20,1.9127
2010-01-20,2.0634
2010-02-20,1.9321
2010-03-20,1.8685
2010-04-20,1.9563
2010-05-20,1.928
2010-06-20,1.6606
2010-07-20,1.6356
2010-08-20,1.7473
2010-09-20,1.7623
2010-10-20,1.9018
2010-11-20,1.9649
2010-12-20,1.92
2011-01-20,2.0654
2011-02-20,2.1295
2011-03-20,1.9902
2011-04-20,2.001
2011-05-20,2.0621
2011-06-20,1.9935
2011-07-20,1.9009
2011-08-20,1.8909
2011-09-20,1.8007
2011-10-20,1.7024
2011-11-20,1.7732
2011-12-20,1.6034
2012-01-20,1.6481
2012-02-20,1.7605
2012-03-20,1.8791
2012-04-20,1.8747
2012-05-20,1.7401
2012-06-20,1.6707
2012-07-20,1.6633
2012-08-20,1.6476
2012-09-20,1.7631
2012-10-20,1.8524
2012-11-20,1.7038
2012-12-20,1.7787
2013-01-20,1.7938
2013-02-20,1.8283
2013-03-20,1.8442
2013-04-20,1.8137
2013-05-20,1.8679
2013-06-20,1.8369
2013-07-20,1.7976
2013-08-20,1.7855
2013-09-20,1.7999
2013-10-20,1.8281
2013-11-20,1.897
2013-12-20,1.8343
2014-01-20,1.8737
2014-02-20,1.842
2014-03-20,1.8735
2014-04-20,1.8616
2014-05-20,1.8728
2014-06-20,1.8326
2014-07-20,1.9071
2014-08-20,1.8918
2014-09-20,1.9988
2014-10-20,1.8692
2014-11-20,1.9158
2014-12-20,1.9017
2015-01-20,1.8996
2015-02-20,1.9138
2015-03-20,1.9771
2015-04-20,1.8392
2015-05-20,1.8837
2015-06-20,1.833
2015-07-20,1.7671
2015-08-20,1.6559
2015-09-20,1.6627
2015-10-20,1.6323
2015-11-20,1.699
2015-12-20,1.6021
2016-01-20,1.5997
2016-02-20,1.549
2016-03-20,1.6065
2016-04-20,1.657
2016-05-20,1.5738
2016-06-20,1.588
2016-07-20,1.6225
2016-08-20,1.6947
2016-09-20,1.7899
2016-10-20,1.8128
2016-11-20,1.8514
2016-12-20,1.7701
2017-01-20,1.767
2017-02-20,1.8038
2017-03-20,1.8505
2017-04-20,1.7889
2017-05-20,1.8153
2017-06-20,1.8144
2017-07-20,1.8939
2017-08-20,1.903
2017-09-20,1.9888
2017-10-20,1.9299
2017-11-20,2.0412
2017-12-20,1.8914
2018-01-20,1.8987
2018-02-20,2.0009
2018-03-20,1.9438
2018-04-20,1.9256
2018-05-20,1.8646
2018-06-20,1.8139
2018-07-20,1.7963
2018-08-20,1.8674
2018-09-20,1.9438
2018-10-20,1.9365
2018-11-20,1.731
2018-12-20,1.6709
2019-01-20,1.6442
2019-02-20,1.6716
2019-03-20,1.7542
2019-04-20,1.7945
2019-05-20,1.8722
2019-06-20,1.6653
2019-07-20,1.7047
2019-08-20,1.7333
2019-09-20,1.8015
2019-10-20,1.8317
2019-11-20,1.9432
2019-12-20,1.9322
2020-01-20,2.0337
2020-02-20,1.9532
2020-03-20,1.9208
2020-04-20,1.6315
2020-05-20,1.8304
2020-06-20,1.8563
2020-07-20,1.9942
2020-08-20,2.2758
2020-09-20,2.225
2020-10-20,2.2355
2020-11-20,2.2365
2020-12-20,2.3728
2021-01-20,2.5799
2021-02-20,2.7387
2021-03-20,2.8493
2021-04-20,2.7457
2021-05-20,2.8943
2021-06-20,2.7651
2021-07-20,2.8023
2021-08-20,2.7309
2021-09-20,2.7855
2021-10-20,2.6786
2021-11-20,2.6907
2021-12-20,2.6921
2022-01-20,2.8196
2022-02-20,2.7785
2022-03-20,2.7183
2022-04-20,2.6183
2022-05-20,2.4287
2022-06-20,2.4541
2022-07-20,2.1307
2022-08-20,2.1832
2022-09-20,2.3427
2022-10-20,2.0515
2022-11-20,1.9755
2022-12-20,2.2342
2023-01-20,2.0967
2023-02-20,2.3077
2023-03-20,2.1963
2023-04-20,2.265
2023-05-20,2.1885
2023-06-20,2.3099
2023-07-20,2.3541
2023-08-20,2.3793
2023-09-20,2.3029
2023-10-20,2.241
2023-11-20,2.2143
2023-12-20,2.3326
2024-01-20,2.4132
2024-02-20,2.4299
2024-03-20,2.5894
2024-04-20,2.7604
2024-05-20,2.7425
2024-06-20,2.7698
2024-07-20,3.094
2024-08-20,2.9794
2024-09-20,2.9789
2024-10-20,2.986
2024-11-20,3.1359
2024-12-20,2.9304
2025-01-20,3.0797
2025-02-20,3.1735
2025-03-20,3.058
2025-04-20,2.6601
2025-05-20,2.6249
2025-06-20,2.7415
2025-07-20,2.9081
