date,pe
2004-05-20,23.3505
2004-06-20,23.8579
2004-07-20,23.3004
2004-08-20,18.9132
2004-09-20,20.1834
2004-10-20,20.1594
2004-11-20,20.1594
2004-12-20,20.1594
2005-01-20,20.1594
2005-02-20,20.1594
2005-03-20,20.1594
2005-04-20,20.1594
2005-05-20,12.2539
2005-06-20,12.8929
2005-07-20,13.2962
2005-08-20,13.4544
2005-09-20,13.4544
2005-10-20,13.4544
2005-11-20,13.4544
2005-12-20,13.4544
2006-01-20,13.4544
2006-02-20,13.4544
2006-03-20,13.4544
2006-04-20,13.4544
2006-05-20,19.5805
2006-06-20,19.1541
2006-07-20,18.8905
2006-08-20,15.3609
2006-09-20,16.3336
2006-10-20,17.4653
2006-11-20,17.869
2006-12-20,19.225
2007-01-20,19.6013
2007-02-20,17.7325
2007-03-20,18.1743
2007-04-20,17.482
2007-05-20,16.8813
2007-06-20,19.971
2007-07-20,21.713
2007-08-20,19.9559
2007-09-20,17.5628
2007-10-20,18.4012
2007-11-20,19.5192
2007-12-20,17.2635
2008-01-20,17.1352
2008-02-20,13.7604
2008-03-20,15.1291
2008-04-20,15.1742
2008-05-20,14.2946
2008-06-20,14.0326
2008-07-20,12.3973
2008-08-20,11.4237
2008-09-20,12.2361
2008-10-20,10.1323
2008-11-20,9.5071
2008-12-20,9.1991
2009-01-20,9.5372
2009-02-20,9.3013
2009-03-20,10.7132
2009-04-20,22.2616
2009-05-20,63.969
2009-06-20,87.172
2009-07-20,80.9008
2009-08-20,89.4326
2009-09-20,154.4465
2009-10-20,203.5567
2009-11-20,63.3045
2009-12-20,68.3614
2010-01-20,73.3963
2010-02-20,50.4459
2010-03-20,41.2119
2010-04-20,26.3148
2010-05-20,18.0798
2010-06-20,16.2955
2010-07-20,16.052
2010-08-20,17.1687
2010-09-20,13.3829
2010-10-20,14.6743
2010-11-20,16.7109
2010-12-20,14.9549
2011-01-20,16.0874
2011-02-20,16.5905
2011-03-20,15.5051
2011-04-20,15.5901
2011-05-20,16.122
2011-06-20,15.9365
2011-07-20,15.2053
2011-08-20,15.138
2011-09-20,15.4903
2011-10-20,14.5871
2011-11-20,18.4408
2011-12-20,16.2946
2012-01-20,16.7498
2012-02-20,17.8394
2012-03-20,19.0416
2012-04-20,19.2845
2012-05-20,20.4879
2012-06-20,19.7137
2012-07-20,19.6253
2012-08-20,19.4356
2012-09-20,21.2029
2012-10-20,22.2576
2012-11-20,22.4774
2012-12-20,21.1293
2013-01-20,21.3088
2013-02-20,21.7311
2013-03-20,21.92
2013-04-20,18.9227
2013-05-20,19.4001
2013-06-20,18.4482
2013-07-20,18.0539
2013-08-20,17.9066
2013-09-20,16.2784
2013-10-20,16.4909
2013-11-20,17.1125
2013-12-20,15.8881
2014-01-20,16.2296
2014-02-20,15.9551
