date,roa
2004-05-20,2.3773
2004-06-20,2.0791
2004-07-20,2.0791
2004-08-20,2.0366
2004-09-20,2.0366
2004-10-20,2.0366
2004-11-20,2.0366
2004-12-20,2.0366
2005-01-20,2.0366
2005-02-20,2.0366
2005-03-20,2.0366
2005-04-20,2.0366
2005-05-20,2.9332
2005-06-20,3.0029
2005-07-20,3.0029
2005-08-20,3.0137
2005-09-20,3.0137
2005-10-20,3.0137
2005-11-20,3.0137
2005-12-20,3.0137
2006-01-20,3.0137
2006-02-20,3.0137
2006-03-20,3.0137
2006-04-20,3.0137
2006-05-20,1.9815
2006-06-20,2.0035
2006-07-20,2.0035
2006-08-20,4.418
2006-09-20,2.6237
2006-10-20,2.607
2006-11-20,2.5854
2006-12-20,2.5854
2007-01-20,2.5855
2007-02-20,2.7061
2007-03-20,2.7244
2007-04-20,2.8927
2007-05-20,4.2399
2007-06-20,2.4
2007-07-20,2.4244
2007-08-20,2.6209
2007-09-20,2.9968
2007-10-20,2.971
2007-11-20,2.9308
2007-12-20,2.9297
2008-01-20,2.9279
2008-02-20,3.1686
2008-03-20,3.0905
2008-04-20,3.0828
2008-05-20,4.2374
2008-06-20,3.39
2008-07-20,3.3899
2008-08-20,3.3611
2008-09-20,3.111
2008-10-20,3.1043
2008-11-20,2.7517
2008-12-20,2.4747
2009-01-20,2.4723
2009-02-20,2.4752
2009-03-20,2.4656
2009-04-20,1.2386
2009-05-20,0.486
2009-06-20,0.3531
2009-07-20,0.3531
2009-08-20,0.3505
2009-09-20,0.1563
2009-10-20,0.146
2009-11-20,0.3138
2009-12-20,0.2877
2010-01-20,0.2877
2010-02-20,0.3482
2010-03-20,0.3621
2010-04-20,1.4976
2010-05-20,2.5481
2010-06-20,2.1665
2010-07-20,2.1662
2010-08-20,2.158
2010-09-20,2.6595
2010-10-20,2.5774
2010-11-20,2.7789
2010-12-20,2.7363
2011-01-20,2.7363
2011-02-20,2.7266
2011-03-20,2.7266
2011-04-20,2.7267
2011-05-20,2.8416
2011-06-20,2.5485
2011-07-20,2.5484
2011-08-20,2.536
2011-09-20,2.2645
2011-10-20,2.2539
2011-11-20,1.9286
2011-12-20,1.8876
2012-01-20,1.8876
2012-02-20,1.8876
2012-03-20,1.8876
2012-04-20,2.0733
2012-05-20,1.6503
2012-06-20,1.6183
2012-07-20,1.6183
2012-08-20,1.6183
2012-09-20,1.4835
2012-10-20,1.4836
2012-11-20,1.5423
2012-12-20,1.537
2013-01-20,1.537
2013-02-20,1.5369
2013-03-20,1.5369
2013-04-20,1.7683
2013-05-20,1.7424
2013-06-20,1.8518
2013-07-20,1.8518
2013-08-20,1.8518
2013-09-20,2.0174
