date,roc
2004-05-20,5.3084
2004-06-20,4.8892
2004-07-20,4.8892
2004-08-20,4.7078
2004-09-20,4.7078
2004-10-20,4.7078
2004-11-20,4.7078
2004-12-20,4.7078
2005-01-20,4.7078
2005-02-20,4.7078
2005-03-20,4.7078
2005-04-20,4.7078
2005-05-20,6.6736
2005-06-20,6.7187
2005-07-20,6.7187
2005-08-20,6.6799
2005-09-20,6.6799
2005-10-20,6.6799
2005-11-20,6.6799
2005-12-20,6.6799
2006-01-20,6.6799
2006-02-20,6.6799
2006-03-20,6.6799
2006-04-20,6.6799
2006-05-20,4.8802
2006-06-20,4.7602
2006-07-20,4.7602
2006-08-20,11.0367
2006-09-20,6.1488
2006-10-20,5.8349
2006-11-20,5.7865
2006-12-20,5.7866
2007-01-20,5.7868
2007-02-20,6.0723
2007-03-20,6.1106
2007-04-20,6.3605
2007-05-20,7.6159
2007-06-20,5.1364
2007-07-20,5.1756
2007-08-20,5.5647
2007-09-20,6.3732
2007-10-20,6.302
2007-11-20,6.2167
2007-12-20,6.2143
2008-01-20,6.2105
2008-02-20,6.7735
2008-03-20,6.6064
2008-04-20,6.5899
2008-05-20,8.3422
2008-06-20,7.14
2008-07-20,7.1397
2008-08-20,7.0791
2008-09-20,6.9649
2008-10-20,7.0465
2008-11-20,6.1757
2008-12-20,5.5151
2009-01-20,5.5097
2009-02-20,5.5161
2009-03-20,5.4948
2009-04-20,3.4228
2009-05-20,1.1307
2009-06-20,0.9343
2009-07-20,0.9343
2009-08-20,0.9272
2009-09-20,0.3896
2009-10-20,0.397
2009-11-20,0.8445
2009-12-20,0.7716
2010-01-20,0.7716
2010-02-20,0.9444
2010-03-20,0.9821
2010-04-20,4.5115
2010-05-20,6.3891
2010-06-20,5.6726
2010-07-20,5.672
2010-08-20,5.6503
2010-09-20,7.4277
2010-10-20,7.2742
2010-11-20,7.7534
2010-12-20,7.5602
2011-01-20,7.5602
2011-02-20,7.5332
2011-03-20,7.5332
2011-04-20,7.5337
2011-05-20,7.4933
2011-06-20,6.7884
2011-07-20,6.7863
2011-08-20,6.7534
2011-09-20,6.2407
2011-10-20,6.184
2011-11-20,5.1826
2011-12-20,5.0181
2012-01-20,5.0181
2012-02-20,5.0322
2012-03-20,5.0322
2012-04-20,5.4884
2012-05-20,4.4501
2012-06-20,4.3017
2012-07-20,4.3017
2012-08-20,4.3017
2012-09-20,4.1092
2012-10-20,4.1125
2012-11-20,4.2283
2012-12-20,4.2784
2013-01-20,4.2784
2013-02-20,4.2781
2013-03-20,4.2781
2013-04-20,5.3804
2013-05-20,4.8828
2013-06-20,5.1063
2013-07-20,5.1063
2013-08-20,5.1063
2013-09-20,5.7103
2013-10-20,5.6803
2013-11-20,5.6803
2013-12-20,5.9022
2014-01-20,5.9022
2014-02-20,5.9022
2014-03-20,5.9022
2014-04-20,6.1725
2014-05-20,5.9184
2014-06-20,5.6651
2014-07-20,5.6553
2014-08-20,5.6553
2014-09-20,6.1698
2014-10-20,6.1476
2014-11-20,6.1476
2014-12-20,6.3175
2015-01-20,6.3175
2015-02-20,6.3175
2015-03-20,6.3175
2015-04-20,6.6212
2015-05-20,6.5967
2015-06-20,7.1802
2015-07-20,7.1777
2015-08-20,7.1777
2015-09-20,7.7135
2015-10-20,7.7135
2015-11-20,7.7135
2015-12-20,7.0267
2016-01-20,7.0267
2016-02-20,7.0267
2016-03-20,7.0209
2016-04-20,7.1414
2016-05-20,7.0167
2016-06-20,6.3774
2016-07-20,6.3774
2016-08-20,6.3774
2016-09-20,6.1772
2016-10-20,6.1774
2016-11-20,6.1774
2016-12-20,6.2639
2017-01-20,6.2639
2017-02-20,6.2639
2017-03-20,6.2639
2017-04-20,6.7508
2017-05-20,6.7508
2017-06-20,7.0266
2017-07-20,7.0266
2017-08-20,7.0266
2017-09-20,7.2748
2017-10-20,7.2748
2017-11-20,7.2748
2017-12-20,7.0472
2018-01-20,7.0472
2018-02-20,7.0472
2018-03-20,7.0472
2018-04-20,7.1852
2018-05-20,7.1852
2018-06-20,7.3447
2018-07-20,7.3447
2018-08-20,7.3447
2018-09-20,7.5894
2018-10-20,7.5894
2018-11-20,7.5894
2018-12-20,7.4448
2019-01-20,7.4448
2019-02-20,7.441
2019-03-20,7.441
2019-04-20,7.6384
2019-05-20,6.6824
2019-06-20,5.9909
2019-07-20,5.9909
2019-08-20,5.9909
2019-09-20,5.9237
2019-10-20,5.8866
2019-11-20,5.8866
2019-12-20,5.7194
2020-01-20,5.7174
2020-02-20,5.7174
2020-03-20,5.7174
2020-04-20,5.8653
2020-05-20,5.8653
2020-06-20,5.8777
2020-07-20,5.8905
2020-08-20,5.8905
2020-09-20,6.0566
2020-10-20,6.0566
2020-11-20,6.0566
2020-12-20,6.2964
2021-01-20,6.2964
2021-02-20,6.2964
2021-03-20,6.2964
2021-04-20,6.8126
2021-05-20,6.8126
2021-06-20,7.9234
2021-07-20,7.9234
2021-08-20,7.9234
2021-09-20,8.9749
2021-10-20,8.9771
2021-11-20,8.9771
2021-12-20,9.83
2022-01-20,9.83
2022-02-20,9.83
2022-03-20,18.1408
2022-04-20,10.1243
2022-05-20,10.1243
2022-06-20,10.2152
2022-07-20,10.2152
2022-08-20,10.2212
2022-09-20,10.8531
2022-10-20,10.8531
2022-11-20,10.8531
2022-12-20,10.3131
2023-01-20,10.3131
2023-02-20,10.3131
2023-03-20,15.416
2023-04-20,9.5394
2023-05-20,9.5394
2023-06-20,8.3281
2023-07-20,8.3281
2023-08-20,8.3281
2023-09-20,7.4448
2023-10-20,7.4448
2023-11-20,7.4448
2023-12-20,6.699
2024-01-20,6.699
2024-02-20,6.699
2024-03-20,11.1148
2024-04-20,6.7376
2024-05-20,6.7376
2024-06-20,7.043
2024-07-20,7.043
2024-08-20,7.043
2024-09-20,7.573
2024-10-20,7.573
2024-11-20,7.573
2024-12-20,7.9347
2025-01-20,7.9347
2025-02-20,7.9347
2025-03-20,15.0098
2025-04-20,8.5449
2025-05-20,8.5449
2025-06-20,8.9659
2025-07-20,8.9785
2025-08-20,9.5417
2025-09-20,9.6844
2025-10-20,9.6844
2025-11-20,9.6818
2025-12-20,9.4219
2026-01-20,9.3935
2026-02-20,9.3935
2026-03-20,19.3806
2026-04-20,9.6252
