date,roce
2004-05-20,11.3437
2004-06-20,10.5019
2004-07-20,10.5019
2004-08-20,10.3552
2004-09-20,10.3552
2004-10-20,10.3552
2004-11-20,10.3552
2004-12-20,10.3552
2005-01-20,10.3552
2005-02-20,10.3552
2005-03-20,10.3552
2005-04-20,10.3552
2005-05-20,15.2024
2005-06-20,15.0252
2005-07-20,15.0252
2005-08-20,14.8422
2005-09-20,14.8422
2005-10-20,14.8422
2005-11-20,14.8422
2005-12-20,14.8422
2006-01-20,14.8422
2006-02-20,14.8422
2006-03-20,14.8422
2006-04-20,14.8422
2006-05-20,11.2629
2006-06-20,10.9498
2006-07-20,10.9498
2006-08-20,24.3066
2006-09-20,14.0839
2006-10-20,13.0769
2006-11-20,13.0621
2006-12-20,13.0623
2007-01-20,13.0627
2007-02-20,13.7619
2007-03-20,13.8266
2007-04-20,13.923
2007-05-20,12.0647
2007-06-20,10.8403
2007-07-20,10.8375
2007-08-20,11.7578
2007-09-20,13.0975
2007-10-20,12.9425
2007-11-20,13.0612
2007-12-20,13.0562
2008-01-20,13.0481
2008-02-20,14.2584
2008-03-20,13.9059
2008-04-20,13.8712
2008-05-20,14.4605
2008-06-20,14.1433
2008-07-20,14.1427
2008-08-20,14.3358
2008-09-20,14.4226
2008-10-20,14.755
2008-11-20,13.0683
2008-12-20,11.8983
2009-01-20,11.8866
2009-02-20,11.9224
2009-03-20,11.8762
2009-04-20,5.8492
2009-05-20,2.1631
2009-06-20,1.7586
2009-07-20,1.7586
2009-08-20,1.7523
2009-09-20,0.7557
2009-10-20,0.728
2009-11-20,1.5769
2009-12-20,1.4244
2010-01-20,1.4244
2010-02-20,1.7267
2010-03-20,1.797
2010-04-20,7.4513
2010-05-20,10.9326
2010-06-20,10.1968
2010-07-20,10.1956
2010-08-20,10.1828
2010-09-20,13.029
2010-10-20,12.6481
2010-11-20,14.0305
2010-12-20,13.5724
2011-01-20,13.5724
2011-02-20,13.5673
2011-03-20,13.5673
2011-04-20,13.5682
2011-05-20,12.9144
2011-06-20,12.309
2011-07-20,12.3079
2011-08-20,12.2959
2011-09-20,11.7003
2011-10-20,11.7528
2011-11-20,9.9691
2011-12-20,9.8138
2012-01-20,9.8138
