date,div_yield
2004-01-20,0.1696
2004-02-20,0.1871
2004-03-20,0.2023
2004-04-20,0.1984
2004-05-20,0.2234
2004-06-20,0.2201
2004-07-20,0.2301
2004-08-20,0.2518
2004-09-20,0.2996
2004-10-20,0.2954
2004-11-20,1.1854
2004-12-20,1.1577
2005-01-20,1.2238
2005-02-20,1.2384
2005-03-20,1.2818
2005-04-20,1.3453
2005-05-20,1.2543
2005-06-20,1.2478
2005-07-20,1.1916
2005-08-20,1.2723
2005-09-20,1.27
2005-10-20,1.4375
2005-11-20,0.5338
2005-12-20,0.5131
2006-01-20,0.3706
2006-02-20,0.3859
2006-03-20,0.383
2006-04-20,0.3837
2006-05-20,0.4289
2006-06-20,0.4491
2006-07-20,0.4757
2006-08-20,0.4587
2006-09-20,0.4437
2006-10-20,0.427
2006-11-20,0.4597
2006-12-20,0.4915
2007-01-20,0.4688
2007-02-20,0.4649
2007-03-20,0.5014
2007-04-20,0.4837
2007-05-20,0.4805
2007-06-20,0.476
2007-07-20,0.4466
2007-08-20,0.4973
2007-09-20,0.4706
2007-10-20,0.4343
2007-11-20,0.424
2007-12-20,0.4523
2008-01-20,0.5077
2008-02-20,0.5356
2008-03-20,0.5343
2008-04-20,0.4984
2008-05-20,0.4815
2008-06-20,0.5207
2008-07-20,0.5532
2008-08-20,0.5139
2008-09-20,0.5687
2008-10-20,0.727
2008-11-20,0.9905
2008-12-20,0.7655
2009-01-20,0.8707
2009-02-20,0.8544
2009-03-20,0.851
2009-04-20,0.7762
2009-05-20,0.7361
2009-06-20,0.6794
2009-07-20,0.655
2009-08-20,0.6315
2009-09-20,0.5901
2009-10-20,0.5869
2009-11-20,0.6466
2009-12-20,0.6287
2010-01-20,0.6655
2010-02-20,0.698
2010-03-20,0.6624
2010-04-20,0.6484
2010-05-20,0.7355
2010-06-20,0.7278
2010-07-20,0.7582
2010-08-20,0.7808
2010-09-20,0.844
2010-10-20,0.8118
2010-11-20,0.8175
2010-12-20,0.8047
2011-01-20,0.7835
2011-02-20,0.7656
2011-03-20,0.8303
2011-04-20,0.7963
2011-05-20,0.9739
2011-06-20,1.0331
2011-07-20,0.9684
2011-08-20,1.1836
2011-09-20,0.9633
2011-10-20,0.9743
2011-11-20,1.0263
2011-12-20,1.0185
2012-01-20,0.9732
2012-02-20,0.9606
2012-03-20,0.9018
2012-04-20,0.926
2012-05-20,1.036
2012-06-20,0.9827
2012-07-20,0.9938
2012-08-20,1.0809
2012-09-20,1.0888
2012-10-20,1.1956
2012-11-20,1.3509
2012-12-20,1.4254
2013-01-20,1.3558
2013-02-20,1.4487
2013-03-20,1.4176
2013-04-20,1.4552
2013-05-20,1.4412
2013-06-20,1.5176
2013-07-20,1.488
2013-08-20,1.4998
2013-09-20,1.4456
2013-10-20,1.3931
2013-11-20,1.4663
2013-12-20,1.3089
2014-01-20,1.279
2014-02-20,1.2807
2014-03-20,1.407
2014-04-20,1.4678
2014-05-20,1.4366
2014-06-20,1.3436
2014-07-20,1.2895
2014-08-20,1.2776
2014-09-20,1.2637
2014-10-20,1.3372
2014-11-20,1.2388
2014-12-20,1.2902
2015-01-20,1.2835
2015-02-20,1.2567
2015-03-20,1.1831
2015-04-20,1.1949
2015-05-20,1.1908
2015-06-20,1.2045
2015-07-20,1.1367
2015-08-20,1.246
2015-09-20,1.2816
2015-10-20,1.2429
2015-11-20,1.1987
2015-12-20,1.2132
2016-01-20,1.2969
2016-02-20,1.2665
2016-03-20,1.2844
2016-04-20,1.2518
2016-05-20,1.3264
2016-06-20,1.3004
2016-07-20,1.2403
2016-08-20,1.221
2016-09-20,1.2258
2016-10-20,1.2202
2016-11-20,1.245
2016-12-20,1.2122
2017-01-20,1.192
2017-02-20,1.1552
2017-03-20,1.1024
2017-04-20,1.1021
2017-05-20,1.1296
2017-06-20,1.1269
2017-07-20,1.094
2017-08-20,1.1364
2017-09-20,1.1063
2017-10-20,1.0861
2017-11-20,1.0601
2017-12-20,1.0342
2018-01-20,0.9836
2018-02-20,1.0063
2018-03-20,0.9948
2018-04-20,1.0369
2018-05-20,0.9863
2018-06-20,0.934
2018-07-20,0.9299
2018-08-20,0.9822
2018-09-20,0.9684
2018-10-20,1.035
2018-11-20,1.142
2018-12-20,1.2137
2019-01-20,1.1175
2019-02-20,1.0916
2019-03-20,1.0528
2019-04-20,1.0146
2019-05-20,1.0721
2019-06-20,1.027
2019-07-20,1.0173
2019-08-20,1.0429
2019-09-20,1.0346
2019-10-20,1.0304
2019-11-20,0.9881
2019-12-20,0.9762
2020-01-20,0.929
2020-02-20,0.8949
2020-03-20,1.238
2020-04-20,0.991
2020-05-20,0.9103
2020-06-20,0.8682
2020-07-20,0.792
2020-08-20,0.7637
2020-09-20,0.7988
2020-10-20,0.7505
2020-11-20,0.7526
2020-12-20,0.7354
2021-01-20,0.7415
2021-02-20,0.7265
2021-03-20,0.7707
2021-04-20,0.7167
2021-05-20,0.7391
2021-06-20,0.7152
2021-07-20,0.6829
2021-08-20,0.6846
2021-09-20,0.6887
2021-10-20,0.675
2021-11-20,0.6325
2021-12-20,0.6435
2022-01-20,0.681
2022-02-20,0.7357
2022-03-20,0.7231
2022-04-20,0.7476
2022-05-20,0.9028
2022-06-20,0.9533
2022-07-20,0.8664
2022-08-20,0.8228
2022-09-20,0.925
2022-10-20,0.9967
2022-11-20,0.9515
2022-12-20,0.9796
2023-01-20,0.9357
2023-02-20,0.8798
2023-03-20,0.8726
2023-04-20,0.8498
2023-05-20,0.7931
2023-06-20,0.7316
2023-07-20,0.7172
2023-08-20,0.8729
2023-09-20,0.864
2023-10-20,0.8905
2023-11-20,0.8094
2023-12-20,0.8319
2024-01-20,0.8492
2024-02-20,0.8338
2024-03-20,0.827
2024-04-20,0.8872
2024-05-20,0.8148
2024-06-20,0.7925
2024-07-20,0.803
2024-08-20,0.7915
2024-09-20,0.8088
2024-10-20,0.7963
2024-11-20,0.7783
2024-12-20,0.7719
2025-01-20,0.7195
2025-02-20,0.7035
2025-03-20,0.7992
2025-04-20,0.857
2025-05-20,0.7311
2025-06-20,0.7286
2025-07-20,0.6804
2025-08-20,0.6794
2025-09-20,0.6472
2025-10-20,0.6326
2025-11-20,0.6674
2025-12-20,0.6328
2026-01-20,0.6525
2026-02-20,0.6526
2026-03-20,0.688
2026-04-20,0.6187
