date,oper_margin
2004-01-20,11.8244
2004-02-20,11.6134
2004-03-20,11.6374
2004-04-20,12.5462
2004-05-20,12.6318
2004-06-20,12.6318
2004-07-20,12.6277
2004-08-20,12.6657
2004-09-20,12.6657
2004-10-20,13.3648
2004-11-20,13.4662
2004-12-20,13.2245
2005-01-20,13.4209
2005-02-20,13.4159
2005-03-20,13.5191
2005-04-20,13.2975
2005-05-20,13.3023
2005-06-20,13.2989
2005-07-20,13.2865
2005-08-20,13.2403
2005-09-20,13.2403
2005-10-20,13.5461
2005-11-20,13.5498
2005-12-20,13.4754
2006-01-20,13.4675
2006-02-20,12.7677
2006-03-20,14.3065
2006-04-20,14.2559
2006-05-20,14.8123
2006-06-20,13.8476
2006-07-20,13.8472
2006-08-20,13.8158
2006-09-20,13.7979
2006-10-20,13.7844
2006-11-20,13.7624
2006-12-20,13.8993
2007-01-20,13.9055
2007-02-20,13.8079
2007-03-20,13.8093
2007-04-20,13.5559
2007-05-20,13.5482
2007-06-20,13.489
2007-07-20,13.4334
2007-08-20,13.3136
2007-09-20,13.4743
2007-10-20,13.4562
2007-11-20,13.4311
2007-12-20,13.4272
2008-01-20,13.5899
2008-02-20,13.5856
2008-03-20,13.6088
2008-04-20,13.5365
2008-05-20,13.8757
2008-06-20,13.8757
2008-07-20,13.8274
2008-08-20,13.7347
2008-09-20,13.7347
2008-10-20,13.7347
2008-11-20,13.3358
2008-12-20,13.3358
2009-01-20,13.3358
2009-02-20,14.0506
2009-03-20,13.8401
2009-04-20,13.8401
2009-05-20,11.1816
2009-06-20,11.1816
2009-07-20,11.1811
2009-08-20,9.4616
2009-09-20,9.4616
2009-10-20,9.4616
2009-11-20,8.8498
2009-12-20,8.8498
2010-01-20,8.8498
2010-02-20,9.0504
2010-03-20,9.0504
2010-04-20,9.0504
2010-05-20,13.6691
2010-06-20,13.6104
2010-07-20,13.61
2010-08-20,15.2591
2010-09-20,15.2591
2010-10-20,15.3119
2010-11-20,16.2857
2010-12-20,16.2859
2011-01-20,16.2859
2011-02-20,16.7857
2011-03-20,16.7857
2011-04-20,16.7857
2011-05-20,17.3423
2011-06-20,17.2282
2011-07-20,17.2285
2011-08-20,17.4711
2011-09-20,17.4711
2011-10-20,18.2198
2011-11-20,18.2158
2011-12-20,18.2163
2012-01-20,18.2208
2012-02-20,18.2379
2012-03-20,18.3164
2012-04-20,18.3152
2012-05-20,18.3148
2012-06-20,18.532
2012-07-20,18.532
2012-08-20,18.532
2012-09-20,17.8069
2012-10-20,17.8072
2012-11-20,17.8148
2012-12-20,17.7138
2013-01-20,17.7138
