date,pb
2004-01-16,4.6998
2004-02-16,4.7551
2004-03-16,4.6828
2004-04-16,4.2336
2004-05-16,4.0945
2004-06-16,4.284
2004-07-16,4.3475
2004-08-16,4.0189
2004-09-16,3.9279
2004-10-16,3.9515
2004-11-16,4.1584
2004-12-16,4.3485
2005-01-16,4.4189
2005-02-16,4.1423
2005-03-16,4.1188
2005-04-16,3.9523
2005-05-16,3.7603
2005-06-16,4.0813
2005-07-16,3.7661
2005-08-16,4.0708
2005-09-16,4.0114
2005-10-16,4.1319
2005-11-16,4.0739
2005-12-16,4.2823
2006-01-16,4.0751
2006-02-16,4.2223
2006-03-16,4.2048
2006-04-16,4.3298
2006-05-16,4.3193
2006-06-16,4.0365
2006-07-16,4.0229
2006-08-16,3.8694
2006-09-16,4.0292
2006-10-16,4.2212
2006-11-16,4.4179
2006-12-16,4.5833
2007-01-16,4.4949
2007-02-16,4.5699
2007-03-16,4.4997
2007-04-16,4.2612
2007-05-16,4.4927
2007-06-16,4.5235
2007-07-16,4.5293
2007-08-16,4.532
2007-09-16,4.6244
2007-10-16,4.8598
2007-11-16,5.2029
2007-12-16,4.8521
2008-01-16,4.7672
2008-02-16,4.2182
2008-03-16,3.9974
2008-04-16,4.0889
2008-05-16,4.42
2008-06-16,4.6847
2008-07-16,4.2044
2008-08-16,4.0814
2008-09-16,4.133
2008-10-16,3.5196
2008-11-16,2.9009
2008-12-16,2.577
2009-01-16,2.6333
2009-02-16,2.5462
2009-03-16,2.4097
2009-04-16,2.6687
2009-05-16,3.2669
2009-06-16,3.3635
2009-07-16,3.4612
2009-08-16,3.5955
2009-09-16,3.6419
2009-10-16,3.8521
2009-11-16,3.5528
2009-12-16,3.7652
2010-01-16,3.963
2010-02-16,3.5724
2010-03-16,3.7317
2010-04-16,4.0183
2010-05-16,3.8118
2010-06-16,3.529
2010-07-16,3.3133
2010-08-16,3.4413
2010-09-16,3.263
2010-10-16,3.6887
2010-11-16,3.874
2010-12-16,3.8611
2011-01-16,4.0444
2011-02-16,3.9422
2011-03-16,4.0616
2011-04-16,4.0408
2011-05-16,3.9599
2011-06-16,3.908
2011-07-16,3.8298
2011-08-16,3.6978
2011-09-16,3.5072
2011-10-16,3.0657
2011-11-16,3.3822
2011-12-16,3.2892
2012-01-16,3.2422
2012-02-16,3.5128
2012-03-16,3.6102
2012-04-16,3.7919
2012-05-16,3.7485
2012-06-16,3.3178
2012-07-16,3.4371
2012-08-16,3.4724
2012-09-16,3.5736
2012-10-16,3.6084
2012-11-16,3.4122
2012-12-16,3.4508
2013-01-16,3.429
2013-02-16,3.349
2013-03-16,3.3577
2013-04-16,3.4559
2013-05-16,3.4703
2013-06-16,3.5837
2013-07-16,3.4233
2013-08-16,3.6358
2013-09-16,3.6165
2013-10-16,3.7617
2013-11-16,3.9482
2013-12-16,4.0768
2014-01-16,4.1986
2014-02-16,4.0796
2014-03-16,4.2814
2014-04-16,4.1651
2014-05-16,4.1247
2014-06-16,4.308
2014-07-16,4.4379
2014-08-16,4.4757
2014-09-16,4.6942
2014-10-16,4.6562
2014-11-16,4.6718
2014-12-16,4.8735
2015-01-16,4.7595
2015-02-16,4.5694
2015-03-16,4.8913
2015-04-16,4.7735
2015-05-16,4.6928
2015-06-16,4.7927
2015-07-16,4.6742
2015-08-16,4.8188
2015-09-16,4.4888
2015-10-16,4.3905
2015-11-16,4.8685
2015-12-16,4.8849
2016-01-16,4.8103
2016-02-16,4.3371
2016-03-16,4.2558
2016-04-16,4.3711
2016-05-16,4.2323
2016-06-16,4.3704
2016-07-16,4.2248
2016-08-16,4.5236
2016-09-16,4.4507
2016-10-16,4.4915
2016-11-16,4.4229
2016-12-16,4.2924
2017-01-16,4.3599
2017-02-16,4.5868
2017-03-16,4.6944
2017-04-16,4.7794
2017-05-16,4.9089
2017-06-16,4.9406
2017-07-16,4.8176
2017-08-16,5.0167
2017-09-16,5.0458
2017-10-16,5.038
2017-11-16,5.2622
2017-12-16,5.2248
2018-01-16,5.2437
2018-02-16,5.698
2018-03-16,5.6171
2018-04-16,5.4367
2018-05-16,5.4468
2018-06-16,5.8008
2018-07-16,5.8111
2018-08-16,5.9689
2018-09-16,6.3289
2018-10-16,6.2737
2018-11-16,5.7304
2018-12-16,5.7155
2019-01-16,5.2419
2019-02-16,5.7202
2019-03-16,5.8781
2019-04-16,5.9903
2019-05-16,6.317
2019-06-16,5.7615
2019-07-16,6.2225
2019-08-16,6.3667
2019-09-16,6.1029
2019-10-16,6.1705
2019-11-16,6.4368
2019-12-16,6.6915
2020-01-16,6.7109
2020-02-16,6.9095
2020-03-16,6.5025
2020-04-16,5.6405
2020-05-16,6.4974
2020-06-16,6.898
2020-07-16,7.4088
2020-08-16,7.9552
2020-09-16,8.834
2020-10-16,8.0973
2020-11-16,7.8384
2020-12-16,8.7003
2021-01-16,8.8725
2021-02-16,8.898
2021-03-16,8.887
2021-04-16,8.2516
2021-05-16,8.7365
2021-06-16,8.6266
2021-07-16,8.9221
2021-08-16,9.1742
2021-09-16,9.556
2021-10-16,8.6233
2021-11-16,9.3047
2021-12-16,9.4723
2022-01-16,9.2423
2022-02-16,8.4551
2022-03-16,8.063
2022-04-16,8.144
2022-05-16,7.0553
2022-06-16,6.7205
2022-07-16,6.1297
2022-08-16,6.8993
2022-09-16,6.5391
2022-10-16,5.8614
2022-11-16,6.0935
2022-12-16,6.4266
2023-01-16,5.8398
2023-02-16,6.4602
2023-03-16,6.1566
2023-04-16,6.7324
2023-05-16,6.7684
2023-06-16,7.1466
2023-07-16,7.6124
2023-08-16,7.9022
2023-09-16,7.6033
2023-10-16,7.2443
2023-11-16,7.094
2023-12-16,7.0669
2024-01-16,7.4585
2024-02-16,7.5965
2024-03-16,7.9983
2024-04-16,7.4827
2024-05-16,7.149
2024-06-16,7.734
2024-07-16,8.0072
2024-08-16,7.8774
2024-09-16,7.9638
2024-10-16,8.0145
2024-11-16,7.9464
2024-12-16,8.3619
2025-01-16,8.2135
2025-02-16,8.3956
2025-03-16,8.1618
2025-04-16,7.3997
2025-05-16,7.512
2025-06-16,7.9773
2025-07-16,8.4706
2025-08-16,8.6719
2025-09-16,8.7456
2025-10-16,8.7831
2025-11-16,9.2024
2025-12-16,9.0518
2026-01-16,8.6653
2026-02-16,8.7691
2026-03-16,8.5659
2026-04-16,8.5734
