date,pe
2004-04-16,40.2113
2004-05-16,39.074
2004-06-16,40.8825
2004-07-16,36.6658
2004-08-16,33.8971
2004-09-16,33.1295
2004-10-16,29.357
2004-11-16,30.8817
2004-12-16,31.8041
2005-01-16,32.7124
2005-02-16,30.6385
2005-03-16,30.4583
2005-04-16,30.3616
2005-05-16,29.1534
2005-06-16,31.6419
2005-07-16,27.9481
2005-08-16,30.0848
2005-09-16,29.6456
2005-10-16,28.6069
2005-11-16,28.2216
2005-12-16,30.3835
2006-01-16,28.1698
2006-02-16,31.466
2006-03-16,26.3362
2006-04-16,27.5119
2006-05-16,27.5194
2006-06-16,27.1618
2006-07-16,27.0001
2006-08-16,25.8205
2006-09-16,26.6314
2006-10-16,27.8813
2006-11-16,29.204
2006-12-16,28.999
2007-01-16,28.3871
2007-02-16,28.8186
2007-03-16,28.3444
2007-04-16,28.8652
2007-05-16,30.3084
2007-06-16,28.7087
2007-07-16,28.8166
2007-08-16,29.1124
2007-09-16,28.3065
2007-10-16,29.7875
2007-11-16,31.9945
2007-12-16,29.8779
2008-01-16,27.7759
2008-02-16,24.5952
2008-03-16,23.3332
2008-04-16,23.928
2008-05-16,25.101
2008-06-16,26.6041
2008-07-16,24.0646
2008-08-16,23.606
2008-09-16,23.9046
2008-10-16,20.3569
2008-11-16,17.2766
2008-12-16,15.3476
2009-01-16,15.6828
2009-02-16,14.6884
2009-03-16,13.8901
2009-04-16,15.3826
2009-05-16,18.634
2009-06-16,19.1852
2009-07-16,19.7432
2009-08-16,22.2294
2009-09-16,22.532
2009-10-16,23.8325
2009-11-16,25.2899
2009-12-16,26.8115
2010-01-16,28.2204
2010-02-16,26.456
2010-03-16,27.6358
2010-04-16,29.758
2010-05-16,24.904
2010-06-16,23.0461
2010-07-16,21.6389
2010-08-16,20.2518
2010-09-16,19.2025
2010-10-16,21.6975
2010-11-16,20.6851
2010-12-16,20.616
2011-01-16,21.5949
2011-02-16,19.9459
2011-03-16,20.5497
2011-04-16,20.4448
2011-05-16,19.746
2011-06-16,19.4794
2011-07-16,19.0877
2011-08-16,18.0305
2011-09-16,17.1011
2011-10-16,14.4688
2011-11-16,15.9649
2011-12-16,15.5259
2012-01-16,15.0637
2012-02-16,16.3167
2012-03-16,16.4568
2012-04-16,17.2855
2012-05-16,17.0831
2012-06-16,15.0559
2012-07-16,15.5977
2012-08-16,15.7575
2012-09-16,16.5634
2012-10-16,16.7248
2012-11-16,15.7973
2012-12-16,15.9742
2013-01-16,15.8731
2013-02-16,16.2638
2013-03-16,16.3058
2013-04-16,16.7828
2013-05-16,17.3192
2013-06-16,17.8783
2013-07-16,17.349
2013-08-16,18.4258
2013-09-16,18.3281
2013-10-16,19.3624
2013-11-16,20.306
2013-12-16,21.0554
2014-01-16,21.6843
2014-02-16,21.5842
2014-03-16,22.6517
2014-04-16,22.0366
2014-05-16,21.296
2014-06-16,22.3274
