date,profit_margin
2004-01-20,6.6517
2004-02-20,6.4267
2004-03-20,6.6005
2004-04-20,7.1101
2004-05-20,7.1709
2004-06-20,7.1709
2004-07-20,7.7415
2004-08-20,7.765
2004-09-20,7.765
2004-10-20,9.3204
2004-11-20,9.3781
2004-12-20,9.1938
2005-01-20,9.2783
2005-02-20,9.2748
2005-03-20,9.323
2005-04-20,7.8413
2005-05-20,7.9017
2005-06-20,7.9
2005-07-20,8.4355
2005-08-20,8.4197
2005-09-20,8.4197
2005-10-20,8.5004
2005-11-20,8.5027
2005-12-20,8.694
2006-01-20,9.4576
2006-02-20,8.9607
2006-03-20,10.5031
2006-04-20,10.5324
2006-05-20,10.9482
2006-06-20,9.7703
2006-07-20,9.7711
2006-08-20,9.7827
2006-09-20,9.2008
2006-10-20,9.1999
2006-11-20,9.191
2006-12-20,9.5737
2007-01-20,9.5655
2007-02-20,9.6182
2007-03-20,9.6169
2007-04-20,8.5456
2007-05-20,8.5527
2007-06-20,8.8325
2007-07-20,8.8049
2007-08-20,8.7002
2007-09-20,9.1509
2007-10-20,9.1461
2007-11-20,9.1202
2007-12-20,9.0986
2008-01-20,8.9182
2008-02-20,8.9093
2008-03-20,8.9323
2008-04-20,8.8782
2008-05-20,9.3036
2008-06-20,9.3036
2008-07-20,9.3036
2008-08-20,8.8039
2008-09-20,8.8039
2008-10-20,8.8039
2008-11-20,8.126
2008-12-20,8.126
2009-01-20,8.126
2009-02-20,8.699
2009-03-20,8.5678
2009-04-20,8.5678
2009-05-20,5.3389
2009-06-20,5.3389
2009-07-20,5.3386
2009-08-20,4.179
2009-09-20,4.179
2009-10-20,4.179
2009-11-20,3.7355
2009-12-20,3.7355
2010-01-20,3.7355
2010-02-20,4.1512
2010-03-20,4.1512
2010-04-20,4.1512
2010-05-20,9.5878
2010-06-20,9.5895
2010-07-20,9.5895
2010-08-20,11.075
2010-09-20,11.075
2010-10-20,11.1043
2010-11-20,11.8987
2010-12-20,11.8987
2011-01-20,11.8987
2011-02-20,12.6691
2011-03-20,12.6691
2011-04-20,12.6691
2011-05-20,13.1597
2011-06-20,13.1319
2011-07-20,13.1002
2011-08-20,13.3523
2011-09-20,13.3523
