date,roa
2004-01-16,4.7956
2004-02-16,4.6325
2004-03-16,4.7582
2004-04-16,4.7882
2004-05-16,4.8288
2004-06-16,4.8288
2004-07-16,5.4037
2004-08-16,5.4166
2004-09-16,5.4166
2004-10-16,6.7911
2004-11-16,6.8331
2004-12-16,7.177
2005-01-16,7.119
2005-02-16,7.119
2005-03-16,7.1563
2005-04-16,5.9803
2005-05-16,6.027
2005-06-16,6.0251
2005-07-16,6.2923
2005-08-16,6.3171
2005-09-16,6.3171
2005-10-16,6.7919
2005-11-16,6.7919
2005-12-16,6.9476
2006-01-16,7.7735
2006-02-16,7.1706
2006-03-16,10.0142
2006-04-16,9.3458
2006-05-16,9.3417
2006-06-16,7.9962
2006-07-16,7.9924
2006-08-16,8.0125
2006-09-16,7.5954
2006-10-16,7.6318
2006-11-16,7.6278
2006-12-16,7.8856
2007-01-16,7.9963
2007-02-16,8.019
2007-03-16,8.0248
2007-04-16,6.9562
2007-05-16,6.9572
2007-06-16,7.3662
2007-07-16,7.3813
2007-08-16,7.2696
2007-09-16,7.6126
2007-10-16,7.6052
2007-11-16,7.5702
2007-12-16,7.5472
2008-01-16,7.4853
2008-02-16,7.469
2008-03-16,7.4643
2008-04-16,7.4161
2008-05-16,7.5656
2008-06-16,7.5656
2008-07-16,7.5408
2008-08-16,7.3592
2008-09-16,7.3592
2008-10-16,7.3592
2008-11-16,6.8596
2008-12-16,6.8596
2009-01-16,6.8596
2009-02-16,7.379
2009-03-16,7.273
2009-04-16,7.273
2009-05-16,4.6628
2009-06-16,4.6628
2009-07-16,4.6626
2009-08-16,3.581
2009-09-16,3.581
2009-10-16,3.581
2009-11-16,3.0152
2009-12-16,3.0152
2010-01-16,3.0152
2010-02-16,3.1902
2010-03-16,3.1902
2010-04-16,3.1902
2010-05-16,7.2081
2010-06-16,7.2088
2010-07-16,7.2088
2010-08-16,8.5407
2010-09-16,8.5407
2010-10-16,8.5487
2010-11-16,9.5333
2010-12-16,9.5334
2011-01-16,9.5334
2011-02-16,10.0883
2011-03-16,10.0883
2011-04-16,10.0883
2011-05-16,10.54
2011-06-16,10.5188
2011-07-16,10.4935
2011-08-16,10.5918
2011-09-16,10.5918
2011-10-16,10.8109
2011-11-16,10.7665
2011-12-16,10.7672
2012-01-16,10.7593
2012-02-16,10.7593
2012-03-16,10.7887
2012-04-16,10.8128
2012-05-16,10.8146
2012-06-16,10.9608
2012-07-16,10.9608
2012-08-16,10.9608
2012-09-16,10.3744
2012-10-16,10.3747
2012-11-16,10.3664
2012-12-16,10.2873
2013-01-16,10.2873
2013-02-16,9.7326
2013-03-16,9.7326
2013-04-16,9.7326
2013-05-16,9.8886
2013-06-16,9.8793
2013-07-16,9.7115
2013-08-16,9.7115
2013-09-16,9.7115
2013-10-16,9.9972
2013-11-16,10.003
2013-12-16,10.1386
2014-01-16,10.1386
2014-02-16,9.882
2014-03-16,9.882
2014-04-16,9.882
2014-05-16,9.58
2014-06-16,10.0726
2014-07-16,10.0726
2014-08-16,9.9383
2014-09-16,9.9383
2014-10-16,9.9383
2014-11-16,9.7639
2014-12-16,9.1122
2015-01-16,9.1122
2015-02-16,9.3483
2015-03-16,9.3483
2015-04-16,9.3483
2015-05-16,9.7639
2015-06-16,9.769
2015-07-16,9.769
2015-08-16,9.9065
2015-09-16,9.9065
2015-10-16,9.9065
2015-11-16,9.4742
2015-12-16,9.4538
2016-01-16,9.4538
2016-02-16,9.0546
2016-03-16,9.0546
2016-04-16,8.4016
2016-05-16,8.3962
2016-06-16,8.0522
2016-07-16,7.987
2016-08-16,7.987
2016-09-16,7.9044
2016-10-16,7.8169
2016-11-16,7.823
2016-12-16,7.4289
2017-01-16,7.3552
2017-02-16,7.3552
2017-03-16,7.3868
2017-04-16,7.418
2017-05-16,7.4283
2017-06-16,7.6192
2017-07-16,7.6331
2017-08-16,7.6331
2017-09-16,7.9155
2017-10-16,7.9156
2017-11-16,7.9205
2017-12-16,8.1515
2018-01-16,8.1438
2018-02-16,8.1408
2018-03-16,8.1284
2018-04-16,7.419
2018-05-16,7.4403
2018-06-16,8.073
2018-07-16,8.1566
2018-08-16,8.1566
2018-09-16,8.7079
2018-10-16,8.7245
2018-11-16,8.7294
2018-12-16,8.7012
2019-01-16,9.224
2019-02-16,9.2239
2019-03-16,9.2243
2019-04-16,9.9414
2019-05-16,9.9294
2019-06-16,9.3553
2019-07-16,9.3046
2019-08-16,9.3031
2019-09-16,9.3111
2019-10-16,9.2552
2019-11-16,9.2552
2019-12-16,9.2552
2020-01-16,8.7303
2020-02-16,8.7303
2020-03-16,8.7303
2020-04-16,8.6282
2020-05-16,8.6282
2020-06-16,8.6282
2020-07-16,8.4609
2020-08-16,8.4609
2020-09-16,8.4609
2020-10-16,7.9517
2020-11-16,7.9517
2020-12-16,7.9517
2021-01-16,8.1462
2021-02-16,8.1462
2021-03-16,8.1462
2021-04-16,7.9944
2021-05-16,7.9944
2021-06-16,7.9944
2021-07-16,8.8983
2021-08-16,8.9015
2021-09-16,8.9015
2021-10-16,10.1767
2021-11-16,10.1761
2021-12-16,10.1761
2022-01-16,10.5459
2022-02-16,10.547
2022-03-16,10.5443
2022-04-16,10.7445
2022-05-16,10.7445
2022-06-16,10.7315
2022-07-16,10.7297
2022-08-16,10.7297
2022-09-16,10.7297
2022-10-16,10.1224
2022-11-16,10.1224
2022-12-16,10.1224
2023-01-16,9.519
2023-02-16,9.519
2023-03-16,8.0339
2023-04-16,8.0468
2023-05-16,8.0227
2023-06-16,7.7312
2023-07-16,7.7357
2023-08-16,7.7357
2023-09-16,8.2772
2023-10-16,8.3204
2023-11-16,8.3204
2023-12-16,8.133
2024-01-16,8.2425
2024-02-16,8.2425
2024-03-16,8.2425
2024-04-16,8.2487
2024-05-16,8.2487
2024-06-16,8.4874
2024-07-16,8.3024
2024-08-16,8.3036
2024-09-16,8.3029
2024-10-16,8.0815
2024-11-16,8.0815
2024-12-16,8.0815
2025-01-16,8.2189
2025-02-16,8.215
2025-03-16,8.2091
2025-04-16,8.6363
2025-05-16,8.6363
2025-06-16,8.8934
2025-07-16,8.8942
2025-08-16,8.9011
2025-09-16,8.9011
2025-10-16,9.5195
2025-11-16,9.5261
2025-12-16,9.5261
2026-01-16,10.1258
2026-02-16,10.1261
2026-03-16,10.1275
2026-04-16,9.7549
