date,roce
2004-01-20,8.1845
2004-02-20,7.8764
2004-03-20,8.0916
2004-04-20,8.2308
2004-05-20,8.2772
2004-06-20,8.2772
2004-07-20,9.2614
2004-08-20,9.2877
2004-09-20,9.2877
2004-10-20,11.3191
2004-11-20,11.3905
2004-12-20,12.1354
2005-01-20,12.041
2005-02-20,12.041
2005-03-20,12.1052
2005-04-20,10.7016
2005-05-20,10.7078
2005-06-20,10.7032
2005-07-20,11.565
2005-08-20,11.5941
2005-09-20,11.5941
2005-10-20,12.1037
2005-11-20,12.1037
2005-12-20,12.3322
2006-01-20,13.7382
2006-02-20,12.6264
2006-03-20,15.1476
2006-04-20,15.0833
2006-05-20,15.0797
2006-06-20,13.6995
2006-07-20,13.6933
2006-08-20,13.7798
2006-09-20,13.3443
2006-10-20,13.3521
2006-11-20,13.346
2006-12-20,14.5421
2007-01-20,14.5301
2007-02-20,14.5658
2007-03-20,14.5906
2007-04-20,12.6565
2007-05-20,12.6838
2007-06-20,13.5741
2007-07-20,13.5412
2007-08-20,13.3772
2007-09-20,14.5454
2007-10-20,14.5303
2007-11-20,14.4654
2007-12-20,14.4131
2008-01-20,14.5368
2008-02-20,14.532
2008-03-20,14.5199
2008-04-20,14.4458
2008-05-20,15.4487
2008-06-20,15.4488
2008-07-20,15.3401
2008-08-20,14.6595
2008-09-20,14.6595
2008-10-20,14.6595
2008-11-20,13.9494
2008-12-20,13.9494
2009-01-20,13.9494
2009-02-20,14.687
2009-03-20,14.4759
2009-04-20,14.4759
2009-05-20,9.4394
2009-06-20,9.4394
2009-07-20,9.4389
2009-08-20,7.0844
2009-09-20,7.0794
2009-10-20,7.0794
2009-11-20,5.8634
2009-12-20,5.8612
2010-01-20,5.8612
2010-02-20,6.1689
2010-03-20,6.1689
2010-04-20,6.1689
2010-05-20,13.7933
2010-06-20,13.7937
2010-07-20,13.7937
2010-08-20,16.2009
2010-09-20,16.2009
2010-10-20,16.2161
2010-11-20,18.0785
2010-12-20,18.0786
2011-01-20,18.0786
2011-02-20,19.4075
2011-03-20,19.4075
2011-04-20,19.4075
2011-05-20,19.949
2011-06-20,19.9089
2011-07-20,19.8609
2011-08-20,20.213
2011-09-20,20.213
2011-10-20,20.7549
2011-11-20,20.7566
2011-12-20,20.758
2012-01-20,20.8589
2012-02-20,20.8589
2012-03-20,21.3047
2012-04-20,21.3022
2012-05-20,21.3058
2012-06-20,21.4232
2012-07-20,21.4232
2012-08-20,21.4232
2012-09-20,20.2087
2012-10-20,20.2097
2012-11-20,20.2283
2012-12-20,20.0739
2013-01-20,20.0739
2013-02-20,19.2959
2013-03-20,19.2959
2013-04-20,19.2959
2013-05-20,19.6198
2013-06-20,19.6013
2013-07-20,19.0783
2013-08-20,19.0783
2013-09-20,19.0783
