date,div_yield
2004-01-20,1.3735
2004-02-20,1.3857
2004-03-20,1.4829
2004-04-20,1.4559
2004-05-20,1.8128
2004-06-20,2.1116
2004-07-20,2.2001
2004-08-20,2.1814
2004-09-20,1.972
2004-10-20,1.9142
2004-11-20,1.8657
2004-12-20,1.7338
2005-01-20,1.8322
2005-02-20,1.7034
2005-03-20,1.6739
2005-04-20,1.7841
2005-05-20,1.7291
2005-06-20,1.4677
2005-07-20,1.5226
2005-08-20,1.4334
2005-09-20,1.3787
2005-10-20,1.4845
2005-11-20,1.3598
2005-12-20,1.2639
2006-01-20,1.2976
2006-02-20,1.2422
2006-03-20,1.1441
2006-04-20,1.0511
2006-05-20,1.1633
2006-06-20,1.4101
2006-07-20,1.4191
2006-08-20,1.3312
2006-09-20,1.2489
2006-10-20,1.2709
2006-11-20,1.1774
2006-12-20,1.1853
2007-01-20,1.1205
2007-02-20,1.1341
2007-03-20,1.2696
2007-04-20,1.2142
2007-05-20,1.1836
2007-06-20,1.1466
2007-07-20,1.0679
2007-08-20,1.1173
2007-09-20,0.9928
2007-10-20,0.9285
2007-11-20,0.8208
2007-12-20,0.8247
2008-01-20,0.8309
2008-02-20,0.891
2008-03-20,1.0241
2008-04-20,0.9272
2008-05-20,0.8626
2008-06-20,1.0446
2008-07-20,1.1958
2008-08-20,1.1559
2008-09-20,1.2293
2008-10-20,1.7071
2008-11-20,2.0339
2008-12-20,1.7019
2009-01-20,1.8466
2009-02-20,1.8927
2009-03-20,1.8636
2009-04-20,1.523
2009-05-20,1.1489
2009-06-20,1.171
2009-07-20,1.0818
2009-08-20,1.1094
2009-09-20,0.9967
2009-10-20,1.0166
2009-11-20,1.0572
2009-12-20,1.0759
2010-01-20,1.0285
2010-02-20,1.0955
2010-03-20,1.0159
2010-04-20,1.085
2010-05-20,1.1431
2010-06-20,1.2694
2010-07-20,1.2315
2010-08-20,1.2254
2010-09-20,1.1561
2010-10-20,1.1581
2010-11-20,1.2676
2010-12-20,1.2792
2011-01-20,1.3358
2011-02-20,1.3988
2011-03-20,1.4273
2011-04-20,1.2859
2011-05-20,1.4368
2011-06-20,1.5033
2011-07-20,1.4984
2011-08-20,1.6385
2011-09-20,1.5538
2011-10-20,1.5863
2011-11-20,1.5508
2011-12-20,1.6731
2012-01-20,1.5004
2012-02-20,1.3859
2012-03-20,1.5208
2012-04-20,1.4678
2012-05-20,1.5779
2012-06-20,1.6109
2012-07-20,1.6336
2012-08-20,1.5898
2012-09-20,1.5586
2012-10-20,1.5307
2012-11-20,1.6236
2012-12-20,1.5296
2013-01-20,1.4692
2013-02-20,1.4987
2013-03-20,1.5474
2013-04-20,1.5892
2013-05-20,1.5027
2013-06-20,1.6738
2013-07-20,1.5686
2013-08-20,1.7241
2013-09-20,1.5444
2013-10-20,1.5121
2013-11-20,1.5131
2013-12-20,1.5405
2014-01-20,1.5432
2014-02-20,1.6074
2014-03-20,1.4714
2014-04-20,1.4487
2014-05-20,1.3919
2014-06-20,1.4827
2014-07-20,1.474
2014-08-20,1.6111
2014-09-20,1.476
2014-10-20,1.5336
2014-11-20,1.4329
2014-12-20,1.4935
2015-01-20,1.3764
2015-02-20,1.3936
2015-03-20,1.3758
2015-04-20,1.4014
2015-05-20,1.3905
2015-06-20,1.5194
2015-07-20,1.4069
2015-08-20,1.337
2015-09-20,1.4149
2015-10-20,1.3818
2015-11-20,1.4714
2015-12-20,1.4915
2016-01-20,1.534
2016-02-20,1.5629
2016-03-20,1.6166
2016-04-20,1.5927
2016-05-20,1.5122
2016-06-20,1.4526
2016-07-20,1.4774
2016-08-20,1.4726
2016-09-20,1.4798
2016-10-20,1.5061
2016-11-20,1.6331
2016-12-20,1.6212
2017-01-20,1.5776
2017-02-20,1.5228
2017-03-20,1.5003
2017-04-20,1.3653
2017-05-20,1.2528
2017-06-20,1.0952
2017-07-20,1.1645
2017-08-20,1.1907
2017-09-20,1.2029
2017-10-20,1.1907
2017-11-20,1.1766
2017-12-20,1.1443
2018-01-20,1.0886
2018-02-20,1.1781
2018-03-20,1.2512
2018-04-20,1.202
2018-05-20,1.1243
2018-06-20,1.2824
2018-07-20,1.2494
2018-08-20,1.1613
2018-09-20,1.2221
2018-10-20,1.3278
2018-11-20,1.3742
2018-12-20,1.3381
2019-01-20,1.3559
2019-02-20,1.4193
2019-03-20,1.2715
2019-04-20,1.2079
2019-05-20,1.2018
2019-06-20,1.1823
2019-07-20,1.2126
2019-08-20,1.2712
2019-09-20,1.2521
2019-10-20,1.3169
2019-11-20,1.212
2019-12-20,1.182
2020-01-20,1.17
2020-02-20,1.1307
2020-03-20,1.553
2020-04-20,1.4767
2020-05-20,1.5043
2020-06-20,1.316
2020-07-20,1.2572
2020-08-20,1.1162
2020-09-20,1.0962
2020-10-20,0.9764
2020-11-20,1.0234
2020-12-20,0.9515
2021-01-20,0.8749
2021-02-20,0.8618
2021-03-20,0.7855
2021-04-20,0.7964
2021-05-20,0.7603
2021-06-20,1.1328
2021-07-20,1.027
2021-08-20,1.0382
2021-09-20,0.9775
2021-10-20,0.919
2021-11-20,0.9381
2021-12-20,0.9656
2022-01-20,0.9588
2022-02-20,1.004
2022-03-20,1.0035
2022-04-20,1.0296
2022-05-20,1.1424
2022-06-20,1.3269
2022-07-20,1.2608
2022-08-20,1.2195
2022-09-20,1.218
2022-10-20,1.2245
2022-11-20,1.2002
2022-12-20,1.1905
2023-01-20,1.299
2023-02-20,1.3071
2023-03-20,1.3755
2023-04-20,1.3183
2023-05-20,1.3249
2023-06-20,1.3761
2023-07-20,1.2492
2023-08-20,1.3699
2023-09-20,1.3497
2023-10-20,1.3829
2023-11-20,1.3969
2023-12-20,1.3004
2024-01-20,1.226
2024-02-20,1.1974
2024-03-20,1.2135
2024-04-20,1.2035
2024-05-20,1.1979
2024-06-20,1.1921
2024-07-20,1.1701
2024-08-20,1.209
2024-09-20,1.1529
2024-10-20,1.1982
2024-11-20,1.2646
2024-12-20,1.2571
2025-01-20,1.3143
2025-02-20,1.3404
2025-03-20,1.3297
2025-04-20,1.2916
2025-05-20,1.262
2025-06-20,1.2331
2025-07-20,1.2641
2025-08-20,1.3108
2025-09-20,1.2991
2025-10-20,1.2748
2025-11-20,1.2639
