date,ebitda_margin
2004-01-20,14.3844
2004-02-20,15.5974
2004-03-20,15.5967
2004-04-20,15.5967
2004-05-20,14.7857
2004-06-20,16.9845
2004-07-20,17.4764
2004-08-20,17.7109
2004-09-20,17.7109
2004-10-20,17.7109
2004-11-20,18.77
2004-12-20,18.77
2005-01-20,18.77
2005-02-20,17.804
2005-03-20,17.804
2005-04-20,17.804
2005-05-20,18.0234
2005-06-20,18.3376
2005-07-20,19.6571
2005-08-20,19.6571
2005-09-20,19.7607
2005-10-20,19.7607
2005-11-20,22.6679
2005-12-20,22.7025
2006-01-20,22.6525
2006-02-20,23.7174
2006-03-20,23.7169
2006-04-20,23.7064
2006-05-20,20.7382
2006-06-20,19.8922
2006-07-20,19.627
2006-08-20,19.6511
2006-09-20,19.6653
2006-10-20,19.6609
2006-11-20,21.8762
2006-12-20,21.8717
2007-01-20,21.8715
2007-02-20,22.41
2007-03-20,22.4165
2007-04-20,23.3285
2007-05-20,23.5752
2007-06-20,23.1787
2007-07-20,21.8345
2007-08-20,21.8726
2007-09-20,22.654
2007-10-20,22.5989
2007-11-20,23.4813
2007-12-20,23.999
2008-01-20,23.9954
2008-02-20,24.3628
2008-03-20,24.362
2008-04-20,24.4115
2008-05-20,19.673
2008-06-20,20.3132
2008-07-20,20.5893
2008-08-20,20.6778
2008-09-20,20.084
2008-10-20,19.7441
2008-11-20,19.5305
2008-12-20,19.5375
2009-01-20,19.5394
2009-02-20,20.6361
2009-03-20,20.6451
2009-04-20,20.6881
2009-05-20,20.3422
2009-06-20,17.7527
2009-07-20,17.0361
2009-08-20,17.2647
2009-09-20,17.4488
2009-10-20,17.3171
2009-11-20,19.2027
2009-12-20,18.2395
2010-01-20,18.2395
2010-02-20,19.0982
2010-03-20,19.0982
2010-04-20,19.0977
2010-05-20,19.5769
2010-06-20,19.3908
2010-07-20,19.697
2010-08-20,18.8272
2010-09-20,18.7534
2010-10-20,18.3083
2010-11-20,18.9243
2010-12-20,18.9196
2011-01-20,18.903
2011-02-20,19.7534
2011-03-20,19.75
2011-04-20,19.7517
2011-05-20,21.8011
2011-06-20,19.3186
2011-07-20,19.2852
2011-08-20,19.1849
2011-09-20,19.2009
2011-10-20,19.149
2011-11-20,20.0195
2011-12-20,20.0136
2012-01-20,20.0124
2012-02-20,20.279
2012-03-20,20.2624
2012-04-20,20.2629
2012-05-20,18.4779
2012-06-20,18.4507
2012-07-20,18.4237
2012-08-20,18.3065
2012-09-20,18.2932
2012-10-20,18.3305
2012-11-20,18.7189
2012-12-20,18.7189
2013-01-20,18.7189
2013-02-20,17.2362
2013-03-20,17.2298
2013-04-20,17.2296
2013-05-20,16.7703
2013-06-20,17.8395
2013-07-20,17.829
2013-08-20,17.5417
2013-09-20,17.5325
2013-10-20,17.525
2013-11-20,16.1968
2013-12-20,16.1967
2014-01-20,16.1969
2014-02-20,16.3052
2014-03-20,16.3144
2014-04-20,16.3145
2014-05-20,16.5332
2014-06-20,17.8943
2014-07-20,17.9005
2014-08-20,17.8104
2014-09-20,17.8104
2014-10-20,17.8103
2014-11-20,17.8696
2014-12-20,17.8697
2015-01-20,17.8704
2015-02-20,17.829
2015-03-20,17.8109
2015-04-20,17.8111
2015-05-20,20.1554
2015-06-20,18.8135
2015-07-20,18.8037
2015-08-20,18.6141
2015-09-20,18.656
2015-10-20,18.656
2015-11-20,18.496
2015-12-20,18.2884
2016-01-20,18.2884
2016-02-20,18.3555
2016-03-20,18.3355
2016-04-20,18.3362
2016-05-20,17.8943
2016-06-20,19.0565
2016-07-20,19.4078
2016-08-20,19.0844
2016-09-20,19.0619
2016-10-20,19.0619
2016-11-20,19.7675
2016-12-20,19.6717
2017-01-20,19.6717
2017-02-20,20.0269
2017-03-20,20.0355
2017-04-20,20.0355
2017-05-20,20.3117
2017-06-20,21.3285
2017-07-20,21.3724
2017-08-20,21.0618
2017-09-20,19.8469
2017-10-20,19.8428
2017-11-20,20.0672
2017-12-20,20.0672
2018-01-20,20.0674
2018-02-20,20.1009
2018-03-20,20.1009
2018-04-20,20.1009
2018-05-20,21.9978
2018-06-20,20.1506
2018-07-20,19.8675
2018-08-20,21.7669
2018-09-20,22.3202
2018-10-20,22.3282
2018-11-20,22.7865
2018-12-20,22.7861
2019-01-20,22.7861
2019-02-20,22.2924
2019-03-20,22.2927
2019-04-20,22.2927
2019-05-20,22.9119
2019-06-20,22.2912
2019-07-20,22.3175
2019-08-20,23.0767
2019-09-20,22.4878
2019-10-20,22.4884
2019-11-20,22.5614
2019-12-20,22.7984
2020-01-20,22.7984
2020-02-20,24.0464
2020-03-20,23.7624
2020-04-20,23.7752
2020-05-20,23.6943
2020-06-20,22.9993
2020-07-20,21.9925
