date,ev_ebitda
2004-01-20,8.387
2004-02-20,11.2206
2004-03-20,11.9432
2004-04-20,11.9432
2004-05-20,14.7782
2004-06-20,11.417
2004-07-20,10.5219
2004-08-20,10.5269
2004-09-20,10.5269
2004-10-20,10.5269
2004-11-20,8.8982
2004-12-20,8.8982
2005-01-20,8.8982
2005-02-20,10.7128
2005-03-20,10.7128
2005-04-20,10.7128
2005-05-20,13.5331
2005-06-20,10.2657
2005-07-20,10.0033
2005-08-20,10.0033
2005-09-20,10.0724
2005-10-20,10.0724
2005-11-20,11.1838
2005-12-20,11.1845
2006-01-20,11.1844
2006-02-20,12.7697
2006-03-20,12.7704
2006-04-20,12.769
2006-05-20,13.8054
2006-06-20,15.4791
2006-07-20,15.3503
2006-08-20,16.1642
2006-09-20,16.1531
2006-10-20,16.1081
2006-11-20,15.1351
2006-12-20,15.1331
2007-01-20,15.1332
2007-02-20,16.8311
2007-03-20,16.8262
2007-04-20,15.9471
2007-05-20,13.707
2007-06-20,13.6316
2007-07-20,12.8603
2007-08-20,12.8249
2007-09-20,12.2857
2007-10-20,12.181
2007-11-20,13.2623
2007-12-20,13.262
2008-01-20,13.2652
2008-02-20,15.226
2008-03-20,15.2265
2008-04-20,15.2173
2008-05-20,15.1751
2008-06-20,12.1726
2008-07-20,11.9769
2008-08-20,11.9005
2008-09-20,12.1506
2008-10-20,12.3535
2008-11-20,11.0199
2008-12-20,11.0196
2009-01-20,11.0186
2009-02-20,9.9943
2009-03-20,9.9946
2009-04-20,9.967
2009-05-20,6.9687
2009-06-20,7.7251
2009-07-20,8.5933
2009-08-20,8.4072
2009-09-20,8.2991
2009-10-20,8.3706
2009-11-20,11.124
2009-12-20,11.124
2010-01-20,11.124
2010-02-20,12.9141
2010-03-20,12.9141
2010-04-20,12.9141
2010-05-20,13.3184
2010-06-20,12.5895
2010-07-20,12.4834
2010-08-20,13.1468
2010-09-20,13.2016
2010-10-20,13.5436
2010-11-20,12.1371
2010-12-20,12.1394
2011-01-20,12.1505
2011-02-20,13.2549
2011-03-20,13.2571
2011-04-20,13.256
2011-05-20,9.3599
2011-06-20,12.4654
2011-07-20,12.5027
2011-08-20,12.5774
2011-09-20,12.5768
2011-10-20,12.6113
2011-11-20,10.5455
2011-12-20,10.5486
2012-01-20,10.5479
2012-02-20,9.5409
2012-03-20,9.5487
2012-04-20,9.5485
2012-05-20,9.5648
2012-06-20,10.333
2012-07-20,10.3912
2012-08-20,10.4856
2012-09-20,10.4797
2012-10-20,10.4594
2012-11-20,10.2742
2012-12-20,10.2742
2013-01-20,10.2742
2013-02-20,10.6633
2013-03-20,10.6673
2013-04-20,10.6674
2013-05-20,10.5196
2013-06-20,10.2514
2013-07-20,10.3779
2013-08-20,10.5957
2013-09-20,10.6012
2013-10-20,10.6052
2013-11-20,10.7541
2013-12-20,10.7542
2014-01-20,10.7541
2014-02-20,11.1053
2014-03-20,11.099
2014-04-20,11.099
2014-05-20,10.937
2014-06-20,10.8752
2014-07-20,11.0041
2014-08-20,11.0736
2014-09-20,11.0736
2014-10-20,11.0737
2014-11-20,11.7343
2014-12-20,11.7343
2015-01-20,11.7338
2015-02-20,12.2633
2015-03-20,12.263
2015-04-20,12.2629
2015-05-20,11.4235
2015-06-20,12.2348
2015-07-20,12.3018
2015-08-20,12.4662
2015-09-20,12.4558
2015-10-20,12.4558
2015-11-20,12.9928
2015-12-20,12.9928
2016-01-20,12.9928
2016-02-20,12.387
2016-03-20,12.3914
2016-04-20,12.3909
2016-05-20,13.6041
2016-06-20,12.2138
2016-07-20,12.4061
2016-08-20,12.6369
2016-09-20,12.6591
2016-10-20,12.6591
2016-11-20,12.8737
2016-12-20,12.8737
2017-01-20,12.8737
2017-02-20,12.9807
2017-03-20,12.9807
2017-04-20,12.9807
2017-05-20,12.1191
2017-06-20,12.3992
2017-07-20,12.5012
2017-08-20,12.7284
2017-09-20,13.4388
2017-10-20,13.4428
2017-11-20,13.5781
2017-12-20,13.5781
2018-01-20,13.5781
2018-02-20,13.8838
2018-03-20,13.8838
2018-04-20,13.8838
2018-05-20,12.9822
2018-06-20,13.7616
2018-07-20,13.4467
2018-08-20,12.4595
2018-09-20,12.5037
2018-10-20,12.507
2018-11-20,12.4288
2018-12-20,12.4288
2019-01-20,12.4288
2019-02-20,13.2075
2019-03-20,13.2075
2019-04-20,13.2075
2019-05-20,11.3848
2019-06-20,11.9827
2019-07-20,11.9791
2019-08-20,11.9309
2019-09-20,11.9846
2019-10-20,11.9846
2019-11-20,12.0357
2019-12-20,11.6438
2020-01-20,11.6438
2020-02-20,12.9887
2020-03-20,13.1002
2020-04-20,13.1541
2020-05-20,13.0963
2020-06-20,10.4507
2020-07-20,10.5517
2020-08-20,12.1171
2020-09-20,12.1236
2020-10-20,12.1239
2020-11-20,13.1128
2020-12-20,13.1053
2021-01-20,13.1053
2021-02-20,16.9495
2021-03-20,16.9424
2021-04-20,16.9191
2021-05-20,16.1349
2021-06-20,15.1822
2021-07-20,15.295
2021-08-20,15.961
2021-09-20,15.9272
2021-10-20,15.9272
2021-11-20,17.5914
2021-12-20,17.5854
2022-01-20,17.5854
2022-02-20,17.1523
2022-03-20,17.2994
2022-04-20,17.2759
2022-05-20,17.0115
2022-06-20,15.4243
2022-07-20,15.4762
2022-08-20,14.1503
2022-09-20,14.5892
2022-10-20,14.5892
2022-11-20,15.1914
2022-12-20,15.2998
2023-01-20,15.2998
2023-02-20,14.9625
2023-03-20,15.2576
2023-04-20,15.2483
2023-05-20,14.7102
2023-06-20,13.5178
2023-07-20,13.524
2023-08-20,14.6273
2023-09-20,14.7722
2023-10-20,14.7722
2023-11-20,16.0369
2023-12-20,16.0025
2024-01-20,16.0025
2024-02-20,16.2697
2024-03-20,16.4525
2024-04-20,16.4596
2024-05-20,15.8694
2024-06-20,16.0565
2024-07-20,16.0658
2024-08-20,16.4315
2024-09-20,16.4762
2024-10-20,16.4759
2024-11-20,17.5253
2024-12-20,17.6347
2025-01-20,17.6421
2025-02-20,16.4538
2025-03-20,16.6527
2025-04-20,16.6502
2025-05-20,16.0229
2025-06-20,14.8859
2025-07-20,14.8965
2025-08-20,15.9849
2025-09-20,15.943
2025-10-20,15.943
2025-11-20,15.9431
2025-12-20,15.2898
2026-01-20,15.2898
2026-02-20,16.7123
2026-03-20,16.747
2026-04-20,16.7649
