date,oper_margin
2004-01-20,12.0728
2004-02-20,12.8097
2004-03-20,12.9895
2004-04-20,12.9895
2004-05-20,14.1038
2004-06-20,13.6513
2004-07-20,14.0653
2004-08-20,14.2518
2004-09-20,14.2518
2004-10-20,14.2518
2004-11-20,15.096
2004-12-20,15.096
2005-01-20,15.096
2005-02-20,14.5008
2005-03-20,14.5008
2005-04-20,14.5008
2005-05-20,14.6311
2005-06-20,15.1665
2005-07-20,16.2609
2005-08-20,16.2609
2005-09-20,16.3452
2005-10-20,16.3452
2005-11-20,19.6896
2005-12-20,19.7203
2006-01-20,19.6447
2006-02-20,20.6981
2006-03-20,20.6954
2006-04-20,20.6779
2006-05-20,19.9277
2006-06-20,19.977
2006-07-20,19.5183
2006-08-20,19.3836
2006-09-20,19.3824
2006-10-20,19.126
2006-11-20,19.8084
2006-12-20,19.8556
2007-01-20,19.8387
2007-02-20,21.8046
2007-03-20,21.8046
2007-04-20,21.2217
2007-05-20,20.1701
2007-06-20,19.5333
2007-07-20,17.6449
2007-08-20,17.9884
2007-09-20,18.0364
2007-10-20,18.0791
2007-11-20,18.762
2007-12-20,19.8236
2008-01-20,19.8259
2008-02-20,19.4908
2008-03-20,19.4898
2008-04-20,19.8968
2008-05-20,15.5415
2008-06-20,16.6731
2008-07-20,15.6494
2008-08-20,15.8483
2008-09-20,15.1065
2008-10-20,14.9665
2008-11-20,15.4236
2008-12-20,15.4222
2009-01-20,15.3602
2009-02-20,16.0619
2009-03-20,16.0493
2009-04-20,16.1326
2009-05-20,15.4672
2009-06-20,13.6318
2009-07-20,12.838
2009-08-20,13.0317
2009-09-20,13.1352
2009-10-20,13.0527
2009-11-20,13.1934
2009-12-20,13.3924
2010-01-20,13.3924
2010-02-20,14.5808
2010-03-20,14.5807
2010-04-20,14.6103
2010-05-20,14.6578
2010-06-20,13.719
2010-07-20,13.9463
2010-08-20,13.2093
2010-09-20,13.1491
2010-10-20,13.1243
2010-11-20,13.9448
2010-12-20,13.9444
2011-01-20,13.9299
2011-02-20,14.0681
2011-03-20,14.0682
2011-04-20,14.0773
