date,pb
2004-01-20,3.7354
2004-02-20,3.6606
2004-03-20,3.6425
2004-04-20,3.5931
2004-05-20,3.3959
2004-06-20,2.8582
2004-07-20,2.7952
2004-08-20,3.0137
2004-09-20,3.0264
2004-10-20,3.2546
2004-11-20,3.3197
2004-12-20,3.6487
2005-01-20,3.8643
2005-02-20,3.9881
2005-03-20,4.0842
2005-04-20,3.9497
2005-05-20,3.2071
2005-06-20,3.6251
2005-07-20,3.7473
2005-08-20,3.9774
2005-09-20,4.0659
2005-10-20,4.4978
2005-11-20,4.2731
2005-12-20,4.7585
2006-01-20,5.0883
2006-02-20,5.7391
2006-03-20,5.9997
2006-04-20,6.526
2006-05-20,5.5292
2006-06-20,4.5538
2006-07-20,4.6104
2006-08-20,4.5913
2006-09-20,4.9995
2006-10-20,5.3155
2006-11-20,5.4462
2006-12-20,5.7547
2007-01-20,5.7928
2007-02-20,5.8314
2007-03-20,5.3543
2007-04-20,5.4086
2007-05-20,4.7879
2007-06-20,4.995
2007-07-20,4.9468
2007-08-20,5.2489
2007-09-20,5.1705
2007-10-20,5.9199
2007-11-20,7.0845
2007-12-20,6.9149
2008-01-20,7.2448
2008-02-20,6.2542
2008-03-20,6.2293
2008-04-20,5.5439
2008-05-20,5.3722
2008-06-20,4.2726
2008-07-20,3.5109
2008-08-20,3.7485
2008-09-20,3.8042
2008-10-20,3.3588
2008-11-20,2.583
2008-12-20,2.3995
2009-01-20,2.5459
2009-02-20,2.5367
2009-03-20,2.3933
2009-04-20,2.6132
2009-05-20,3.1074
2009-06-20,3.915
2009-07-20,2.9807
2009-08-20,3.2254
2009-09-20,3.2249
2009-10-20,3.5255
2009-11-20,3.3017
2009-12-20,3.5156
2010-01-20,3.6274
2010-02-20,3.4457
2010-03-20,3.4607
2010-04-20,3.6921
2010-05-20,3.4958
2010-06-20,3.2468
2010-07-20,3.3534
2010-08-20,3.3852
2010-09-20,3.4053
2010-10-20,3.7859
2010-11-20,2.6043
2010-12-20,2.5379
2011-01-20,2.6663
2011-02-20,3.5456
2011-03-20,3.448
2011-04-20,3.7618
2011-05-20,2.1923
2011-06-20,3.3186
2011-07-20,3.38
2011-08-20,3.2637
2011-09-20,2.991
2011-10-20,2.951
2011-11-20,3.1588
2011-12-20,2.8766
2012-01-20,2.7574
2012-02-20,3.1593
2012-03-20,3.262
2012-04-20,3.198
2012-05-20,2.8122
2012-06-20,2.5367
2012-07-20,2.7236
2012-08-20,2.6933
2012-09-20,2.7236
2012-10-20,2.9319
2012-11-20,2.9608
2012-12-20,3.0943
2013-01-20,3.1082
2013-02-20,3.1624
2013-03-20,2.9981
2013-04-20,2.994
2013-05-20,2.7956
2013-06-20,2.7539
2013-07-20,2.7041
2013-08-20,2.7027
2013-09-20,2.6013
2013-10-20,2.7073
2013-11-20,2.9348
2013-12-20,2.8832
2014-01-20,2.9357
2014-02-20,2.7861
2014-03-20,2.8685
2014-04-20,3.0404
2014-05-20,2.8657
2014-06-20,2.9406
2014-07-20,3.0858
2014-08-20,3.1443
2014-09-20,3.2345
2014-10-20,3.2336
2014-11-20,3.3707
2014-12-20,3.4709
2015-01-20,3.3264
2015-02-20,3.5129
2015-03-20,3.5344
2015-04-20,3.3654
2015-05-20,3.0112
2015-06-20,3.0331
2015-07-20,3.0277
2015-08-20,3.0641
2015-09-20,2.8645
2015-10-20,2.8505
2015-11-20,3.0448
2015-12-20,2.9864
2016-01-20,2.9832
2016-02-20,2.7657
2016-03-20,2.5579
2016-04-20,2.8181
2016-05-20,2.9471
2016-06-20,3.1096
2016-07-20,3.002
2016-08-20,3.1134
2016-09-20,3.1578
2016-10-20,3.0928
2016-11-20,3.0654
2016-12-20,2.9252
2017-01-20,2.9223
2017-02-20,3.0217
2017-03-20,3.1405
2017-04-20,3.2363
2017-05-20,3.0588
2017-06-20,3.0694
