date,pe
2004-01-20,20.0633
2004-02-20,20.1704
2004-03-20,20.7371
2004-04-20,20.4557
2004-05-20,16.209
2004-06-20,12.8864
2004-07-20,12.6964
2004-08-20,13.6924
2004-09-20,13.75
2004-10-20,14.7869
2004-11-20,14.5583
2004-12-20,16.0008
2005-01-20,16.9463
2005-02-20,16.9883
2005-03-20,17.3975
2005-04-20,16.8247
2005-05-20,16.3254
2005-06-20,13.8246
2005-07-20,14.608
2005-08-20,15.5046
2005-09-20,15.9386
2005-10-20,17.6315
2005-11-20,15.9648
2005-12-20,17.7774
2006-01-20,19.0113
2006-02-20,19.6861
2006-03-20,20.5817
2006-04-20,22.4069
2006-05-20,21.1218
2006-06-20,17.6525
2006-07-20,17.9153
2006-08-20,18.027
2006-09-20,19.6128
2006-10-20,20.9979
2006-11-20,23.3339
2006-12-20,24.6532
2007-01-20,24.7691
2007-02-20,23.7422
2007-03-20,21.7998
2007-04-20,21.9035
2007-05-20,19.7332
2007-06-20,20.4677
2007-07-20,20.2773
2007-08-20,21.4993
2007-09-20,20.8431
2007-10-20,23.3428
2007-11-20,26.1915
2007-12-20,25.5512
2008-01-20,26.853
2008-02-20,23.3572
2008-03-20,23.2419
2008-04-20,20.7981
2008-05-20,19.9093
2008-06-20,18.9346
2008-07-20,15.5874
2008-08-20,16.4908
2008-09-20,16.5949
2008-10-20,14.6494
2008-11-20,11.081
2008-12-20,10.2947
2009-01-20,10.9255
2009-02-20,10.6428
2009-03-20,10.0424
2009-04-20,10.9912
2009-05-20,12.5172
2009-06-20,16.9895
2009-07-20,16.5103
2009-08-20,17.8882
2009-09-20,17.6969
2009-10-20,19.3525
2009-11-20,17.4528
2009-12-20,18.5787
2010-01-20,19.1629
2010-02-20,18.0229
2010-03-20,18.1018
2010-04-20,19.3066
2010-05-20,20.8606
2010-06-20,19.4728
2010-07-20,20.3614
2010-08-20,20.8157
2010-09-20,20.9509
2010-10-20,23.0637
2010-11-20,19.7852
2010-12-20,19.2749
2011-01-20,20.2632
2011-02-20,18.1411
2011-03-20,17.6419
2011-04-20,19.212
2011-05-20,13.8842
2011-06-20,18.7561
2011-07-20,19.1528
2011-08-20,18.6467
2011-09-20,16.9568
2011-10-20,16.7332
2011-11-20,15.1581
2011-12-20,13.8007
2012-01-20,13.2272
2012-02-20,14.7663
2012-03-20,15.2465
2012-04-20,14.9465
2012-05-20,15.8349
2012-06-20,14.2334
2012-07-20,15.3108
2012-08-20,15.1956
2012-09-20,15.3669
2012-10-20,16.3691
2012-11-20,15.8504
2012-12-20,16.5647
2013-01-20,16.6391
2013-02-20,16.8242
2013-03-20,15.9507
2013-04-20,15.9193
2013-05-20,15.8224
2013-06-20,16.6127
2013-07-20,16.3535
2013-08-20,16.1862
2013-09-20,15.607
2013-10-20,16.0219
2013-11-20,17.3527
2013-12-20,17.0473
2014-01-20,17.3578
2014-02-20,16.9782
2014-03-20,17.4806
2014-04-20,18.5274
2014-05-20,16.8545
2014-06-20,17.3145
2014-07-20,18.1809
2014-08-20,18.567
2014-09-20,19.0998
2014-10-20,19.8375
2014-11-20,20.5243
2014-12-20,21.1338
2015-01-20,20.254
2015-02-20,21.2037
2015-03-20,21.3455
2015-04-20,20.3248
2015-05-20,18.7642
2015-06-20,20.2197
2015-07-20,20.2264
2015-08-20,20.4652
2015-09-20,19.1971
2015-10-20,19.1035
2015-11-20,20.0482
2015-12-20,19.6629
2016-01-20,19.6417
2016-02-20,18.57
2016-03-20,17.1759
2016-04-20,18.9231
2016-05-20,18.9918
2016-06-20,19.8882
2016-07-20,20.1852
2016-08-20,21.2669
2016-09-20,21.6382
2016-10-20,21.1924
2016-11-20,22.0315
2016-12-20,20.3584
2017-01-20,20.3382
2017-02-20,21.8485
2017-03-20,22.5158
2017-04-20,23.204
2017-05-20,21.8473
2017-06-20,23.601
2017-07-20,23.7518
2017-08-20,25.1901
2017-09-20,24.67
2017-10-20,24.3363
2017-11-20,25.348
2017-12-20,25.2993
2018-01-20,25.9911
2018-02-20,27.6164
2018-03-20,26.2488
2018-04-20,25.3156
2018-05-20,23.9463
2018-06-20,26.0082
2018-07-20,26.0924
2018-08-20,27.7361
2018-09-20,28.5068
2018-10-20,26.7137
2018-11-20,23.9837
2018-12-20,25.204
2019-01-20,25.1163
2019-02-20,25.4818
2019-03-20,25.2179
2019-04-20,27.177
2019-05-20,25.1835
2019-06-20,26.1793
2019-07-20,26.1465
2019-08-20,25.2531
2019-09-20,24.4313
2019-10-20,24.4707
2019-11-20,26.0736
2019-12-20,26.2437
2020-01-20,26.5396
2020-02-20,24.1064
2020-03-20,22.924
2020-04-20,17.914
2020-05-20,20.9073
2020-06-20,20.3164
2020-07-20,22.0412
2020-08-20,24.5461
2020-09-20,25.2763
2020-10-20,25.1392
2020-11-20,24.9894
2020-12-20,27.8801
2021-01-20,30.1545
2021-02-20,27.8319
2021-03-20,29.5513
2021-04-20,29.8362
2021-05-20,29.7398
2021-06-20,30.0176
2021-07-20,30.3443
2021-08-20,28.4856
2021-09-20,30.8776
2021-10-20,31.7078
2021-11-20,29.0708
2021-12-20,27.6523
2022-01-20,28.2159
2022-02-20,26.2853
2022-03-20,25.4447
2022-04-20,26.2212
2022-05-20,25.6967
2022-06-20,22.478
2022-07-20,21.6518
2022-08-20,22.4871
2022-09-20,23.0252
2022-10-20,22.1974
2022-11-20,23.2523
2022-12-20,23.7933
2023-01-20,22.9299
2023-02-20,22.2271
2023-03-20,22.2909
2023-04-20,22.3305
2023-05-20,23.5437
2023-06-20,23.0519
2023-07-20,23.8291
2023-08-20,22.6263
2023-09-20,21.813
2023-10-20,22.1401
2023-11-20,21.3906
2023-12-20,22.2832
2024-01-20,24.0343
2024-02-20,23.1697
2024-03-20,23.0997
2024-04-20,23.4839
2024-05-20,23.8258
2024-06-20,22.7329
2024-07-20,24.3509
2024-08-20,24.2952
2024-09-20,24.3324
2024-10-20,24.9059
2024-11-20,22.9475
2024-12-20,23.0122
2025-01-20,22.5405
2025-02-20,22.7863
2025-03-20,21.2682
2025-04-20,22.4943
2025-05-20,23.4336
2025-06-20,23.973
2025-07-20,24.6276
2025-08-20,23.517
2025-09-20,23.0544
2025-10-20,23.1867
2025-11-20,24.2584
2025-12-20,24.5398
2026-01-20,24.4006
2026-02-20,23.4709
2026-03-20,23.1021
2026-04-20,22.3223
