date,profit_margin
2004-01-20,8.0097
2004-02-20,8.5955
2004-03-20,8.86
2004-04-20,8.86
2004-05-20,10.8002
2004-06-20,10.1158
2004-07-20,10.3323
2004-08-20,10.4801
2004-09-20,10.4801
2004-10-20,10.4801
2004-11-20,11.0062
2004-12-20,11.0062
2005-01-20,11.0062
2005-02-20,10.7385
2005-03-20,10.7385
2005-04-20,10.7385
2005-05-20,10.7645
2005-06-20,10.8878
2005-07-20,12.1665
2005-08-20,12.1665
2005-09-20,12.244
2005-10-20,12.244
2005-11-20,14.4723
2005-12-20,14.4955
2006-01-20,14.4654
2006-02-20,15.1023
2006-03-20,15.0985
2006-04-20,15.0899
2006-05-20,14.8385
2006-06-20,14.8613
2006-07-20,14.5811
2006-08-20,14.5504
2006-09-20,14.5938
2006-10-20,14.5367
2006-11-20,14.9715
2006-12-20,14.9714
2007-01-20,14.9646
2007-02-20,15.494
2007-03-20,15.494
2007-04-20,15.6016
2007-05-20,14.7474
2007-06-20,14.4884
2007-07-20,14.1278
2007-08-20,14.2663
2007-09-20,14.4101
2007-10-20,14.3385
2007-11-20,15.255
2007-12-20,15.5171
2008-01-20,14.9011
2008-02-20,14.9611
2008-03-20,14.9879
2008-04-20,15.0294
2008-05-20,11.9697
2008-06-20,12.3935
2008-07-20,12.2326
2008-08-20,12.2535
2008-09-20,12.0738
2008-10-20,12.0721
2008-11-20,12.2301
2008-12-20,12.2334
2009-01-20,12.2164
2009-02-20,12.3163
2009-03-20,12.3211
2009-04-20,12.3141
2009-05-20,11.3676
2009-06-20,10.1409
2009-07-20,9.6921
2009-08-20,9.693
2009-09-20,9.8273
2009-10-20,9.8263
2009-11-20,10.5948
2009-12-20,10.1556
2010-01-20,10.1556
2010-02-20,10.7964
2010-03-20,10.7962
2010-04-20,10.7948
2010-05-20,10.8288
2010-06-20,10.6895
2010-07-20,10.6698
2010-08-20,10.7529
2010-09-20,10.7554
2010-10-20,10.7535
2010-11-20,11.5708
2010-12-20,11.5763
2011-01-20,11.5763
2011-02-20,11.6087
2011-03-20,11.6082
2011-04-20,11.6284
2011-05-20,12.0249
2011-06-20,10.8017
2011-07-20,10.7933
2011-08-20,10.8029
2011-09-20,10.8017
2011-10-20,10.8021
2011-11-20,11.4263
2011-12-20,11.429
2012-01-20,11.4285
2012-02-20,11.8093
2012-03-20,11.8093
2012-04-20,11.8097
2012-05-20,9.9774
2012-06-20,9.9753
2012-07-20,9.98
2012-08-20,10.0072
2012-09-20,10.0051
2012-10-20,10.0051
2012-11-20,10.2609
2012-12-20,10.2615
2013-01-20,10.2615
2013-02-20,9.4516
2013-03-20,9.4513
2013-04-20,9.4569
2013-05-20,8.8472
