date,roa
2004-01-20,2.8932
2004-02-20,2.9268
2004-03-20,2.8345
2004-04-20,2.8345
2004-05-20,3.3974
2004-06-20,3.5856
2004-07-20,3.5406
2004-08-20,3.5421
2004-09-20,3.5421
2004-10-20,3.5421
2004-11-20,3.7243
2004-12-20,3.7243
2005-01-20,3.7243
2005-02-20,3.7167
2005-03-20,3.7167
2005-04-20,3.7167
2005-05-20,3.1604
2005-06-20,4.2776
2005-07-20,4.3192
2005-08-20,4.3192
2005-09-20,4.2942
2005-10-20,4.2942
2005-11-20,4.4077
2005-12-20,4.4077
2006-01-20,4.4083
2006-02-20,4.5874
2006-03-20,4.5861
2006-04-20,4.586
2006-05-20,4.4422
2006-06-20,5.2865
2006-07-20,5.2787
2006-08-20,3.636
2006-09-20,3.6467
2006-10-20,3.7814
2006-11-20,5.4813
2006-12-20,5.4831
2007-01-20,5.4806
2007-02-20,5.7093
2007-03-20,5.7093
2007-04-20,5.3593
2007-05-20,5.9204
2007-06-20,6.1468
2007-07-20,3.6112
2007-08-20,3.7239
2007-09-20,3.791
2007-10-20,3.9296
2007-11-20,4.1074
2007-12-20,4.088
2008-01-20,3.9253
2008-02-20,3.9684
2008-03-20,3.9755
2008-04-20,3.9809
2008-05-20,4.4026
2008-06-20,9.577
2008-07-20,3.6388
2008-08-20,3.6538
2008-09-20,3.6305
2008-10-20,3.7454
2008-11-20,3.7943
2008-12-20,3.7941
2009-01-20,3.7888
2009-02-20,3.9507
2009-03-20,3.9504
2009-04-20,3.9509
2009-05-20,3.8405
2009-06-20,3.2814
2009-07-20,3.139
2009-08-20,3.1454
2009-09-20,3.0939
2009-10-20,3.0905
2009-11-20,3.1476
2009-12-20,3.1764
2010-01-20,3.1764
2010-02-20,3.2518
2010-03-20,3.2518
2010-04-20,3.2515
2010-05-20,3.0901
2010-06-20,4.5191
2010-07-20,3.2556
2010-08-20,3.2555
2010-09-20,3.2545
2010-10-20,3.2678
2010-11-20,3.3418
2010-12-20,3.3435
2011-01-20,3.3434
2011-02-20,3.8394
2011-03-20,3.8392
2011-04-20,3.8459
2011-05-20,4.0906
2011-06-20,3.5939
2011-07-20,3.4514
2011-08-20,3.4515
2011-09-20,3.4514
2011-10-20,3.4514
2011-11-20,4.0593
2011-12-20,4.0602
2012-01-20,4.0606
2012-02-20,4.1298
2012-03-20,4.1298
2012-04-20,4.1299
