date,roce
2004-01-20,18.4997
2004-02-20,17.9062
2004-03-20,17.3413
2004-04-20,17.3413
2004-05-20,20.746
2004-06-20,21.8955
2004-07-20,21.7274
2004-08-20,21.7363
2004-09-20,21.7363
2004-10-20,21.7363
2004-11-20,22.1583
2004-12-20,22.1583
2005-01-20,22.1583
2005-02-20,22.5671
2005-03-20,22.5671
2005-04-20,22.5671
2005-05-20,18.8904
2005-06-20,25.41
2005-07-20,25.6142
2005-08-20,25.6142
2005-09-20,25.4663
2005-10-20,25.4663
2005-11-20,26.6056
2005-12-20,26.6059
2006-01-20,26.6093
2006-02-20,29.0101
2006-03-20,29.0018
2006-04-20,29.0012
2006-05-20,26.1847
2006-06-20,25.8859
2006-07-20,25.6885
2006-08-20,25.3568
2006-09-20,25.4316
2006-10-20,25.4125
2006-11-20,23.7667
2006-12-20,23.7745
2007-01-20,23.7636
2007-02-20,24.2723
2007-03-20,24.2723
2007-04-20,24.6814
2007-05-20,24.1968
2007-06-20,24.203
2007-07-20,24.2588
2007-08-20,24.5123
2007-09-20,24.9544
2007-10-20,25.445
2007-11-20,27.738
2007-12-20,27.6066
2008-01-20,26.5081
2008-02-20,26.4214
2008-03-20,26.4688
2008-04-20,26.5043
2008-05-20,27.0703
2008-06-20,22.7743
2008-07-20,22.6807
2008-08-20,22.7979
2008-09-20,22.6539
2008-10-20,22.6503
2008-11-20,23.0009
2008-12-20,22.9995
2009-01-20,22.9674
2009-02-20,23.6282
2009-03-20,23.6264
2009-04-20,23.6291
2009-05-20,25.5729
2009-06-20,23.544
2009-07-20,17.2884
2009-08-20,17.2716
2009-09-20,17.5166
2009-10-20,17.4972
2009-11-20,17.8438
2009-12-20,18.0075
2010-01-20,18.0075
2010-02-20,18.3166
2010-03-20,18.3163
2010-04-20,18.3145
2010-05-20,17.0714
2010-06-20,17.6907
2010-07-20,17.4719
2010-08-20,17.4611
2010-09-20,17.4641
2010-10-20,17.3833
2010-11-20,13.8545
2010-12-20,13.8619
2011-01-20,13.8614
2011-02-20,20.5481
2011-03-20,20.5472
2011-04-20,20.5831
2011-05-20,16.0
2011-06-20,18.7634
2011-07-20,18.7376
2011-08-20,18.7376
2011-09-20,18.7375
2011-10-20,18.7375
2011-11-20,21.9795
2011-12-20,21.9846
2012-01-20,21.9866
2012-02-20,22.568
2012-03-20,22.568
2012-04-20,22.5687
2012-05-20,18.0503
2012-06-20,18.1815
2012-07-20,18.1645
2012-08-20,18.1645
2012-09-20,18.1646
2012-10-20,18.1646
2012-11-20,18.9365
2012-12-20,18.9376
2013-01-20,18.9376
2013-02-20,19.0467
2013-03-20,19.0463
2013-04-20,19.0575
2013-05-20,17.6515
2013-06-20,16.3784
2013-07-20,16.384
2013-08-20,16.4147
2013-09-20,16.4147
2013-10-20,16.4138
2013-11-20,16.4198
2013-12-20,16.4198
2014-01-20,16.4198
2014-02-20,15.9504
2014-03-20,15.9502
2014-04-20,15.9512
2014-05-20,16.8212
2014-06-20,16.2191
2014-07-20,16.2191
2014-08-20,16.2191
2014-09-20,16.2191
2014-10-20,16.2164
2014-11-20,16.264
2014-12-20,16.2642
2015-01-20,16.2642
2015-02-20,16.4077
2015-03-20,16.3984
2015-04-20,16.3984
2015-05-20,16.1722
2015-06-20,13.8809
2015-07-20,13.8801
2015-08-20,13.8606
2015-09-20,13.8606
2015-10-20,13.8606
2015-11-20,14.1795
2015-12-20,14.1795
2016-01-20,14.1795
2016-02-20,13.9486
2016-03-20,13.9476
2016-04-20,13.9476
2016-05-20,15.5672
2016-06-20,15.3061
2016-07-20,14.5953
2016-08-20,14.5726
2016-09-20,14.5726
2016-10-20,14.5726
2016-11-20,13.8597
2016-12-20,14.3193
2017-01-20,14.3193
2017-02-20,14.0854
2017-03-20,14.1635
2017-04-20,14.1624
2017-05-20,14.4603
2017-06-20,13.1139
2017-07-20,12.975
2017-08-20,12.8615
2017-09-20,12.8375
2017-10-20,12.8258
2017-11-20,12.7911
2017-12-20,12.7911
2018-01-20,12.791
2018-02-20,12.587
2018-03-20,12.587
2018-04-20,12.587
2018-05-20,14.4067
2018-06-20,13.9448
2018-07-20,13.9175
2018-08-20,13.6803
2018-09-20,13.6804
2018-10-20,13.6804
2018-11-20,14.1437
2018-12-20,14.1437
2019-01-20,14.1437
2019-02-20,13.9109
2019-03-20,13.9005
2019-04-20,13.9111
2019-05-20,12.7646
2019-06-20,11.7979
2019-07-20,11.8001
2019-08-20,11.6617
2019-09-20,12.2739
2019-10-20,12.2905
2019-11-20,11.825
2019-12-20,11.2727
2020-01-20,11.2727
2020-02-20,13.0423
2020-03-20,12.911
2020-04-20,12.6329
2020-05-20,12.4385
2020-06-20,12.3532
2020-07-20,12.137
2020-08-20,11.4137
2020-09-20,11.4137
2020-10-20,11.4204
2020-11-20,12.1353
2020-12-20,12.0844
2021-01-20,12.0844
2021-02-20,11.9673
2021-03-20,12.4435
2021-04-20,12.4021
2021-05-20,12.4147
2021-06-20,12.5989
2021-07-20,12.6466
2021-08-20,13.2976
2021-09-20,13.2705
2021-10-20,13.2705
2021-11-20,13.8098
2021-12-20,13.7736
2022-01-20,13.7736
2022-02-20,13.9569
2022-03-20,13.9317
2022-04-20,14.0801
2022-05-20,14.0821
2022-06-20,14.6448
2022-07-20,14.6464
2022-08-20,15.1005
2022-09-20,14.9558
2022-10-20,14.9558
2022-11-20,15.1754
2022-12-20,15.0911
2023-01-20,15.0911
2023-02-20,15.0414
2023-03-20,14.7387
2023-04-20,14.7529
2023-05-20,14.7151
2023-06-20,14.6645
2023-07-20,14.6645
2023-08-20,15.1194
2023-09-20,15.2307
2023-10-20,15.2307
2023-11-20,14.5712
2023-12-20,14.5836
2024-01-20,14.5836
2024-02-20,15.361
2024-03-20,15.1495
2024-04-20,15.1228
2024-05-20,15.047
2024-06-20,15.103
2024-07-20,15.103
2024-08-20,15.6753
2024-09-20,15.631
2024-10-20,15.629
2024-11-20,15.9051
2024-12-20,15.5951
2025-01-20,15.5942
2025-02-20,15.8821
2025-03-20,15.9395
2025-04-20,15.9432
2025-05-20,15.9103
2025-06-20,15.3728
2025-07-20,15.3728
2025-08-20,15.6305
2025-09-20,15.5606
2025-10-20,15.5606
2025-11-20,15.5567
2025-12-20,16.9715
2026-01-20,16.9715
2026-02-20,15.5572
2026-03-20,15.3649
2026-04-20,15.3603
